연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,1473.0,0.0,0.0,0.0,994.0,0.0,1295.0,2640.0,,1095.0,1173.0,1340.0,1998.0,1632.0,1412.0,1573.0,2111.0,730.0
2001,1418.0,0.0,0.0,0.0,1002.0,0.0,2479.0,2550.0,,1437.0,1125.0,1255.0,1558.0,2192.0,1531.0,1606.0,1606.0,968.0
2002,1399.0,0.0,0.0,0.0,1000.0,0.0,0.0,3130.0,,1164.0,1170.0,872.0,1475.0,1755.0,1780.0,1686.0,2052.0,723.0
2003,1396.0,0.0,0.0,0.0,1246.0,0.0,0.0,1107.0,,1167.0,1224.0,876.0,1595.0,1664.0,1541.0,3169.0,2344.0,761.0
2004,1288.0,1175.0,0.0,0.0,1567.0,0.0,1478.0,1143.0,,1175.0,1307.0,956.0,1423.0,1723.0,1611.0,751.0,2244.0,1203.0
2005,1435.0,1135.0,0.0,1391.0,1890.0,0.0,1421.0,1333.0,,1135.0,1352.0,1059.0,1662.0,1824.0,1623.0,1391.0,2214.0,1350.0
2006,1508.0,0.0,0.0,0.0,1811.0,1280.0,0.0,1313.0,,1204.0,1340.0,1539.0,1777.0,1826.0,1280.0,2605.0,2235.0,1349.0
2007,1415.0,0.0,0.0,0.0,1761.0,0.0,0.0,1330.0,,1175.0,1348.0,1378.0,1652.0,1800.0,1227.0,2376.0,0.0,1300.0
2008,1420.0,0.0,0.0,0.0,1757.0,0.0,0.0,1875.0,,1421.0,1409.0,1400.0,1865.0,1410.0,1380.0,2169.0,0.0,1300.0
2009,1590.0,0.0,0.0,0.0,1742.0,0.0,0.0,1000.0,,0.0,1414.0,1460.0,2424.0,2390.0,2041.0,2360.0,0.0,1400.0
2010,1493.0,0.0,0.0,0.0,1260.0,0.0,2632.0,0.0,,1260.0,1260.0,1460.0,2632.0,2294.0,0.0,2625.0,0.0,1237.0
2011,1686.0,0.0,0.0,0.0,2308.0,2450.0,0.0,0.0,,2308.0,0.0,1400.0,2410.0,2450.0,2450.0,2498.0,2150.0,1250.0
2012,2167.0,0.0,0.0,0.0,1166.0,0.0,0.0,0.0,,0.0,0.0,2601.0,3018.0,2646.0,2646.0,1728.0,1728.0,1203.0
2013,2203.0,0.0,0.0,0.0,1160.0,0.0,0.0,0.0,,0.0,0.0,2607.0,2719.0,3298.0,3298.0,2283.0,2031.0,1095.0
2014,2014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,3000.0,2448.0,0.0,3255.0,1971.0,0.0,1509.0
2015,1791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2177.0,0.0,3184.0,2452.0,0.0,2785.0,2248.0,0.0,1450.0
2016,1899.0,0.0,0.0,3376.0,0.0,0.0,0.0,0.0,0.0,0.0,1853.0,2706.0,0.0,2867.0,2867.0,3376.0,3376.0,1210.0
2017,1995.0,2119.0,2980.0,2980.0,2119.0,2867.0,2185.0,2980.0,2185.0,2119.0,1918.0,2883.0,2185.0,2462.0,2867.0,2980.0,2980.0,1220.0
2018,1885.0,0.0,3240.0,0.0,2100.0,0.0,0.0,3240.0,3764.0,2100.0,1678.0,0.0,3764.0,3247.0,3247.0,2349.0,3240.0,1220.0
2019,2283.0,0.0,3684.0,0.0,2066.0,3343.0,6951.0,3684.0,0.0,2066.0,1847.0,6951.0,6951.0,309.0,3343.0,1411.0,3684.0,1204.0
2020,2280.0,2066.0,3670.0,0.0,2066.0,1803.0,0.0,3670.0,0.0,2066.0,1308.0,3728.0,1026.0,3343.0,3343.0,1214.0,3670.0,1204.0
2021,1970.0,2066.0,3780.0,1122.0,2066.0,1804.0,1732.0,3780.0,1732.0,2066.0,1322.0,3728.0,1732.0,3079.0,3079.0,1122.0,3780.0,1204.0
2022,1932.0,2066.0,3800.0,1122.0,2066.0,1804.0,1625.0,3800.0,1625.0,2066.0,1151.0,3728.0,1625.0,3343.0,3343.0,1122.0,3800.0,1210.0
2023,2183.0,2073.0,3800.0,1122.0,2073.0,0.0,1659.0,3800.0,1659.0,2073.0,885.0,3862.0,1659.0,3343.0,3343.0,1122.0,3800.0,1210.0
