연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,7878.0,0.0,0.0,0.0,99.0,0.0,39.0,634.0,,482.0,246.0,188.0,1019.0,849.0,2174.0,771.0,844.0,533.0
2001,4935.0,0.0,0.0,0.0,150.0,0.0,74.0,332.0,,604.0,180.0,75.0,421.0,197.0,1209.0,610.0,289.0,794.0
2002,5108.0,0.0,0.0,0.0,160.0,0.0,0.0,501.0,,361.0,257.0,105.0,428.0,386.0,1228.0,489.0,513.0,680.0
2003,4622.0,0.0,0.0,0.0,100.0,0.0,0.0,498.0,,163.0,86.0,26.0,638.0,316.0,509.0,824.0,633.0,829.0
2004,3491.0,176.0,0.0,0.0,204.0,0.0,30.0,377.0,,282.0,222.0,134.0,669.0,138.0,177.0,98.0,202.0,782.0
2005,3732.0,170.0,0.0,14.0,189.0,0.0,14.0,227.0,,272.0,676.0,127.0,681.0,73.0,81.0,236.0,310.0,662.0
2006,5022.0,0.0,0.0,0.0,91.0,64.0,0.0,39.0,,205.0,67.0,292.0,444.0,895.0,474.0,365.0,22.0,2064.0
2007,4372.0,0.0,0.0,0.0,70.0,0.0,0.0,27.0,,59.0,54.0,165.0,182.0,612.0,834.0,380.0,0.0,1989.0
2008,4089.0,0.0,0.0,0.0,211.0,0.0,0.0,56.25,,184.73,28.0,350.0,167.85,14.0,82.8,434.0,0.0,2561.0
2009,3482.0,0.0,0.0,0.0,575.0,0.0,0.0,50.0,,0.0,283.0,511.0,145.0,120.0,20.0,448.0,0.0,1330.0
2010,3105.0,0.0,0.0,0.0,328.0,0.0,26.0,0.0,,176.0,113.0,350.0,79.0,23.0,0.0,761.0,0.0,1249.0
2011,2276.0,0.0,0.0,0.0,254.0,25.0,0.0,0.0,,23.0,0.0,462.0,482.0,49.0,221.0,50.0,22.0,688.0
2012,3142.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,,0.0,0.0,442.0,1750.0,26.0,159.0,17.0,17.0,626.0
2013,2225.0,0.0,0.0,0.0,197.0,0.0,0.0,0.0,,0.0,0.0,104.0,1441.0,33.0,33.0,23.0,284.0,110.0
2014,1007.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,90.0,24.0,0.0,260.0,256.0,0.0,377.0
2015,1737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,22.0,0.0,255.0,123.0,0.0,28.0,337.0,0.0,972.0
2016,2545.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,27.0,0.0,115.0,659.0,304.0,371.0,1016.0
2017,2473.0,2.0,1.0,3.0,21.0,6.0,2.0,10.0,1.0,71.0,62.0,25.0,16.0,697.0,778.0,86.0,23.0,669.0
2018,1745.0,0.0,8.0,0.0,12.0,0.0,0.0,41.0,97.0,75.0,51.0,0.0,16.0,54.0,376.0,159.0,183.0,673.0
2019,934.0,0.0,5.0,0.0,97.0,2.0,3.0,29.0,0.0,112.0,211.0,71.0,146.0,3.0,58.0,24.0,66.0,107.0
2020,1126.0,0.0,18.0,0.0,42.0,0.0,0.0,56.0,0.0,142.0,92.0,14.0,62.0,22.0,517.0,31.0,78.0,52.0
2021,909.0,3.0,27.0,6.0,53.0,0.0,12.0,63.0,1.0,131.0,43.0,28.0,121.0,4.0,74.0,168.0,171.0,4.0
2022,1023.0,3.0,13.0,0.0,34.0,1.0,4.0,55.0,1.0,159.0,49.0,74.0,134.0,80.0,116.0,145.0,84.0,71.0
2023,871.0,2.0,23.0,43.0,29.0,0.0,4.0,85.0,3.0,94.0,43.0,21.0,119.0,3.0,39.0,31.0,306.0,26.0
