연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,2633.0,0.0,0.0,0.0,1000.0,2682.0,4290.0,3000.0,,2878.0,1129.0,1384.0,2751.0,1928.0,3056.0,2561.0,2526.0,0.0
2001,2743.0,0.0,2700.0,0.0,2518.0,2780.0,2682.0,3000.0,,2518.0,2022.0,2556.0,2903.0,2300.0,2871.0,2584.0,2713.0,0.0
2002,2749.0,0.0,0.0,0.0,603.0,2820.0,2897.0,2627.0,,2637.0,2052.0,1810.0,2715.0,2701.0,2720.0,2892.0,2861.0,0.0
2003,2800.0,0.0,0.0,3000.0,0.0,2710.0,2963.0,2616.0,,2423.0,2286.0,1780.0,2790.0,2754.0,2860.0,2840.0,2860.0,0.0
2004,2820.0,0.0,0.0,0.0,0.0,2857.0,2533.0,2650.0,,2707.0,2657.0,1572.0,2673.0,2912.0,2825.0,2706.0,2992.0,2950.0
2005,2955.0,0.0,0.0,0.0,0.0,2998.0,2642.0,2628.0,,2923.0,2683.0,1668.0,2870.0,2820.0,2864.0,2714.0,3200.0,3636.0
2006,3091.0,0.0,0.0,0.0,0.0,2923.0,2629.0,0.0,,2695.0,2494.0,1620.0,2886.0,2799.0,2792.0,2890.0,3556.0,1287.0
2007,3129.0,0.0,0.0,0.0,900.0,3148.0,2601.0,2333.0,,2694.0,2565.0,1817.0,2909.0,2796.0,2876.0,2858.0,3577.0,1711.0
2008,3082.0,0.0,0.0,0.0,3100.0,3124.0,0.0,3000.0,,2711.0,2318.0,1886.0,2913.0,2851.0,2944.0,3123.0,3367.0,2976.0
2009,3281.0,0.0,3000.0,0.0,2970.0,2875.0,0.0,0.0,,2298.0,2553.0,1641.0,3032.0,3346.0,3080.0,2986.0,3695.0,3373.0
2010,3343.0,0.0,0.0,0.0,2400.0,2943.0,0.0,0.0,,2302.0,2344.0,1472.0,2859.0,3145.0,3028.0,2666.0,4256.0,3313.0
2011,2979.0,0.0,0.0,0.0,0.0,2583.0,0.0,0.0,,2651.0,2131.0,1820.0,2755.0,3100.0,2772.0,2748.0,3352.0,2480.0
2012,3005.0,0.0,3299.0,0.0,0.0,2731.0,0.0,0.0,,2163.0,2185.0,2759.0,2890.0,2978.0,2805.0,2865.0,3299.0,2024.0
2013,3161.0,0.0,0.0,0.0,2095.0,2933.0,0.0,0.0,,2095.0,2031.0,3001.0,3202.0,4112.0,2891.0,3063.0,3095.0,2021.0
2014,3061.0,0.0,0.0,0.0,2428.0,2971.0,1813.0,0.0,,2428.0,1985.0,3100.0,3069.0,3853.0,2890.0,3051.0,2972.0,2319.0
2015,3057.0,0.0,0.0,3677.0,2428.0,2971.0,1813.0,0.0,,2428.0,1985.0,3100.0,3069.0,3853.0,2890.0,3051.0,2972.0,2319.0
2016,3228.0,0.0,0.0,3584.0,2533.0,4350.0,0.0,2082.0,2754.0,2757.0,2125.0,2970.0,2682.0,2919.0,2886.0,3036.0,3905.0,2775.0
2017,3566.0,0.0,0.0,3188.0,2600.0,4338.0,1403.0,2097.0,2760.0,2542.0,2011.0,2225.0,2736.0,2780.0,2947.0,3176.0,4786.0,2625.0
2018,3047.0,0.0,0.0,0.0,2527.0,3720.0,0.0,2371.0,2391.0,2456.0,2003.0,2924.0,2761.0,3143.0,3172.0,3043.0,3187.0,2471.0
2019,3633.0,0.0,0.0,3403.0,2602.0,3679.0,1404.0,2238.0,2348.0,2675.0,2179.0,2397.0,2873.0,2747.0,2915.0,4154.0,4544.0,2606.0
2020,2885.0,0.0,2759.0,0.0,2601.0,3392.0,0.0,2074.0,2439.0,2669.0,2069.0,2569.0,2854.0,3116.0,2777.0,4033.0,2759.0,2575.0
2021,2915.0,2826.0,0.0,3403.0,2599.0,3388.0,1413.0,2150.0,2439.0,2826.0,2036.0,2578.0,2817.0,3114.0,2705.0,3951.0,2751.0,2629.0
2022,2772.0,0.0,2599.0,3403.0,2599.0,3388.0,2132.0,0.0,2456.0,2926.0,2247.0,2896.0,2822.0,3130.0,2743.0,3214.0,2599.0,2646.0
2023,2853.0,0.0,2634.0,3521.0,2597.0,3388.0,1934.0,2134.0,2502.0,3170.0,2069.0,3673.0,2983.0,3137.0,2748.0,3377.0,2634.0,2511.0
