연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,172623.0,0.0,0.0,0.0,60.0,1690.0,1759.0,2040.0,,345.0,113.0,1080.0,53397.0,11529.0,34441.0,15725.0,50444.0,0.0
2001,198031.0,0.0,378.0,0.0,126.0,1640.0,671.0,1680.0,,504.0,182.0,3757.0,56086.0,13685.0,37007.0,18424.0,63891.0,0.0
2002,204830.0,0.0,0.0,0.0,24.0,1523.0,1159.0,709.0,,897.0,369.0,3566.0,60490.0,15396.0,37509.0,20418.0,62770.0,0.0
2003,200805.0,0.0,0.0,90.0,0.0,1978.0,1570.0,1020.0,,703.0,23.0,2973.0,59204.0,15505.0,28657.0,21300.0,67782.0,0.0
2004,199009.0,0.0,0.0,0.0,0.0,1371.0,988.0,1113.0,,1218.0,106.0,1698.0,50012.0,15754.0,30680.0,17724.0,77283.0,1062.0
2005,198263.0,0.0,0.0,0.0,0.0,1049.0,872.0,972.0,,2134.0,215.0,2369.0,48331.0,15595.0,25461.0,16800.0,83520.0,945.0
2006,200285.0,0.0,0.0,0.0,0.0,789.0,53.0,0.0,,2668.0,1621.0,1960.0,46782.0,16206.0,25770.0,13814.0,90287.0,335.0
2007,198855.0,0.0,0.0,0.0,36.0,1417.0,52.0,23.0,,2694.0,1924.0,1890.0,44740.0,18733.0,20391.0,14690.0,91786.0,479.0
2008,188207.0,0.0,0.0,0.0,217.0,781.0,0.0,90.0,,3633.0,974.0,924.0,49667.0,20413.0,18459.0,12898.0,78990.0,1161.0
2009,200290.0,0.0,330.0,0.0,119.0,1006.0,0.0,0.0,,3171.0,383.0,821.0,58578.0,16931.0,23192.0,10272.0,84172.0,1315.0
2010,228698.0,0.0,0.0,0.0,72.0,1501.0,0.0,0.0,,1727.0,1313.0,765.0,65814.0,15599.0,36669.0,8238.0,95973.0,1027.0
2011,169243.0,0.0,0.0,0.0,0.0,1188.0,0.0,0.0,,2863.0,1151.0,1347.0,49673.0,17112.0,20679.0,6952.0,67509.0,769.0
2012,188998.0,0.0,132.0,0.0,0.0,1256.0,0.0,0.0,,2141.0,918.0,2456.0,63696.0,17689.0,20953.0,7707.0,71423.0,627.0
2013,214578.0,0.0,0.0,0.0,42.0,4312.0,0.0,0.0,,3541.0,528.0,3211.0,70604.0,25906.0,20410.0,11915.0,73321.0,788.0
2014,208894.0,0.0,0.0,0.0,24.0,3387.0,544.0,0.0,,3666.0,318.0,3751.0,79119.0,21847.0,15606.0,13730.0,66276.0,626.0
2015,192776.0,0.0,0.0,110.0,24.0,2377.0,181.0,0.0,,3472.0,476.0,2480.0,58158.0,22579.0,18438.0,14980.0,67762.0,1739.0
2016,188673.0,0.0,0.0,143.0,659.0,1262.0,0.0,271.0,633.0,4356.0,999.0,3059.0,33498.0,22301.0,24935.0,10292.0,84739.0,1526.0
2017,206226.0,0.0,0.0,37.0,1232.0,2895.0,61.0,314.0,956.0,3977.0,1398.0,2644.0,32072.0,18892.0,23551.0,11978.0,104995.0,1224.0
2018,181894.0,0.0,0.0,0.0,780.0,1809.0,0.0,352.0,460.0,3280.0,838.0,3925.0,34716.0,17454.0,25985.0,9669.0,82217.0,409.0
2019,233291.0,0.0,0.0,62.0,504.0,2660.0,2.0,381.0,463.0,2905.0,1171.0,3849.0,42727.0,16771.0,22137.0,14559.0,124688.0,412.0
2020,162520.0,0.0,24.0,0.0,617.0,2180.0,0.0,415.0,146.0,3077.0,1470.0,4440.0,36520.0,18488.0,18530.0,13885.0,62068.0,660.0
2021,176571.0,14.0,0.0,159.0,9.0,620.0,208.0,0.0,693.0,4587.0,584.0,4232.0,35780.0,14135.0,17701.0,27484.0,68527.0,1838.0
2022,157784.0,0.0,4.0,222.0,81.0,1006.0,208.0,0.0,982.0,4605.0,655.0,5349.0,31179.0,14408.0,17788.0,14814.0,64802.0,1681.0
2023,158604.0,0.0,1.0,238.0,121.0,453.0,145.0,166.0,777.0,4863.0,656.0,5199.0,33478.0,14504.0,15703.0,14548.0,66011.0,1741.0
