연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,2365.0,0.0,0.0,2405.0,2068.0,2880.0,2157.0,3690.0,,2052.0,2512.0,3028.0,2414.0,2452.0,1551.0,2405.0,2530.0,2788.0
2001,2371.0,0.0,2473.0,0.0,2200.0,2780.0,2971.0,3000.0,,2177.0,2725.0,2683.0,1410.0,2437.0,1895.0,2755.0,2385.0,2840.0
2002,2406.0,0.0,2239.0,0.0,2092.0,2580.0,3492.0,4326.0,,2429.0,2535.0,2217.0,2957.0,2496.0,2419.0,2164.0,2011.0,2966.0
2003,2529.0,0.0,0.0,0.0,1992.0,2610.0,2825.0,2464.0,,2550.0,2579.0,2414.0,2474.0,2566.0,2488.0,2507.0,2868.0,2831.0
2004,3093.0,0.0,0.0,0.0,1658.0,2707.0,3119.0,2667.0,,2548.0,2820.0,2304.0,2420.0,2430.0,1975.0,4523.0,2802.0,2984.0
2005,3144.0,1774.0,0.0,0.0,1846.0,2726.0,0.0,2636.0,,1774.0,2815.0,2676.0,2557.0,3360.0,2121.0,3822.0,2852.0,3233.0
2006,2764.0,0.0,0.0,0.0,1984.0,2640.0,0.0,2667.0,,2266.0,2414.0,2596.0,2821.0,3118.0,2804.0,2696.0,2985.0,2523.0
2007,2767.0,0.0,2500.0,0.0,2076.0,2377.0,0.0,0.0,,2184.0,2886.0,2816.0,2963.0,3021.0,2095.0,3044.0,2635.0,2505.0
2008,2807.0,0.0,0.0,0.0,2035.0,2679.0,0.0,2500.0,,2791.0,2884.0,2487.0,2936.0,3000.0,2120.0,3347.0,2695.0,1800.0
2009,2965.0,0.0,0.0,3323.0,2083.0,1793.0,0.0,2685.0,,2044.0,2938.0,2673.0,3156.0,3574.0,1947.0,3323.0,2685.0,1800.0
2010,2866.0,0.0,0.0,0.0,1865.0,1673.0,0.0,0.0,,1998.0,0.0,2498.0,2665.0,3047.0,2094.0,3329.0,4222.0,2031.0
2011,2937.0,0.0,0.0,0.0,0.0,2099.0,0.0,4305.0,,2156.0,2748.0,2743.0,2925.0,3300.0,1988.0,3105.0,4305.0,2680.0
2012,3101.0,0.0,0.0,0.0,2592.0,2481.0,3568.0,0.0,,2888.0,2871.0,3115.0,3568.0,3120.0,3139.0,3208.0,2961.0,2707.0
2013,3747.0,0.0,0.0,0.0,0.0,2791.0,0.0,0.0,,2834.0,2914.0,3842.0,3380.0,3792.0,3197.0,3214.0,2786.0,6010.0
2014,3453.0,0.0,0.0,0.0,2834.0,1504.0,0.0,3453.0,,2834.0,2331.0,3775.0,2911.0,3853.0,3121.0,2752.0,3453.0,5595.0
2015,3435.0,0.0,0.0,0.0,1768.0,1510.0,0.0,3879.0,,3024.0,2498.0,3403.0,3775.0,3426.0,3450.0,3189.0,3879.0,4950.0
2016,3783.0,0.0,0.0,0.0,2685.0,1377.0,0.0,0.0,5538.0,2685.0,2893.0,3664.0,2953.0,5043.0,4012.0,3240.0,3547.0,3230.0
2017,3402.0,2434.0,2924.0,3446.0,2434.0,1507.0,0.0,2924.0,5562.0,2434.0,2742.0,3393.0,2052.0,4013.0,3337.0,3446.0,2924.0,2330.0
2018,3234.0,4050.0,2670.0,0.0,4050.0,1510.0,3424.0,2670.0,5562.0,4050.0,2445.0,3019.0,3424.0,3971.0,1962.0,3366.0,2670.0,2795.0
2019,3190.0,4930.0,2939.0,0.0,4930.0,1508.0,4975.0,2939.0,5562.0,4930.0,2831.0,3167.0,4975.0,3853.0,3798.0,2843.0,2939.0,2391.0
2020,3141.0,5035.0,3007.0,2734.0,5035.0,1508.0,5200.0,3007.0,5562.0,5035.0,2831.0,3167.0,5200.0,3628.0,3803.0,2734.0,3007.0,2397.0
2021,3476.0,5035.0,3007.0,3160.0,5035.0,1508.0,6223.0,3007.0,5562.0,5035.0,2840.0,3172.0,6223.0,3960.0,3705.0,3160.0,3007.0,2397.0
2022,3489.0,3901.0,2949.0,2976.0,3901.0,1508.0,5748.0,2949.0,5562.0,3901.0,2840.0,3172.0,5748.0,3972.0,5609.0,2976.0,2949.0,2397.0
2023,3539.0,3780.0,2949.0,3320.0,3780.0,1508.0,5748.0,2949.0,5562.0,3780.0,2963.0,3227.0,5748.0,4112.0,5729.0,2847.0,2949.0,2402.0
