연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,224695.0,0.0,0.0,265.0,207.0,11578.0,173.0,295.0,,12846.0,4120.0,31067.0,19553.0,45534.0,26057.0,46513.0,3542.0,22945.0
2001,188548.0,0.0,25.0,0.0,264.0,11871.0,119.0,270.0,,10297.0,4932.0,22886.0,9461.0,45279.0,26776.0,45237.0,2242.0,8889.0
2002,147545.0,0.0,45.0,0.0,209.0,6682.0,105.0,173.0,,9497.0,3955.0,15719.0,13040.0,25784.0,24408.0,39558.0,362.0,8008.0
2003,145765.0,0.0,0.0,0.0,120.0,6943.0,85.0,320.0,,5100.0,3224.0,15691.0,9772.0,27687.0,25801.0,41165.0,430.0,9427.0
2004,131293.0,0.0,0.0,0.0,83.0,4169.0,62.0,53.0,,5096.0,3074.0,11290.0,6074.0,21287.0,8433.0,59025.0,84.0,12563.0
2005,127474.0,53.0,0.0,0.0,74.0,3298.0,0.0,79.0,,2874.0,2562.0,11748.0,4014.0,29165.0,10881.0,52017.0,428.0,10281.0
2006,102764.0,0.0,0.0,0.0,79.0,3010.0,0.0,27.0,,1450.0,797.0,11215.0,3583.0,22263.0,19179.0,32702.0,537.0,7922.0
2007,90498.0,0.0,25.0,0.0,42.0,1093.0,0.0,0.0,,1813.0,346.0,7631.0,2282.0,17763.0,11669.0,38750.0,843.0,8241.0
2008,98697.0,0.0,0.0,0.0,41.0,1313.0,0.0,50.0,,3349.0,1586.0,7337.0,1497.0,21000.0,14692.0,42775.0,539.0,4518.0
2009,103689.0,0.0,0.0,33.0,42.0,1094.0,0.0,27.0,,756.0,118.0,9837.0,1925.0,30987.0,8976.0,44129.0,779.0,4986.0
2010,65725.0,0.0,0.0,0.0,37.0,652.0,0.0,0.0,,1119.0,0.0,5621.0,586.0,18221.0,5088.0,29728.0,591.0,4082.0
2011,79951.0,0.0,0.0,0.0,0.0,462.0,0.0,129.0,,1897.0,55.0,7379.0,965.0,20658.0,4950.0,35708.0,646.0,7102.0
2012,75858.0,0.0,0.0,0.0,26.0,1513.0,107.0,0.0,,202.0,57.0,5171.0,571.0,16973.0,9700.0,34037.0,355.0,7146.0
2013,96893.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,,340.0,87.0,6455.0,1284.0,24496.0,7321.0,36704.0,306.0,19593.0
2014,98592.0,0.0,0.0,0.0,28.0,286.0,0.0,35.0,,397.0,140.0,8909.0,378.0,27164.0,11048.0,32529.0,725.0,16953.0
2015,89747.0,0.0,0.0,0.0,18.0,317.0,0.0,39.0,,665.0,25.0,6159.0,1284.0,27614.0,7659.0,35111.0,659.0,10197.0
2016,85994.0,0.0,0.0,0.0,54.0,978.0,0.0,0.0,443.0,322.0,492.0,7365.0,1624.0,32578.0,5858.0,29322.0,1951.0,5007.0
2017,92736.0,1.0,44.0,10.0,80.0,1028.0,0.0,38.0,136.0,702.0,690.0,9672.0,1016.0,26924.0,8836.0,38971.0,394.0,4194.0
2018,76543.0,1.0,47.0,0.0,142.0,849.0,5.0,163.0,119.0,1101.0,659.0,7867.0,397.0,20690.0,3853.0,33259.0,489.0,6903.0
2019,84469.0,2.0,46.0,0.0,268.0,806.0,9.0,168.0,882.0,3021.0,830.0,9174.0,852.0,23102.0,7719.0,30131.0,849.0,6610.0
2020,82398.0,1.0,67.0,1.0,371.0,799.0,17.0,124.0,737.0,3228.0,947.0,8213.0,785.0,29850.0,4886.0,24135.0,823.0,7414.0
2021,77456.0,8.0,96.0,19.0,474.0,1056.0,48.0,253.0,22.0,4411.0,1112.0,4965.0,2489.0,26179.0,7226.0,24814.0,979.0,3305.0
2022,82950.0,5.0,103.0,9.0,231.0,555.0,53.0,393.0,37.0,4857.0,1187.0,3393.0,1489.0,29583.0,8479.0,28171.0,1219.0,3186.0
2023,68883.0,6.0,156.0,23.0,240.0,348.0,77.0,296.0,43.0,5505.0,513.0,4255.0,2841.0,23437.0,7166.0,19766.0,1322.0,2889.0
