연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,3332.0,0.0,3517.0,3106.0,2775.0,3654.0,5169.0,3500.0,,2775.0,2841.0,3066.0,4640.0,2945.0,3101.0,3232.0,2930.0,3190.0
2001,3709.0,0.0,3515.0,3995.0,2619.0,3750.0,3805.0,0.0,,2619.0,2889.0,2959.0,4852.0,2573.0,5829.0,3283.0,3256.0,2990.0
2002,3506.0,0.0,3520.0,3348.0,2965.0,3800.0,3586.0,0.0,,2965.0,3054.0,3973.0,3735.0,3867.0,3650.0,3370.0,3233.0,3183.0
2003,3593.0,0.0,3364.0,3270.0,3247.0,3980.0,3880.0,3300.0,,3247.0,3061.0,4184.0,3888.0,3662.0,3736.0,3450.0,3312.0,3187.0
2004,3977.0,0.0,2709.0,3007.0,0.0,3581.0,3540.0,0.0,,3128.0,3343.0,4379.0,4673.0,4075.0,3711.0,3703.0,3610.0,0.0
2005,4065.0,0.0,0.0,3010.0,1800.0,3575.0,3471.0,0.0,,3408.0,3313.0,4615.0,4615.0,4181.0,4013.0,4099.0,3648.0,0.0
2006,4013.0,0.0,0.0,4089.0,0.0,3443.0,0.0,0.0,,3305.0,3719.0,4400.0,4498.0,3945.0,4029.0,4040.0,3639.0,2536.0
2007,4134.0,0.0,0.0,4082.0,3493.0,3027.0,0.0,0.0,,3111.0,5349.0,4405.0,4531.0,4302.0,3710.0,3876.0,3933.0,0.0
2008,4397.0,0.0,0.0,4118.0,3500.0,4130.0,0.0,4123.0,,3108.0,4965.0,5254.0,4534.0,4491.0,4015.0,4178.0,4123.0,3067.0
2009,4319.0,0.0,0.0,4122.0,3703.0,3203.0,3419.0,4032.0,,2401.0,4993.0,5221.0,4465.0,4318.0,3457.0,4381.0,4032.0,3412.0
2010,4347.0,0.0,0.0,3415.0,3435.0,3402.0,4735.0,0.0,,2234.0,5021.0,5189.0,4735.0,4058.0,3286.0,4347.0,4158.0,0.0
2011,4071.0,0.0,0.0,3589.0,3393.0,3126.0,0.0,0.0,,2569.0,4109.0,4670.0,4047.0,4104.0,3150.0,4020.0,4086.0,3595.0
2012,4453.0,0.0,0.0,3609.0,3847.0,3121.0,0.0,3878.0,,3903.0,4474.0,5015.0,5286.0,3893.0,3573.0,4089.0,3878.0,0.0
2013,4683.0,0.0,0.0,3752.0,3824.0,4380.0,0.0,0.0,,3824.0,5426.0,4949.0,5323.0,4431.0,3589.0,5270.0,3948.0,0.0
2014,4199.0,0.0,0.0,3692.0,3695.0,2459.0,0.0,0.0,,3695.0,5100.0,3648.0,4640.0,4136.0,3512.0,4490.0,3907.0,3500.0
2015,4332.0,0.0,0.0,3753.0,3267.0,2524.0,0.0,0.0,,3970.0,4870.0,4911.0,4679.0,4037.0,3685.0,4905.0,3635.0,0.0
2016,4336.0,0.0,0.0,5017.0,3604.0,2804.0,0.0,4057.0,5119.0,5007.0,5429.0,4790.0,4053.0,4120.0,5277.0,5189.0,4057.0,5277.0
2017,4164.0,5063.0,3775.0,3949.0,3643.0,2791.0,0.0,0.0,4823.0,5063.0,5388.0,4505.0,4267.0,3733.0,4377.0,4658.0,3775.0,3643.0
2018,4235.0,2951.0,3251.0,5073.0,3698.0,2523.0,3992.0,3251.0,5238.0,2951.0,5005.0,5661.0,3992.0,4209.0,4130.0,4375.0,3251.0,3057.0
2019,4197.0,0.0,3747.0,5187.0,3755.0,2843.0,0.0,0.0,4823.0,3879.0,5423.0,4415.0,4056.0,4523.0,4254.0,4101.0,3747.0,3009.0
2020,4288.0,3699.0,3733.0,5191.0,3755.0,2705.0,0.0,3733.0,4822.0,3699.0,5439.0,3132.0,5312.0,4493.0,4207.0,4205.0,3733.0,2572.0
2021,4323.0,3705.0,3763.0,5191.0,3755.0,2711.0,5303.0,3763.0,4833.0,3705.0,5506.0,3148.0,5303.0,4543.0,3835.0,4274.0,3763.0,2499.0
2022,4307.0,2235.0,3811.0,5191.0,3755.0,2873.0,5347.0,3811.0,4835.0,2235.0,5515.0,3160.0,5347.0,4549.0,3888.0,4247.0,3811.0,2499.0
2023,4247.0,2229.0,3776.0,5063.0,3755.0,2892.0,5093.0,3776.0,4832.0,2229.0,5512.0,3154.0,5093.0,4960.0,3549.0,3652.0,3776.0,2515.0
