연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,698051.0,0.0,1583.0,8479.0,167.0,18635.0,2843.0,70.0,,4107.0,1676.0,29495.0,182027.0,54895.0,53430.0,75758.0,263993.0,893.0
2001,760405.0,0.0,1019.0,10627.0,655.0,16800.0,1027.0,0.0,,5133.0,982.0,31839.0,188306.0,50662.0,100317.0,68812.0,283239.0,987.0
2002,692099.0,0.0,950.0,8035.0,534.0,14554.0,1399.0,0.0,,6345.0,1130.0,43266.0,150184.0,85035.0,61539.0,66760.0,252336.0,32.0
2003,637498.0,0.0,67.0,10170.0,779.0,9313.0,1086.0,66.0,,4773.0,949.0,47990.0,160030.0,71409.0,49577.0,56339.0,224918.0,32.0
2004,692379.0,0.0,81.0,6916.0,0.0,5873.0,814.0,0.0,,4004.0,1237.0,57321.0,194958.0,80074.0,44718.0,53286.0,243097.0,0.0
2005,777421.0,0.0,0.0,7796.0,342.0,9438.0,243.0,0.0,,5248.0,3180.0,70471.0,222858.0,75467.0,54497.0,60337.0,267544.0,0.0
2006,675610.0,0.0,0.0,9854.0,0.0,5337.0,0.0,0.0,,4726.0,930.0,60412.0,185003.0,69669.0,46938.0,69973.0,222743.0,25.0
2007,651382.0,0.0,0.0,11797.0,105.0,5751.0,0.0,0.0,,5009.0,3263.0,53785.0,185635.0,77049.0,41070.0,66706.0,201212.0,0.0
2008,758058.0,0.0,0.0,6959.0,315.0,6608.0,0.0,330.0,,4009.0,2085.0,88372.0,239713.0,88518.0,29470.0,80468.0,211180.0,31.0
2009,743232.0,0.0,0.0,6430.0,741.0,4420.0,103.0,363.0,,4154.0,4194.0,97006.0,227849.0,95082.0,25858.0,78989.0,197770.0,273.0
2010,613085.0,0.0,0.0,3517.0,275.0,3164.0,47.0,0.0,,3440.0,3816.0,70259.0,178415.0,77670.0,23331.0,67031.0,182120.0,0.0
2011,529035.0,0.0,0.0,3338.0,271.0,2470.0,0.0,0.0,,4033.0,3246.0,74300.0,143628.0,65459.0,18932.0,50692.0,162378.0,288.0
2012,567087.0,0.0,0.0,4223.0,308.0,624.0,0.0,39.0,,5776.0,4787.0,79739.0,201397.0,64273.0,19544.0,51849.0,134528.0,0.0
2013,576021.0,0.0,0.0,3339.0,1262.0,2015.0,0.0,0.0,,4895.0,6240.0,59586.0,218456.0,66775.0,19775.0,60394.0,133284.0,0.0
2014,588291.0,0.0,0.0,5686.0,296.0,762.0,0.0,0.0,,8388.0,6069.0,64716.0,233670.0,78046.0,18262.0,47908.0,124243.0,245.0
2015,544605.0,0.0,0.0,3002.0,294.0,303.0,0.0,0.0,,7345.0,9156.0,62026.0,226885.0,63946.0,18794.0,43949.0,108905.0,0.0
2016,484166.0,0.0,0.0,5418.0,613.0,1178.0,0.0,41.0,2969.0,4657.0,8361.0,95417.0,149434.0,48616.0,23272.0,29162.0,114448.0,580.0
2017,413735.0,3.0,82.0,11597.0,497.0,835.0,0.0,0.0,6265.0,3422.0,11238.0,94870.0,88126.0,43919.0,17147.0,29006.0,106702.0,26.0
2018,400091.0,1.0,41.0,10104.0,44.0,670.0,169.0,3.0,3622.0,2410.0,9428.0,110464.0,95191.0,50232.0,17521.0,20390.0,79373.0,428.0
2019,391346.0,0.0,269.0,10892.0,468.0,743.0,0.0,0.0,6330.0,2849.0,11053.0,82273.0,107306.0,62142.0,13939.0,17844.0,74230.0,1008.0
2020,384131.0,0.0,46.0,9696.0,459.0,46.0,0.0,44.0,4444.0,3753.0,9444.0,61175.0,136833.0,63455.0,17970.0,16309.0,59544.0,913.0
2021,411573.0,0.0,24.0,9476.0,664.0,524.0,12.0,1.0,4418.0,6993.0,14732.0,56392.0,138626.0,75987.0,17221.0,24549.0,61680.0,274.0
2022,404217.0,1.0,7.0,9603.0,344.0,612.0,56.0,1.0,3621.0,3794.0,17060.0,55265.0,130599.0,75235.0,15619.0,22498.0,69674.0,228.0
2023,396234.0,1.0,6.0,15575.0,211.0,520.0,6.0,34.0,3485.0,3894.0,14470.0,55047.0,116893.0,83535.0,16182.0,20215.0,65982.0,178.0
