연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,3837.0,0.0,3750.0,0.0,5386.0,3500.0,3384.0,5450.0,,3038.0,4511.0,4675.0,4344.0,3411.0,5027.0,3611.0,2532.0,650.0
2001,4030.0,3330.0,4500.0,0.0,5244.0,0.0,5936.0,6200.0,,3330.0,4520.0,4891.0,2868.0,3763.0,5101.0,3762.0,2084.0,657.0
2002,4085.0,0.0,4962.0,3790.0,6028.0,0.0,0.0,5747.0,,3661.0,4437.0,4382.0,3294.0,3721.0,5163.0,3731.0,3027.0,3711.0
2003,3848.0,4000.0,0.0,0.0,6010.0,2800.0,2951.0,5777.0,,3656.0,4380.0,3655.0,3193.0,3836.0,3501.0,3930.0,3198.0,3500.0
2004,4225.0,2826.0,5012.0,4147.0,5408.0,4150.0,0.0,3708.0,,3765.0,4057.0,3691.0,3469.0,3871.0,4670.0,6792.0,3195.0,3475.0
2005,4200.0,2000.0,5012.0,4320.0,4193.0,4425.0,2670.0,3629.0,,4258.0,4322.0,3680.0,3856.0,4258.0,5290.0,4258.0,3232.0,3349.0
2006,4300.0,2000.0,5790.0,4165.0,3947.0,4857.0,2933.0,3591.0,,4222.0,4574.0,3754.0,4829.0,3886.0,5009.0,4530.0,4150.0,3000.0
2007,4329.0,2217.0,0.0,0.0,3698.0,0.0,3152.0,3450.0,,4348.0,4562.0,4351.0,4778.0,3972.0,4897.0,3581.0,4160.0,3000.0
2008,4366.0,2500.0,5582.0,4241.0,3635.0,0.0,3068.0,3900.0,,3775.0,4781.0,5081.0,4091.0,4242.0,4495.0,3871.0,4763.0,3000.0
2009,4485.0,2758.0,4500.0,4423.0,3719.0,0.0,0.0,2000.0,,3498.0,4684.0,5799.0,4221.0,4313.0,4820.0,4241.0,4241.0,3100.0
2010,4064.0,3155.0,0.0,4174.0,3432.0,0.0,0.0,2000.0,,3155.0,4258.0,5635.0,4421.0,4614.0,4700.0,4484.0,4843.0,4700.0
2011,3889.0,2988.0,0.0,0.0,3685.0,0.0,0.0,2356.0,,2988.0,4016.0,4073.0,4309.0,4600.0,4002.0,4984.0,3592.0,4002.0
2012,4134.0,3456.0,0.0,4029.0,4129.0,0.0,0.0,2282.0,,3456.0,4430.0,4212.0,4283.0,4455.0,4125.0,4002.0,3195.0,4125.0
2013,4314.0,0.0,0.0,0.0,3251.0,0.0,0.0,2769.0,,3617.0,4431.0,5816.0,4005.0,3056.0,4098.0,4490.0,2933.0,303.0
2014,3800.0,0.0,3157.0,0.0,2954.0,0.0,3500.0,2317.0,,2954.0,3904.0,3930.0,4258.0,5694.0,4095.0,3875.0,3157.0,3800.0
2015,3858.0,0.0,0.0,0.0,2930.0,0.0,0.0,2319.0,,2930.0,3817.0,4110.0,5162.0,4955.0,4280.0,3658.0,3190.0,0.0
2016,3803.0,0.0,3358.0,0.0,2491.0,0.0,5313.0,0.0,1850.0,2491.0,4643.0,2284.0,5313.0,5243.0,4907.0,4511.0,3358.0,4907.0
2017,4033.0,3062.0,5863.0,0.0,3062.0,5656.0,4633.0,2253.0,1850.0,3062.0,4253.0,3584.0,4633.0,5961.0,5656.0,3905.0,3224.0,5656.0
2018,4212.0,3866.0,5864.0,0.0,3866.0,8161.0,4915.0,2362.0,1955.0,3866.0,3849.0,2559.0,4915.0,8821.0,8161.0,4141.0,3237.0,8161.0
2019,4129.0,3015.0,5864.0,3252.0,3015.0,6088.0,4676.0,2362.0,1955.0,3015.0,4352.0,3823.0,4676.0,6761.0,6088.0,4017.0,3331.0,6088.0
2020,4081.0,3013.0,5864.0,3327.0,3013.0,6088.0,4709.0,2362.0,1955.0,3013.0,4241.0,3641.0,4709.0,6342.0,6088.0,3876.0,3330.0,6088.0
2021,3997.0,3028.0,5805.0,3327.0,3028.0,6088.0,4696.0,2362.0,1955.0,3028.0,4246.0,3641.0,4696.0,6021.0,6088.0,3844.0,4049.0,6088.0
2022,4119.0,3302.0,5805.0,3327.0,3302.0,6046.0,4694.0,2362.0,1955.0,3302.0,4309.0,3629.0,4694.0,6021.0,6046.0,3942.0,4123.0,6046.0
2023,4078.0,3409.0,5805.0,5313.0,3409.0,5999.0,4720.0,2362.0,1955.0,3409.0,4233.0,3573.0,4720.0,5758.0,5999.0,3413.0,4135.0,5999.0
