연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,54717.0,0.0,713.0,0.0,969.0,35.0,102.0,273.0,,14218.0,10195.0,11127.0,3258.0,3343.0,4223.0,5525.0,658.0,78.0
2001,62744.0,33.0,135.0,0.0,1154.0,0.0,59.0,248.0,,15851.0,15052.0,14575.0,2094.0,2446.0,4183.0,6621.0,208.0,85.0
2002,56858.0,0.0,50.0,76.0,964.0,0.0,0.0,345.0,,13143.0,14509.0,12138.0,2866.0,2270.0,3924.0,5708.0,605.0,260.0
2003,49910.0,80.0,0.0,0.0,721.0,28.0,30.0,289.0,,11334.0,12965.0,8991.0,2203.0,3376.0,3256.0,5659.0,768.0,210.0
2004,54038.0,28.0,200.0,41.0,541.0,208.0,0.0,148.0,,11069.0,10873.0,10113.0,3226.0,2865.0,3783.0,10392.0,447.0,104.0
2005,56948.0,40.0,150.0,86.0,419.0,177.0,80.0,145.0,,12050.0,14695.0,8354.0,3239.0,4173.0,5026.0,7452.0,226.0,636.0
2006,53497.0,20.0,116.0,42.0,671.0,146.0,29.0,144.0,,9162.0,15963.0,10286.0,2656.0,3225.0,4458.0,5889.0,540.0,150.0
2007,47359.0,22.0,0.0,0.0,592.0,0.0,32.0,380.0,,10087.0,17564.0,6483.0,3058.0,2145.0,1763.0,4727.0,416.0,90.0
2008,55102.0,50.0,56.0,127.0,763.0,0.0,92.0,39.0,,8230.0,16973.0,10162.0,3314.0,1527.0,3326.0,9794.0,619.0,30.0
2009,41756.0,55.0,45.0,221.0,967.0,0.0,0.0,20.0,,5282.0,14052.0,8177.0,3883.0,863.0,1446.0,6234.0,170.0,341.0
2010,32798.0,32.0,0.0,125.0,583.0,0.0,0.0,40.0,,7604.0,12902.0,3268.0,2387.0,1107.0,1128.0,3094.0,387.0,141.0
2011,41305.0,60.0,0.0,0.0,737.0,0.0,0.0,118.0,,6843.0,16666.0,6639.0,3059.0,2530.0,600.0,3190.0,503.0,360.0
2012,39937.0,35.0,0.0,81.0,578.0,0.0,0.0,23.0,,5875.0,16435.0,5139.0,3983.0,1426.0,1774.0,4122.0,383.0,83.0
2013,34209.0,0.0,0.0,0.0,228.0,0.0,0.0,28.0,,5028.0,11476.0,6805.0,3324.0,1497.0,533.0,4759.0,528.0,3.0
2014,32753.0,0.0,32.0,0.0,325.0,0.0,280.0,46.0,,5376.0,13508.0,4480.0,2384.0,2790.0,573.0,2403.0,442.0,114.0
2015,30828.0,0.0,0.0,0.0,469.0,0.0,0.0,23.0,,3633.0,10840.0,6042.0,3768.0,1784.0,86.0,3768.0,415.0,0.0
2016,33274.0,0.0,101.0,0.0,274.0,0.0,53.0,0.0,37.0,3811.0,17040.0,3906.0,2444.0,1940.0,49.0,2707.0,470.0,442.0
2017,44888.0,23.0,95.0,0.0,249.0,4.0,48.0,43.0,10.0,4821.0,19214.0,7733.0,3468.0,3500.0,876.0,3979.0,634.0,191.0
2018,48849.0,11.0,84.0,0.0,1451.0,50.0,6.0,92.0,8.0,5435.0,14823.0,6427.0,5186.0,9517.0,645.0,4170.0,268.0,679.0
2019,41250.0,15.0,107.0,16.0,517.0,35.0,51.0,68.0,33.0,5142.0,17096.0,6308.0,4221.0,1616.0,263.0,3142.0,347.0,2273.0
2020,43638.0,11.0,73.0,19.0,394.0,73.0,25.0,83.0,59.0,4538.0,20711.0,6287.0,2781.0,3804.0,636.0,3334.0,397.0,413.0
2021,44501.0,36.0,278.0,65.0,439.0,45.0,78.0,212.0,737.0,4774.0,18315.0,6475.0,6216.0,2355.0,976.0,2257.0,1016.0,227.0
2022,31846.0,41.0,252.0,32.0,516.0,53.0,140.0,237.0,14.0,3994.0,14831.0,2945.0,3382.0,768.0,1071.0,2496.0,836.0,238.0
2023,40983.0,39.0,265.0,38.0,417.0,102.0,183.0,235.0,28.0,5266.0,21792.0,2920.0,4370.0,376.0,1552.0,2305.0,1004.0,91.0
