연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,6825.0,2962.0,7933.0,12634.0,9584.0,10063.0,9747.0,7000.0,,2962.0,6073.0,4126.0,7024.0,4607.0,11214.0,6195.0,5145.0,5992.0
2001,7184.0,2990.0,7930.0,11681.0,7009.0,10300.0,3630.0,9800.0,,3033.0,6507.0,6087.0,7082.0,8635.0,11217.0,6547.0,8024.0,0.0
2002,7405.0,6420.0,7930.0,9820.0,6783.0,12930.0,3531.0,6653.0,,3039.0,6858.0,4340.0,8005.0,6988.0,11240.0,9129.0,7278.0,0.0
2003,7384.0,7320.0,6775.0,10410.0,6091.0,6900.0,5944.0,6651.0,,3489.0,6211.0,4652.0,7399.0,6789.0,11221.0,10301.0,6797.0,4387.0
2004,7445.0,7627.0,5600.0,11790.0,5881.0,7970.0,7080.0,6650.0,,3843.0,6540.0,5453.0,6678.0,11252.0,11346.0,10330.0,5891.0,6454.0
2005,7701.0,7508.0,6770.0,12034.0,5069.0,7765.0,6741.0,6356.0,,5098.0,5850.0,5762.0,7965.0,9986.0,9524.0,10127.0,9618.0,6130.0
2006,7310.0,6925.0,6738.0,10318.0,4847.0,7820.0,6796.0,5860.0,,4932.0,5611.0,6013.0,8220.0,9376.0,9108.0,9997.0,7365.0,6845.0
2007,7446.0,6909.0,6718.0,6523.0,5178.0,8366.0,6801.0,6250.0,,4891.0,6457.0,6809.0,8045.0,9010.0,9442.0,8624.0,8570.0,6533.0
2008,7528.0,6900.0,6775.0,9192.0,6144.0,7442.0,6740.0,0.0,,4892.0,6553.0,8462.0,9305.0,8236.0,8598.0,9233.0,7442.0,6539.0
2009,7755.0,7323.0,6700.0,9299.0,6250.0,8336.0,6770.0,2800.0,,5009.0,6544.0,8862.0,9420.0,9082.0,8450.0,9475.0,8365.0,0.0
2010,7617.0,4781.0,3111.0,10263.0,6131.0,7873.0,4563.0,2374.0,,4781.0,5655.0,9140.0,9188.0,8773.0,9084.0,9865.0,8683.0,4420.0
2011,7547.0,4470.0,6901.0,10969.0,6321.0,6659.0,4450.0,4647.0,,4470.0,5605.0,8012.0,8900.0,8335.0,8853.0,9938.0,9633.0,8328.0
2012,7752.0,6826.0,7170.0,10971.0,8323.0,5522.0,4629.0,4648.0,,4811.0,5928.0,8045.0,9691.0,8120.0,8976.0,9594.0,9589.0,8380.0
2013,7770.0,6826.0,6394.0,9908.0,5752.0,4975.0,4541.0,4649.0,,5214.0,6371.0,7598.0,9807.0,8972.0,9207.0,9201.0,9187.0,5998.0
2014,7508.0,6826.0,0.0,4727.0,5930.0,6459.0,3755.0,2670.0,,6057.0,8007.0,8877.0,8474.0,8506.0,9200.0,7921.0,9552.0,6816.0
2015,7196.0,6826.0,7585.0,4706.0,5334.0,6427.0,4246.0,2673.0,,5921.0,6082.0,8989.0,8202.0,7656.0,8990.0,7712.0,8383.0,5865.0
2016,7693.0,0.0,0.0,6774.0,5122.0,6599.0,3980.0,2377.0,8438.0,6641.0,5172.0,10139.0,8270.0,7627.0,8417.0,8588.0,8643.0,6691.0
2017,7792.0,5850.0,0.0,7628.0,5682.0,6588.0,4338.0,3490.0,8522.0,6357.0,5759.0,11193.0,5342.0,7957.0,9580.0,11533.0,10673.0,5044.0
2018,8222.0,5844.0,7111.0,5947.0,4861.0,6622.0,4161.0,4438.0,8430.0,5470.0,5117.0,7828.0,8784.0,8378.0,8535.0,13564.0,8582.0,4777.0
2019,8196.0,5844.0,6878.0,7402.0,5587.0,6588.0,4351.0,4484.0,8561.0,6574.0,4942.0,8857.0,8084.0,10832.0,9899.0,11237.0,10073.0,3889.0
2020,7995.0,5844.0,7326.0,7402.0,5540.0,6391.0,4335.0,0.0,8560.0,6547.0,4981.0,8869.0,8671.0,10239.0,10013.0,9093.0,10027.0,3936.0
2021,7960.0,5844.0,7298.0,7402.0,5532.0,6390.0,4308.0,4575.0,8588.0,5961.0,4997.0,8837.0,8591.0,10235.0,9876.0,9201.0,10009.0,3915.0
2022,8165.0,5844.0,7097.0,7402.0,5538.0,6303.0,4417.0,4575.0,8569.0,5468.0,5121.0,9715.0,9684.0,10241.0,9724.0,9950.0,9377.0,3919.0
2023,8046.0,5844.0,7272.0,9988.0,5538.0,6390.0,4273.0,4575.0,8423.0,5337.0,5428.0,9347.0,9380.0,11235.0,9701.0,8611.0,9250.0,4013.0
