연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,398808.0,504.0,6584.0,4296.0,21852.0,6943.0,8382.0,1260.0,,28228.0,38321.0,12213.0,60617.0,21192.0,138829.0,28931.0,20117.0,539.0
2001,388774.0,598.0,8564.0,4789.0,13317.0,8137.0,4138.0,196.0,,26690.0,43337.0,10713.0,62817.0,32640.0,107795.0,35354.0,29689.0,0.0
2002,406849.0,1862.0,8247.0,4124.0,17975.0,11249.0,2119.0,931.0,,27868.0,53904.0,10156.0,64280.0,25925.0,113636.0,41720.0,22853.0,0.0
2003,395123.0,1830.0,6504.0,2811.0,15715.0,5520.0,4636.0,67.0,,28121.0,52669.0,6187.0,67997.0,16429.0,105590.0,60158.0,20187.0,702.0
2004,353426.0,1602.0,3192.0,3891.0,11115.0,9963.0,4460.0,200.0,,32204.0,48069.0,7307.0,46011.0,33081.0,80103.0,49687.0,20088.0,2453.0
2005,346332.0,1201.0,5281.0,4092.0,8161.0,6445.0,5258.0,1144.0,,39051.0,37908.0,7145.0,47232.0,23367.0,76192.0,50432.0,30297.0,3126.0
2006,336058.0,1662.0,1145.0,4849.0,1454.0,3597.0,6932.0,293.0,,47791.0,33273.0,6795.0,75213.0,28597.0,41077.0,42887.0,39329.0,1164.0
2007,282866.0,1796.0,336.0,2414.0,1191.0,7446.0,7549.0,63.0,,37172.0,26151.0,12188.0,54626.0,23336.0,41073.0,36480.0,29738.0,1307.0
2008,328819.0,621.0,339.0,7262.0,2519.0,6549.0,11256.0,0.0,,47746.0,27719.0,18363.0,63460.0,18119.0,45311.0,52259.0,26642.0,654.0
2009,310262.0,1977.0,1608.0,6509.0,1313.0,6669.0,8327.0,224.0,,45081.0,26241.0,18965.0,49172.0,23795.0,33040.0,61493.0,25848.0,0.0
2010,273366.0,382.0,373.0,1026.0,2023.0,3937.0,5156.0,166.0,,40830.0,18153.0,14167.0,70564.0,16932.0,21620.0,55540.0,22055.0,442.0
2011,262500.0,1118.0,1311.0,1316.0,1454.0,2664.0,6008.0,232.0,,33302.0,17544.0,10416.0,70755.0,17420.0,17972.0,54261.0,26394.0,333.0
2012,248134.0,1297.0,1076.0,3730.0,4411.0,2706.0,5370.0,279.0,,34784.0,18970.0,5712.0,73361.0,13073.0,10681.0,45859.0,26657.0,168.0
2013,220367.0,137.0,448.0,6242.0,1726.0,1542.0,5358.0,139.0,,34517.0,17966.0,6382.0,58254.0,13099.0,13442.0,41865.0,18650.0,600.0
2014,246352.0,341.0,0.0,5294.0,1601.0,2519.0,4431.0,267.0,,49849.0,26823.0,7190.0,54149.0,8846.0,22172.0,39605.0,22447.0,818.0
2015,240212.0,1160.0,76.0,2682.0,2080.0,1992.0,5987.0,187.0,,41033.0,22017.0,17618.0,64222.0,16690.0,14834.0,32005.0,17101.0,528.0
2016,300486.0,0.0,0.0,3116.0,3073.0,264.0,1672.0,48.0,2447.0,45292.0,21464.0,29403.0,71784.0,24254.0,20369.0,61919.0,12705.0,2676.0
2017,296476.0,28.0,0.0,2040.0,3804.0,431.0,1484.0,82.0,1561.0,37187.0,26704.0,34389.0,53118.0,15270.0,17995.0,88729.0,11573.0,2081.0
2018,342365.0,80.0,404.0,1729.0,3019.0,189.0,1352.0,192.0,3908.0,38087.0,19792.0,24821.0,107748.0,18665.0,27103.0,76299.0,15880.0,3096.0
2019,324815.0,77.0,201.0,793.0,4039.0,1154.0,1570.0,233.0,2067.0,54074.0,20394.0,27627.0,82865.0,27969.0,23077.0,61796.0,16140.0,739.0
2020,291958.0,162.0,210.0,834.0,3851.0,1291.0,1891.0,0.0,1941.0,40802.0,20765.0,30136.0,78578.0,13982.0,27432.0,54268.0,14013.0,1802.0
2021,239432.0,90.0,757.0,4935.0,1652.0,999.0,2312.0,181.0,7188.0,28831.0,14192.0,15778.0,63635.0,34447.0,7267.0,41008.0,13691.0,2469.0
2022,250080.0,551.0,744.0,3037.0,1870.0,858.0,2115.0,233.0,9624.0,27057.0,19411.0,20621.0,63413.0,26817.0,18102.0,47998.0,5179.0,2450.0
2023,247270.0,534.0,24.0,2309.0,1577.0,455.0,1292.0,438.0,6981.0,25822.0,21639.0,22354.0,73616.0,25602.0,15801.0,34862.0,11879.0,2085.0
