연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,1778.0,0.0,0.0,2416.0,1910.0,2643.0,0.0,2586.0,,1545.0,1861.0,1979.0,2025.0,2414.0,1695.0,2416.0,2586.0,1613.0
2001,1929.0,0.0,2030.0,0.0,1995.0,0.0,0.0,2777.0,,1908.0,1771.0,1912.0,2041.0,2649.0,1853.0,2288.0,2777.0,1694.0
2002,2053.0,0.0,0.0,0.0,1982.0,0.0,0.0,3413.0,,1941.0,1885.0,1873.0,2207.0,2119.0,3472.0,3052.0,0.0,1691.0
2003,2002.0,0.0,0.0,0.0,2004.0,0.0,2500.0,3407.0,,1965.0,1966.0,1710.0,2141.0,2015.0,2681.0,3078.0,1667.0,1540.0
2004,2078.0,0.0,0.0,3321.0,1763.0,2000.0,0.0,3333.0,,2301.0,1977.0,1647.0,1989.0,2218.0,2175.0,3321.0,0.0,1590.0
2005,2109.0,2119.0,0.0,3482.0,1794.0,1900.0,0.0,3000.0,,2119.0,1976.0,2011.0,2239.0,2135.0,1957.0,3482.0,1757.0,2042.0
2006,2083.0,2173.0,0.0,0.0,1809.0,0.0,0.0,3000.0,,2173.0,1947.0,2160.0,2276.0,1775.0,2087.0,3055.0,2412.0,2000.0
2007,2091.0,2149.0,2247.0,3064.0,1783.0,1929.0,0.0,0.0,,2149.0,1900.0,0.0,2206.0,2000.0,2336.0,0.0,2247.0,2000.0
2008,2172.0,2687.0,0.0,0.0,1814.0,1889.0,0.0,1950.0,,2687.0,1926.0,2074.0,2288.0,2090.0,2033.0,2850.0,2250.0,1703.0
2009,2384.0,0.0,1740.0,2739.0,1891.0,0.0,0.0,0.0,,3040.0,0.0,1316.0,2333.0,2336.0,2167.0,2739.0,1740.0,1600.0
2010,2242.0,0.0,0.0,0.0,1794.0,0.0,0.0,2418.0,,3085.0,1768.0,1768.0,2288.0,2300.0,1949.0,2418.0,0.0,1600.0
2011,2100.0,2826.0,0.0,2605.0,1596.0,0.0,0.0,0.0,,2826.0,1745.0,2279.0,2151.0,2377.0,1921.0,2605.0,1200.0,1605.0
2012,2090.0,2421.0,0.0,0.0,2100.0,0.0,0.0,0.0,,2421.0,2339.0,2279.0,1739.0,2200.0,1975.0,2480.0,1191.0,1630.0
2013,1870.0,2416.0,0.0,0.0,1000.0,0.0,0.0,2408.0,,2416.0,2158.0,1591.0,1591.0,2267.0,1920.0,2501.0,2408.0,1710.0
2014,2238.0,2402.0,0.0,0.0,2402.0,0.0,0.0,0.0,,2402.0,2610.0,2238.0,1440.0,2200.0,1905.0,2826.0,2238.0,1600.0
2015,1934.0,0.0,0.0,0.0,2421.0,0.0,0.0,0.0,,2421.0,2148.0,1547.0,1547.0,1547.0,1547.0,2499.0,2282.0,1552.0
2016,1697.0,0.0,0.0,0.0,2364.0,0.0,0.0,2100.0,0.0,2364.0,1408.0,1412.0,1412.0,1412.0,1412.0,2227.0,2227.0,1455.0
2017,1805.0,2355.0,2286.0,2286.0,2355.0,1650.0,1286.0,2100.0,2000.0,2355.0,1384.0,1286.0,1286.0,1650.0,1650.0,2286.0,2286.0,1477.0
2018,2138.0,1966.0,915.0,0.0,1966.0,2808.0,2808.0,915.0,1515.0,1966.0,1990.0,1200.0,2808.0,2808.0,2808.0,2228.0,915.0,1519.0
2019,2007.0,2342.0,1500.0,0.0,2342.0,1500.0,3005.0,915.0,1515.0,2342.0,1423.0,1207.0,3005.0,1500.0,1500.0,1207.0,1500.0,1477.0
2020,2071.0,2252.0,1423.0,1423.0,2252.0,1183.0,3133.0,915.0,1515.0,2252.0,1423.0,1183.0,3133.0,1183.0,1183.0,1423.0,1423.0,1477.0
2021,1990.0,2252.0,1477.0,1428.0,2252.0,1477.0,1515.0,1477.0,1515.0,2252.0,1428.0,1183.0,3888.0,1477.0,1477.0,1428.0,1477.0,1477.0
2022,2644.0,2252.0,1183.0,1183.0,2252.0,1477.0,3908.0,1183.0,1515.0,2252.0,1427.0,1183.0,3908.0,3908.0,3908.0,1183.0,1183.0,1477.0
2023,2470.0,2338.0,1259.0,1259.0,2338.0,3660.0,3660.0,1259.0,1515.0,2338.0,1259.0,1183.0,3660.0,3660.0,3660.0,1259.0,1259.0,1477.0
