연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,13405.0,0.0,0.0,169.0,516.0,79.0,0.0,26.0,,4002.0,558.0,871.0,1478.0,555.0,1627.0,1039.0,259.0,2226.0
2001,11573.0,0.0,122.0,0.0,579.0,0.0,0.0,28.0,,5094.0,514.0,554.0,1653.0,291.0,760.0,160.0,361.0,1457.0
2002,9814.0,0.0,0.0,0.0,476.0,0.0,0.0,34.0,,4387.0,773.0,337.0,1302.0,85.0,833.0,488.0,0.0,1099.0
2003,7448.0,0.0,0.0,0.0,481.0,0.0,25.0,34.0,,3399.0,295.0,393.0,878.0,443.0,590.0,277.0,17.0,616.0
2004,7628.0,0.0,0.0,33.0,300.0,20.0,0.0,33.0,,3820.0,316.0,165.0,696.0,266.0,587.0,199.0,0.0,1193.0
2005,8900.0,64.0,0.0,104.0,341.0,19.0,0.0,30.0,,3136.0,316.0,241.0,918.0,192.0,1233.0,348.0,18.0,1940.0
2006,5729.0,22.0,0.0,0.0,217.0,0.0,0.0,30.0,,1869.0,117.0,130.0,410.0,355.0,1294.0,61.0,24.0,1200.0
2007,4433.0,21.0,22.0,31.0,303.0,39.0,0.0,0.0,,1397.0,285.0,0.0,529.0,220.0,584.0,0.0,22.0,980.0
2008,4322.0,27.0,0.0,0.0,290.0,19.0,0.0,39.0,,1478.0,19.0,21.0,618.0,418.0,325.0,86.0,113.0,869.0
2009,3052.0,0.0,17.0,27.0,246.0,0.0,0.0,0.0,,1034.0,0.0,39.0,467.0,374.0,390.0,247.0,35.0,176.0
2010,2645.0,0.0,0.0,0.0,144.0,0.0,0.0,48.0,,1141.0,71.0,53.0,114.0,92.0,429.0,73.0,0.0,480.0
2011,2793.0,28.0,0.0,130.0,271.0,0.0,0.0,0.0,,1074.0,52.0,46.0,108.0,95.0,365.0,26.0,36.0,562.0
2012,4578.0,48.0,0.0,0.0,147.0,0.0,0.0,0.0,,1646.0,164.0,68.0,435.0,110.0,217.0,794.0,36.0,913.0
2013,2525.0,24.0,0.0,0.0,70.0,0.0,0.0,24.0,,435.0,22.0,16.0,95.0,272.0,307.0,25.0,72.0,1163.0
2014,2842.0,24.0,0.0,0.0,24.0,0.0,0.0,0.0,,528.0,157.0,22.0,173.0,506.0,286.0,876.0,22.0,224.0
2015,2572.0,0.0,0.0,0.0,266.0,0.0,0.0,0.0,,775.0,21.0,31.0,62.0,449.0,139.0,325.0,23.0,481.0
2016,3258.0,0.0,0.0,0.0,189.0,0.0,0.0,42.0,0.0,544.0,42.0,297.0,184.0,198.0,833.0,534.0,89.0,306.0
2017,2298.0,8.0,11.0,2.0,185.0,42.0,4.0,43.0,22.0,789.0,123.0,24.0,302.0,73.0,228.0,66.0,72.0,304.0
2018,3104.0,1.0,4.0,0.0,184.0,74.0,2.0,29.0,32.0,859.0,72.0,73.0,514.0,373.0,571.0,56.0,56.0,205.0
2019,3194.0,2.0,8.0,0.0,429.0,14.0,5.0,35.0,49.0,1329.0,84.0,23.0,441.0,144.0,214.0,61.0,137.0,219.0
2020,3856.0,2.0,14.0,14.0,301.0,41.0,12.0,18.0,8.0,1103.0,165.0,44.0,1403.0,66.0,246.0,128.0,133.0,158.0
2021,4214.0,3.0,16.0,2.0,277.0,12.0,11.0,62.0,6.0,1210.0,129.0,60.0,968.0,363.0,203.0,192.0,222.0,478.0
2022,5599.0,18.0,15.0,1.0,259.0,5.0,30.0,49.0,5.0,1394.0,150.0,71.0,915.0,1341.0,904.0,85.0,108.0,249.0
2023,4726.0,5.0,22.0,0.0,200.0,63.0,81.0,48.0,39.0,1362.0,144.0,69.0,1028.0,532.0,717.0,193.0,194.0,29.0
