연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,3380.0,0.0,2442.0,2724.0,2551.0,3472.0,6492.0,2000.0,,2551.0,2061.0,1843.0,2912.0,2883.0,2961.0,3645.0,2442.0,0.0
2001,3212.0,0.0,0.0,3874.0,2000.0,3140.0,2856.0,0.0,,2270.0,2370.0,2311.0,2620.0,2867.0,2985.0,3338.0,2627.0,0.0
2002,3169.0,0.0,0.0,2848.0,2315.0,3175.0,2349.0,0.0,,2362.0,2895.0,2396.0,2349.0,2817.0,3240.0,3252.0,2977.0,0.0
2003,3151.0,0.0,3281.0,2850.0,2000.0,3210.0,2382.0,0.0,,2456.0,2395.0,2361.0,2382.0,2996.0,3378.0,3163.0,3281.0,0.0
2004,3382.0,0.0,0.0,2774.0,1600.0,3112.0,0.0,0.0,,2422.0,3600.0,2609.0,2520.0,2760.0,2725.0,3550.0,2469.0,0.0
2005,2868.0,0.0,0.0,2823.0,700.0,3105.0,0.0,2193.0,,2222.0,3152.0,2397.0,2581.0,2780.0,2625.0,2950.0,2193.0,5000.0
2006,3266.0,0.0,0.0,2998.0,1100.0,3329.0,0.0,0.0,,2109.0,2238.0,2320.0,2721.0,2673.0,2666.0,3355.0,2787.0,2666.0
2007,3211.0,0.0,0.0,2913.0,1100.0,2900.0,0.0,0.0,,2166.0,2549.0,0.0,2584.0,2888.0,2760.0,3270.0,3057.0,0.0
2008,3372.0,0.0,0.0,2897.0,2550.0,0.0,0.0,0.0,,2168.0,2714.0,4625.0,2863.0,3172.0,2863.0,3445.0,2620.0,0.0
2009,3405.0,0.0,0.0,2896.0,0.0,0.0,0.0,0.0,,2723.0,2822.0,2841.0,3401.0,2543.0,2410.0,3518.0,2541.0,0.0
2010,3364.0,0.0,2334.0,2860.0,2500.0,0.0,3413.0,0.0,,2728.0,2502.0,2867.0,3413.0,2274.0,2329.0,3450.0,2334.0,0.0
2011,3099.0,0.0,0.0,2944.0,2670.0,0.0,0.0,0.0,,2670.0,3101.0,2900.0,3206.0,2450.0,2326.0,3139.0,2217.0,0.0
2012,3240.0,0.0,0.0,3099.0,2361.0,0.0,0.0,0.0,,2763.0,0.0,2780.0,4973.0,2460.0,2324.0,3285.0,1802.0,0.0
2013,3236.0,2292.0,0.0,3215.0,0.0,0.0,0.0,0.0,,2292.0,2930.0,2775.0,3715.0,2122.0,2306.0,3291.0,1447.0,0.0
2014,2900.0,0.0,0.0,3212.0,0.0,0.0,0.0,0.0,,2717.0,0.0,2800.0,2266.0,1940.0,2300.0,2929.0,1637.0,0.0
2015,2988.0,0.0,0.0,3218.0,0.0,0.0,2723.0,0.0,,2482.0,0.0,2723.0,2723.0,1647.0,2250.0,3035.0,1495.0,0.0
2016,3157.0,0.0,0.0,3275.0,2466.0,0.0,0.0,0.0,2650.0,2466.0,2471.0,2650.0,2650.0,1732.0,0.0,3200.0,1594.0,0.0
2017,4748.0,2515.0,0.0,3284.0,2515.0,0.0,0.0,1417.0,2798.0,2515.0,2471.0,2798.0,2798.0,1681.0,2181.0,4980.0,1471.0,2181.0
2018,3674.0,2474.0,0.0,4034.0,2474.0,0.0,2399.0,0.0,2399.0,2474.0,2290.0,2290.0,2399.0,2104.0,5028.0,3703.0,1764.0,5028.0
2019,4215.0,0.0,0.0,4046.0,2485.0,3231.0,0.0,0.0,0.0,2485.0,2512.0,2618.0,2618.0,2104.0,5028.0,4287.0,1422.0,5028.0
2020,4254.0,2456.0,1422.0,4039.0,2456.0,2977.0,2756.0,1422.0,2756.0,2456.0,2512.0,2756.0,2756.0,2103.0,5028.0,4315.0,1422.0,0.0
2021,4377.0,0.0,1422.0,4039.0,2456.0,0.0,2756.0,1422.0,2756.0,2456.0,2494.0,2756.0,2756.0,2103.0,5028.0,4483.0,1422.0,0.0
2022,4356.0,2446.0,1381.0,4039.0,2446.0,2977.0,218.0,0.0,218.0,2446.0,2570.0,218.0,218.0,2103.0,5028.0,4453.0,1381.0,0.0
2023,4644.0,2460.0,1422.0,4039.0,2460.0,2977.0,255.0,1422.0,0.0,2460.0,2571.0,255.0,255.0,2104.0,4591.0,4729.0,1422.0,4591.0
