연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,319375.0,0.0,244.0,5121.0,128.0,1910.0,1169.0,40.0,,4643.0,144.0,479.0,8357.0,18019.0,5034.0,247860.0,26227.0,0.0
2001,258752.0,0.0,0.0,5346.0,260.0,1162.0,29.0,0.0,,3450.0,166.0,624.0,1205.0,11955.0,5761.0,207857.0,20937.0,0.0
2002,237373.0,0.0,0.0,3047.0,46.0,476.0,23.0,0.0,,3189.0,145.0,743.0,2372.0,7803.0,2884.0,193722.0,22923.0,0.0
2003,231912.0,0.0,33.0,1226.0,200.0,385.0,71.0,0.0,,3365.0,168.0,354.0,381.0,8239.0,4628.0,189337.0,23525.0,0.0
2004,235470.0,0.0,0.0,2552.0,32.0,280.0,0.0,0.0,,3585.0,36.0,209.0,151.0,5879.0,2807.0,204977.0,14962.0,0.0
2005,190885.0,0.0,0.0,3049.0,42.0,342.0,0.0,22.0,,3222.0,32.0,48.0,568.0,2196.0,761.0,169478.0,11075.0,50.0
2006,213983.0,0.0,0.0,8574.0,55.0,133.0,0.0,0.0,,2678.0,134.0,162.0,1388.0,1818.0,1093.0,188585.0,9336.0,27.0
2007,200983.0,0.0,0.0,9030.0,33.0,87.0,0.0,0.0,,3184.0,76.0,0.0,801.0,722.0,1297.0,180831.0,4922.0,0.0
2008,216063.0,0.0,0.0,12399.0,128.0,0.0,0.0,0.0,,2580.0,27.0,139.0,286.0,634.0,916.0,197330.0,1624.0,0.0
2009,224780.0,0.0,0.0,14393.0,0.0,0.0,0.0,0.0,,3567.0,28.0,199.0,510.0,1602.0,1832.0,197923.0,4726.0,0.0
2010,205102.0,0.0,23.0,11983.0,25.0,0.0,34.0,0.0,,1964.0,125.0,57.0,444.0,455.0,396.0,185955.0,3641.0,0.0
2011,177220.0,0.0,0.0,9804.0,80.0,0.0,0.0,0.0,,1922.0,62.0,29.0,385.0,343.0,582.0,161596.0,2417.0,0.0
2012,182115.0,0.0,0.0,11807.0,94.0,0.0,0.0,0.0,,2514.0,0.0,28.0,547.0,271.0,349.0,164973.0,1532.0,0.0
2013,174097.0,23.0,0.0,10384.0,0.0,0.0,0.0,0.0,,1559.0,29.0,83.0,372.0,467.0,392.0,159515.0,1273.0,0.0
2014,155397.0,0.0,0.0,10535.0,0.0,0.0,0.0,0.0,,2065.0,0.0,28.0,249.0,582.0,368.0,139245.0,2325.0,0.0
2015,158528.0,0.0,0.0,10169.0,0.0,0.0,27.0,0.0,,1564.0,0.0,3295.0,218.0,412.0,225.0,140794.0,1824.0,0.0
2016,153828.0,0.0,0.0,9367.0,25.0,0.0,0.0,0.0,27.0,1011.0,840.0,53.0,1034.0,52.0,0.0,139968.0,1451.0,0.0
2017,163983.0,4.0,0.0,4469.0,104.0,0.0,0.0,3.0,708.0,763.0,429.0,26.0,225.0,93.0,323.0,155556.0,1279.0,1.0
2018,127424.0,1.0,0.0,7129.0,16.0,0.0,17.0,0.0,1.0,975.0,357.0,240.0,176.0,143.0,157.0,117646.0,525.0,40.0
2019,147040.0,0.0,0.0,7437.0,68.0,4.0,0.0,0.0,0.0,953.0,499.0,28.0,226.0,247.0,288.0,136995.0,295.0,0.0
2020,145019.0,0.0,3.0,7037.0,69.0,1.0,1.0,0.0,7.0,998.0,399.0,77.0,638.0,7.0,238.0,135480.0,64.0,0.0
2021,194384.0,0.0,1.0,2765.0,74.0,0.0,3.0,14.0,4.0,1521.0,99.0,189.0,663.0,32.0,171.0,187720.0,1128.0,0.0
2022,194896.0,0.0,1.0,3528.0,45.0,3.0,4.0,0.0,0.0,2006.0,188.0,18.0,12.0,38.0,168.0,188216.0,669.0,0.0
2023,203816.0,2.0,2.0,2173.0,42.0,12.0,1.0,2.0,0.0,1764.0,69.0,45.0,15.0,2.0,173.0,199285.0,224.0,5.0
