연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,4256.0,2967.0,5500.0,4134.0,3071.0,0.0,0.0,4820.0,,4300.0,4555.0,4930.0,5295.0,4407.0,3873.0,3801.0,4283.0,0.0
2001,4255.0,4192.0,6247.0,6802.0,5763.0,0.0,0.0,5600.0,,4192.0,3808.0,4940.0,0.0,5697.0,3972.0,3758.0,1820.0,0.0
2002,4558.0,0.0,6897.0,6650.0,2939.0,6500.0,6801.0,6179.0,,4915.0,4232.0,2982.0,3591.0,4072.0,4650.0,3958.0,2329.0,2127.0
2003,4425.0,3500.0,7563.0,6450.0,3209.0,0.0,0.0,5638.0,,4231.0,6075.0,4100.0,3833.0,4600.0,0.0,4400.0,1425.0,0.0
2004,4499.0,3500.0,7657.0,6300.0,2821.0,0.0,0.0,5643.0,,4484.0,6700.0,4089.0,5680.0,4604.0,5500.0,4050.0,2942.0,0.0
2005,4599.0,2750.0,7650.0,5833.0,1920.0,0.0,0.0,5840.0,,4146.0,6564.0,4760.0,5270.0,4789.0,5775.0,4585.0,2650.0,4725.0
2006,4205.0,0.0,5700.0,3800.0,2583.0,6600.0,2500.0,5689.0,,3452.0,5460.0,4600.0,5074.0,7000.0,4992.0,4118.0,5550.0,3500.0
2007,4282.0,350.0,4300.0,4467.0,2500.0,0.0,2660.0,5560.0,,4321.0,5004.0,4700.0,4033.0,0.0,0.0,4705.0,3700.0,0.0
2008,3858.0,4331.0,4183.0,4750.0,2479.0,0.0,2453.0,3557.0,,4331.0,4722.0,5000.0,3367.0,4500.0,4300.0,4670.0,3592.0,0.0
2009,3241.0,3900.0,6000.0,4400.0,2415.0,0.0,2733.0,5150.0,,3974.0,4629.0,3750.0,2733.0,0.0,4867.0,3104.0,2614.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,,,,,,,,,,,,,,,,,,
