연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,7236.0,59.0,220.0,41.0,307.0,0.0,0.0,530.0,,3010.0,364.0,197.0,371.0,88.0,271.0,836.0,942.0,0.0
2001,5532.0,84.0,187.0,68.0,634.0,0.0,0.0,840.0,,1677.0,762.0,99.0,0.0,57.0,40.0,902.0,182.0,0.0
2002,8114.0,0.0,897.0,333.0,294.0,260.0,68.0,1174.0,,2458.0,169.0,30.0,467.0,163.0,47.0,1267.0,466.0,21.0
2003,5797.0,70.0,605.0,129.0,353.0,0.0,0.0,733.0,,1904.0,243.0,82.0,230.0,322.0,0.0,1012.0,114.0,0.0
2004,11653.0,70.0,536.0,63.0,395.0,0.0,0.0,790.0,,4036.0,469.0,1513.0,1136.0,1059.0,55.0,972.0,559.0,0.0
2005,11773.0,55.0,306.0,175.0,288.0,0.0,0.0,584.0,,3980.0,1838.0,238.0,1581.0,431.0,231.0,1559.0,318.0,189.0
2006,11563.0,0.0,114.0,76.0,594.0,396.0,325.0,1024.0,,2934.0,1365.0,46.0,964.0,140.0,599.0,1812.0,999.0,175.0
2007,9549.0,7.0,43.0,134.0,375.0,0.0,133.0,278.0,,2463.0,2452.0,141.0,726.0,0.0,0.0,1835.0,962.0,0.0
2008,5247.0,130.0,251.0,95.0,347.0,0.0,368.0,249.0,,2209.0,425.0,50.0,101.0,45.0,43.0,467.0,467.0,0.0
2009,7680.0,39.0,180.0,44.0,483.0,0.0,738.0,412.0,,1709.0,324.0,75.0,1640.0,0.0,146.0,1707.0,183.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023,,,,,,,,,,,,,,,,,,
