연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,5677.0,0.0,6514.0,6820.0,5117.0,6401.0,5944.0,6372.0,,3727.0,6071.0,5044.0,6350.0,3898.0,7390.0,5276.0,3285.0,7062.0
2001,6222.0,2129.0,6474.0,8988.0,5087.0,6434.0,5800.0,5593.0,,3816.0,7544.0,4905.0,6351.0,5643.0,6428.0,5090.0,6711.0,7803.0
2002,6516.0,5938.0,6447.0,7286.0,4990.0,7161.0,9995.0,6248.0,,3614.0,7494.0,6244.0,6663.0,5914.0,7021.0,5619.0,7047.0,5801.0
2003,6651.0,6050.0,6369.0,7129.0,5008.0,6191.0,7677.0,6240.0,,3967.0,7259.0,6375.0,6563.0,5794.0,7500.0,6577.0,7059.0,6964.0
2004,6810.0,5600.0,6552.0,7287.0,5000.0,7504.0,5805.0,6250.0,,4508.0,7506.0,6164.0,6717.0,7725.0,6882.0,7283.0,6988.0,6353.0
2005,6580.0,6950.0,6411.0,7325.0,4236.0,7241.0,5964.0,6055.0,,5148.0,6314.0,5957.0,6630.0,7468.0,7301.0,5980.0,7197.0,9688.0
2006,6652.0,6900.0,6499.0,9213.0,3994.0,7253.0,5906.0,6500.0,,4427.0,6946.0,5702.0,6682.0,6797.0,7443.0,6549.0,6320.0,5697.0
2007,6596.0,0.0,6553.0,8975.0,5076.0,7403.0,5921.0,5385.0,,3531.0,6566.0,6357.0,6334.0,7383.0,7523.0,6408.0,6598.0,16727.0
2008,6706.0,3546.0,6698.0,9777.0,4491.0,6673.0,5715.0,7562.0,,3546.0,6103.0,6283.0,6984.0,7276.0,7834.0,6589.0,7745.0,5654.0
2009,6320.0,0.0,6527.0,9884.0,4989.0,6845.0,5540.0,6252.0,,3414.0,6452.0,8429.0,5592.0,7100.0,7719.0,6483.0,7094.0,5720.0
2010,6163.0,3216.0,3430.0,8256.0,4894.0,6486.0,5051.0,6066.0,,3216.0,6050.0,8565.0,5754.0,6694.0,7111.0,7731.0,7052.0,6534.0
2011,6294.0,3461.0,6604.0,8854.0,5191.0,5988.0,4820.0,6175.0,,3461.0,5931.0,6234.0,6089.0,6967.0,7256.0,7399.0,7023.0,6491.0
2012,6822.0,6850.0,6521.0,8388.0,6844.0,5396.0,4747.0,9291.0,,4134.0,6239.0,5772.0,6785.0,6395.0,7793.0,7730.0,8574.0,6581.0
2013,6419.0,6850.0,6213.0,8095.0,4622.0,2159.0,5016.0,5520.0,,6606.0,6245.0,4258.0,5132.0,6670.0,8758.0,6707.0,7231.0,7217.0
2014,7072.0,6850.0,7079.0,2783.0,4103.0,5076.0,5325.0,4029.0,,4382.0,9277.0,6975.0,7043.0,6587.0,8750.0,6635.0,7467.0,7051.0
2015,6551.0,6850.0,7173.0,2730.0,6261.0,5231.0,4761.0,4105.0,,4394.0,6623.0,7482.0,5779.0,8570.0,8550.0,7290.0,6475.0,6590.0
2016,6107.0,3758.0,6019.0,6657.0,6418.0,7634.0,4592.0,4154.0,5300.0,4130.0,6544.0,6991.0,6132.0,5792.0,5498.0,6027.0,7509.0,6317.0
2017,6142.0,1433.0,6081.0,5174.0,7023.0,7679.0,4770.0,5623.0,4474.0,4303.0,5259.0,6753.0,6394.0,5930.0,6498.0,6038.0,7613.0,6088.0
2018,6415.0,450.0,6952.0,6800.0,6515.0,9538.0,4207.0,5150.0,5221.0,3409.0,5895.0,6131.0,5951.0,9339.0,5398.0,7406.0,7410.0,5745.0
2019,6284.0,450.0,6226.0,5682.0,7021.0,8130.0,4711.0,6470.0,4409.0,4427.0,5327.0,6067.0,7286.0,5651.0,6538.0,6203.0,7580.0,8035.0
2020,6231.0,450.0,6058.0,5608.0,7033.0,7329.0,4706.0,6606.0,4409.0,4537.0,5270.0,5849.0,7507.0,5770.0,6327.0,6211.0,7470.0,7504.0
2021,6146.0,450.0,6050.0,5589.0,7045.0,7298.0,4611.0,6360.0,4409.0,4546.0,5248.0,5657.0,7518.0,5804.0,6405.0,5890.0,7194.0,7372.0
2022,6199.0,450.0,6054.0,5577.0,7034.0,6705.0,5295.0,6363.0,4461.0,4527.0,5375.0,5924.0,7634.0,5775.0,6043.0,6101.0,7556.0,7368.0
2023,6259.0,450.0,6054.0,5476.0,7021.0,7548.0,4704.0,6080.0,4527.0,4276.0,5403.0,6609.0,7418.0,6311.0,6021.0,6128.0,7452.0,7423.0
