연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,269427.0,0.0,16220.0,6684.0,870.0,19395.0,1070.0,1402.0,,6522.0,17302.0,13518.0,61659.0,13994.0,61780.0,25800.0,20104.0,3107.0
2001,200231.0,43.0,16962.0,10336.0,1882.0,14412.0,464.0,559.0,,5915.0,18106.0,7946.0,39313.0,9085.0,35547.0,17408.0,20536.0,1717.0
2002,218485.0,356.0,15215.0,8670.0,1647.0,12532.0,4598.0,1624.0,,6794.0,19934.0,11551.0,38645.0,9522.0,38054.0,23825.0,24242.0,1276.0
2003,264121.0,242.0,18088.0,8341.0,1853.0,13311.0,2994.0,936.0,,6387.0,25552.0,12559.0,52504.0,12109.0,47625.0,31570.0,28518.0,1532.0
2004,382968.0,280.0,24177.0,8380.0,4450.0,27765.0,1219.0,875.0,,18889.0,40758.0,18122.0,60520.0,27733.0,46041.0,52073.0,50733.0,953.0
2005,427218.0,417.0,23336.0,10402.0,3812.0,19406.0,4354.0,3209.0,,31197.0,38579.0,21862.0,70875.0,35622.0,53881.0,44671.0,57360.0,8235.0
2006,421592.0,138.0,17937.0,18242.0,1917.0,20526.0,1831.0,1820.0,,21073.0,40148.0,13799.0,80318.0,23314.0,82766.0,56452.0,39374.0,1937.0
2007,470302.0,0.0,19004.0,19925.0,2538.0,22727.0,2783.0,2800.0,,17937.0,55154.0,18944.0,77401.0,36546.0,83355.0,64208.0,44471.0,2509.0
2008,402923.0,35.0,12860.0,9679.0,1033.0,13479.0,743.0,3932.0,,19361.0,34787.0,10241.0,109998.0,25102.0,69723.0,64572.0,26643.0,735.0
2009,376088.0,0.0,19320.0,9884.0,3293.0,13416.0,277.0,1688.0,,19938.0,42777.0,14666.0,85837.0,18815.0,69394.0,41945.0,33980.0,858.0
2010,324806.0,32.0,7580.0,6440.0,2790.0,8237.0,758.0,3518.0,,17784.0,39567.0,12419.0,70026.0,10443.0,59732.0,53267.0,30253.0,1960.0
2011,368224.0,138.0,20737.0,6021.0,3218.0,10180.0,964.0,3273.0,,19589.0,39738.0,12904.0,87134.0,19995.0,60588.0,42248.0,40523.0,974.0
2012,432779.0,274.0,19889.0,7969.0,5133.0,13004.0,570.0,4367.0,,25300.0,51597.0,11775.0,87662.0,22063.0,72085.0,47771.0,62333.0,987.0
2013,388624.0,137.0,22056.0,7933.0,5130.0,5613.0,3260.0,1601.0,,36201.0,41779.0,7153.0,61122.0,14607.0,92309.0,40846.0,46712.0,2165.0
2014,499960.0,69.0,29944.0,1976.0,4924.0,10964.0,1811.0,1571.0,,33259.0,79782.0,17228.0,109378.0,31025.0,90738.0,40208.0,43981.0,3102.0
2015,456982.0,411.0,29409.0,2129.0,8202.0,14751.0,476.0,2094.0,,31110.0,63183.0,15263.0,92811.0,37108.0,80285.0,38783.0,38397.0,2570.0
2016,390303.0,150.0,24558.0,13514.0,3979.0,10382.0,2066.0,498.0,1484.0,20196.0,52025.0,20623.0,73155.0,19577.0,60478.0,33149.0,51437.0,3032.0
2017,355107.0,34.0,19196.0,10201.0,3887.0,9751.0,1304.0,622.0,942.0,16657.0,44808.0,20844.0,55567.0,21291.0,61396.0,35815.0,47549.0,5243.0
2018,388657.0,18.0,25248.0,11372.0,3491.0,11753.0,880.0,117.0,636.0,12348.0,62535.0,24895.0,44604.0,42664.0,52035.0,35919.0,56078.0,4064.0
2019,358580.0,18.0,18717.0,10552.0,5548.0,7722.0,1692.0,356.0,649.0,13941.0,49125.0,24364.0,56705.0,27281.0,59349.0,31310.0,47710.0,3541.0
2020,344048.0,16.0,24863.0,8429.0,5236.0,6629.0,1397.0,106.0,979.0,12195.0,47733.0,26036.0,54610.0,28561.0,55099.0,22102.0,46794.0,3263.0
2021,369383.0,56.0,31102.0,1790.0,4450.0,10251.0,1210.0,1913.0,1244.0,22215.0,46470.0,25304.0,76055.0,40143.0,41196.0,25953.0,36259.0,3772.0
2022,378808.0,42.0,34097.0,2409.0,4452.0,11706.0,1700.0,1653.0,2542.0,20424.0,50120.0,22204.0,76281.0,40731.0,32527.0,34529.0,40677.0,2714.0
2023,337996.0,48.0,35278.0,2179.0,4401.0,9790.0,419.0,1600.0,1084.0,18390.0,45455.0,25424.0,62057.0,42917.0,30420.0,17955.0,38652.0,1927.0
