연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,2362.0,1974.0,2189.0,2282.0,1758.0,3587.0,1965.0,3030.0,,1964.0,3441.0,2051.0,2322.0,2255.0,2238.0,2016.0,2524.0,1279.0
2001,2515.0,2300.0,6240.0,2890.0,1624.0,3116.0,3293.0,2800.0,,2055.0,3703.0,2144.0,2439.0,2074.0,2273.0,2022.0,2678.0,1800.0
2002,2427.0,2117.0,3858.0,2190.0,3401.0,3130.0,3558.0,2572.0,,2501.0,2870.0,2091.0,2312.0,2041.0,2640.0,1809.0,2454.0,1637.0
2003,2560.0,2130.0,3950.0,2110.0,2449.0,2980.0,2485.0,2695.0,,2443.0,3411.0,1883.0,2302.0,2544.0,2794.0,2078.0,2520.0,2794.0
2004,2613.0,2326.0,4667.0,2265.0,2052.0,3349.0,2792.0,2680.0,,2561.0,3389.0,2006.0,2598.0,2762.0,2864.0,1965.0,2608.0,1789.0
2005,3103.0,2488.0,3520.0,2189.0,3300.0,2806.0,2425.0,2768.0,,2480.0,3774.0,2107.0,2453.0,3714.0,2578.0,4627.0,2782.0,1943.0
2006,2699.0,3345.0,3688.0,3121.0,3284.0,3153.0,2510.0,2768.0,,2485.0,3575.0,2448.0,2500.0,3204.0,2393.0,2093.0,2858.0,1603.0
2007,2582.0,2217.0,3598.0,3080.0,2886.0,2911.0,2506.0,2667.0,,2534.0,3248.0,2869.0,2585.0,2919.0,2465.0,2161.0,2754.0,1600.0
2008,2670.0,2300.0,3591.0,2632.0,3391.0,2614.0,2494.0,2300.0,,2602.0,3325.0,2989.0,2455.0,2929.0,2473.0,2249.0,2756.0,1600.0
2009,2554.0,2467.0,3400.0,2416.0,3300.0,2513.0,2694.0,2500.0,,2450.0,3346.0,2596.0,2451.0,2870.0,2275.0,2263.0,2642.0,1500.0
2010,2529.0,2435.0,3666.0,2595.0,3327.0,2670.0,2306.0,1511.0,,2435.0,3548.0,2615.0,2307.0,2881.0,2314.0,2121.0,2190.0,1464.0
2011,2665.0,2361.0,3690.0,2359.0,3159.0,2558.0,2499.0,1685.0,,2361.0,3234.0,2498.0,2375.0,3100.0,3059.0,2016.0,2510.0,2214.0
2012,2515.0,1912.0,3900.0,2259.0,2536.0,2046.0,2450.0,1857.0,,2206.0,2630.0,3930.0,2703.0,3080.0,2985.0,2087.0,2564.0,1411.0
2013,2868.0,1912.0,3357.0,2317.0,2119.0,1331.0,3155.0,1820.0,,2283.0,2765.0,3070.0,2590.0,2832.0,3989.0,2074.0,2314.0,2310.0
2014,2946.0,2330.0,3284.0,1839.0,2170.0,2615.0,2982.0,1531.0,,2330.0,2789.0,2908.0,2902.0,2985.0,3950.0,2522.0,2424.0,2391.0
2015,2784.0,0.0,3284.0,1594.0,2996.0,2571.0,3015.0,1530.0,,2533.0,2467.0,2051.0,2802.0,3323.0,3790.0,2397.0,2297.0,2250.0
2016,2470.0,3180.0,3288.0,1780.0,3200.0,2559.0,3008.0,1461.0,2200.0,3180.0,2592.0,1381.0,2537.0,2754.0,2843.0,2155.0,2328.0,1854.0
2017,2566.0,3033.0,3288.0,1890.0,3200.0,2562.0,3000.0,1710.0,2200.0,3033.0,2652.0,1404.0,2556.0,3663.0,3284.0,2136.0,2239.0,1872.0
2018,2731.0,3156.0,3284.0,1706.0,3200.0,2571.0,3000.0,1681.0,2217.0,3156.0,2607.0,1484.0,2625.0,5270.0,2946.0,2476.0,2471.0,2228.0
2019,2609.0,3511.0,2373.0,2023.0,3200.0,2561.0,3000.0,1803.0,2217.0,3511.0,2516.0,1655.0,2461.0,4771.0,2595.0,2401.0,2373.0,2128.0
2020,2565.0,3510.0,3284.0,2033.0,3200.0,2442.0,3000.0,1803.0,2217.0,3510.0,2566.0,1039.0,2478.0,4930.0,2643.0,2482.0,2405.0,2063.0
2021,2394.0,3520.0,3284.0,2033.0,3130.0,2442.0,2980.0,1814.0,2217.0,3520.0,2574.0,1024.0,2420.0,4764.0,1764.0,2440.0,2403.0,2067.0
2022,2535.0,3517.0,3284.0,2033.0,3170.0,2415.0,2984.0,1814.0,2217.0,3517.0,2598.0,916.0,2444.0,4340.0,2710.0,2300.0,2288.0,2067.0
2023,2476.0,3450.0,3284.0,2226.0,3170.0,2415.0,2924.0,1814.0,2217.0,3450.0,2710.0,937.0,2169.0,4428.0,2484.0,2286.0,2276.0,1948.0
