연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,106660.0,316.0,919.0,1073.0,1494.0,466.0,707.0,1000.0,,17028.0,27907.0,5271.0,5457.0,5141.0,12846.0,17257.0,9036.0,742.0
2001,118070.0,299.0,2434.0,896.0,1202.0,561.0,1087.0,756.0,,17509.0,31994.0,7868.0,7780.0,5455.0,14820.0,15327.0,9668.0,414.0
2002,119411.0,296.0,772.0,635.0,2619.0,814.0,1281.0,489.0,,22209.0,28011.0,7862.0,7745.0,4000.0,19140.0,15431.0,7092.0,1015.0
2003,135888.0,320.0,790.0,464.0,1690.0,507.0,1118.0,997.0,,20717.0,31961.0,9547.0,7712.0,5215.0,21989.0,20177.0,10030.0,2654.0
2004,155447.0,395.0,2100.0,861.0,1580.0,1507.0,1173.0,1179.0,,21999.0,35076.0,10692.0,8677.0,7154.0,27752.0,19257.0,12753.0,3292.0
2005,178234.0,398.0,1338.0,591.0,2046.0,645.0,897.0,1080.0,,22246.0,35287.0,9503.0,6304.0,8468.0,24414.0,46316.0,11434.0,7267.0
2006,180110.0,401.0,774.0,1092.0,3284.0,725.0,703.0,1384.0,,22489.0,56378.0,12069.0,6075.0,8523.0,27472.0,20093.0,12861.0,5787.0
2007,194258.0,754.0,720.0,1786.0,1501.0,1077.0,927.0,1547.0,,24605.0,47876.0,11648.0,10211.0,7035.0,32267.0,29714.0,13550.0,9040.0
2008,174285.0,207.0,826.0,1474.0,1696.0,758.0,1222.0,851.0,,22820.0,46218.0,13241.0,9771.0,6209.0,32495.0,18464.0,11713.0,6320.0
2009,161875.0,99.0,476.0,652.0,1617.0,302.0,593.0,1350.0,,23961.0,44669.0,9579.0,5637.0,5367.0,26686.0,26477.0,8560.0,5850.0
2010,144783.0,49.0,73.0,1220.0,1397.0,320.0,807.0,620.0,,20551.0,41050.0,8107.0,5629.0,5301.0,24968.0,22546.0,7402.0,4743.0
2011,155368.0,118.0,1181.0,802.0,1011.0,26.0,125.0,809.0,,16433.0,43691.0,8019.0,5748.0,6448.0,33282.0,24252.0,7932.0,5491.0
2012,190725.0,57.0,1092.0,994.0,735.0,164.0,147.0,631.0,,20781.0,46577.0,10650.0,6163.0,6560.0,51999.0,27444.0,7461.0,9270.0
2013,195144.0,38.0,1679.0,1043.0,763.0,40.0,221.0,874.0,,14931.0,30277.0,14705.0,6164.0,6910.0,72759.0,29160.0,6109.0,9471.0
2014,191636.0,23.0,985.0,552.0,651.0,392.0,477.0,367.0,,15215.0,33914.0,11138.0,12769.0,6895.0,62173.0,28801.0,6811.0,10473.0
2015,201840.0,0.0,722.0,606.0,1618.0,231.0,362.0,413.0,,18491.0,28025.0,11588.0,6921.0,10899.0,68675.0,34517.0,5834.0,12938.0
2016,151933.0,95.0,1019.0,498.0,608.0,768.0,541.0,497.0,176.0,16568.0,22084.0,6366.0,6825.0,4709.0,46568.0,29890.0,10383.0,4338.0
2017,158508.0,132.0,1215.0,393.0,1238.0,478.0,85.0,1092.0,61.0,20425.0,29234.0,5309.0,6218.0,7620.0,37523.0,32103.0,9692.0,5690.0
2018,172052.0,92.0,1660.0,309.0,2607.0,374.0,89.0,1436.0,107.0,27070.0,24019.0,4237.0,5116.0,11478.0,39251.0,36596.0,8964.0,8647.0
2019,177795.0,97.0,1346.0,154.0,2455.0,249.0,567.0,1397.0,187.0,24675.0,24749.0,4688.0,5274.0,10657.0,43572.0,37439.0,9056.0,11233.0
2020,173951.0,101.0,1268.0,407.0,2237.0,237.0,967.0,1304.0,374.0,15504.0,23288.0,3068.0,6663.0,9531.0,53135.0,26398.0,13128.0,16341.0
2021,156820.0,61.0,926.0,435.0,2005.0,1468.0,1214.0,1425.0,964.0,22289.0,26082.0,2281.0,8948.0,8017.0,22278.0,27390.0,12150.0,18887.0
2022,158311.0,99.0,867.0,299.0,1342.0,505.0,1118.0,1301.0,354.0,22014.0,25818.0,1887.0,6674.0,9132.0,29623.0,19764.0,13699.0,23815.0
2023,185909.0,133.0,814.0,363.0,1634.0,554.0,1070.0,1419.0,795.0,33144.0,25915.0,2129.0,6619.0,7802.0,29732.0,32553.0,16886.0,24347.0
