연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,3416.0,2509.0,5154.0,4563.0,2000.0,4491.0,4488.0,4000.0,,2509.0,5374.0,3068.0,3480.0,2945.0,4019.0,2559.0,3379.0,3392.0
2001,4332.0,1562.0,6000.0,4095.0,1250.0,6660.0,1857.0,3200.0,,3166.0,4238.0,5165.0,3288.0,3593.0,4517.0,3021.0,4944.0,0.0
2002,3819.0,2950.0,6275.0,4900.0,4213.0,6480.0,1738.0,0.0,,2737.0,4333.0,3338.0,2762.0,3515.0,4870.0,2983.0,3539.0,5000.0
2003,3903.0,3750.0,6275.0,4940.0,4453.0,3450.0,2496.0,0.0,,3004.0,4346.0,3424.0,3531.0,3822.0,4688.0,3135.0,4696.0,0.0
2004,4252.0,4288.0,6200.0,3665.0,4513.0,1975.0,2696.0,0.0,,3618.0,4173.0,2974.0,4016.0,6140.0,5602.0,3961.0,4678.0,535.0
2005,4488.0,6167.0,6272.0,3820.0,3200.0,4229.0,2600.0,0.0,,3953.0,4353.0,3107.0,4231.0,6113.0,5277.0,3299.0,4895.0,0.0
2006,4739.0,6034.0,6012.0,4594.0,3267.0,4350.0,2316.0,4556.0,,4003.0,4047.0,3597.0,4634.0,6039.0,5583.0,4428.0,5346.0,0.0
2007,4763.0,5914.0,5999.0,4681.0,3533.0,4061.0,2353.0,0.0,,4246.0,4932.0,4228.0,4690.0,5651.0,5658.0,3099.0,5382.0,0.0
2008,5203.0,5812.0,6000.0,4848.0,3292.0,4733.0,2692.0,4000.0,,4260.0,4969.0,4455.0,6325.0,5289.0,5200.0,3687.0,5799.0,0.0
2009,5186.0,6215.0,6000.0,4791.0,3753.0,5315.0,3883.0,4900.0,,4023.0,4971.0,4825.0,4816.0,6189.0,6089.0,4163.0,6060.0,0.0
2010,4870.0,3988.0,2835.0,4240.0,0.0,4619.0,0.0,0.0,,3988.0,4118.0,4591.0,5159.0,5682.0,6340.0,4213.0,5211.0,0.0
2011,4851.0,4123.0,5960.0,4452.0,0.0,4438.0,3750.0,4263.0,,4123.0,3798.0,4274.0,4227.0,5701.0,5622.0,4126.0,5689.0,5622.0
2012,4686.0,6556.0,0.0,4452.0,3214.0,4155.0,0.0,4857.0,,3536.0,3963.0,4016.0,5823.0,5212.0,6039.0,3907.0,5390.0,6039.0
2013,4831.0,6556.0,5559.0,4200.0,3236.0,3798.0,0.0,5332.0,,4048.0,3936.0,4420.0,5971.0,4663.0,5793.0,4117.0,5332.0,0.0
2014,4876.0,8468.0,0.0,8870.0,3289.0,3406.0,3800.0,0.0,,4228.0,3875.0,3989.0,4037.0,5075.0,5720.0,4104.0,6087.0,4876.0
2015,4787.0,4462.0,5700.0,8977.0,3244.0,3427.0,0.0,0.0,,4462.0,2487.0,3274.0,3364.0,5382.0,5830.0,4328.0,6765.0,5830.0
2016,5120.0,6071.0,5668.0,8103.0,3185.0,4348.0,3650.0,5277.0,0.0,4636.0,3234.0,4438.0,3984.0,3341.0,6643.0,3822.0,7101.0,6643.0
2017,5283.0,4900.0,5749.0,8103.0,3173.0,5277.0,3750.0,4080.0,2633.0,4476.0,3374.0,3971.0,3211.0,4561.0,6184.0,3735.0,7557.0,6184.0
2018,4753.0,4906.0,5666.0,9431.0,3149.0,4121.0,3684.0,3604.0,2811.0,1867.0,2341.0,5340.0,2937.0,5688.0,6521.0,4150.0,5872.0,6521.0
2019,5416.0,4906.0,6127.0,9575.0,3172.0,5287.0,3684.0,0.0,2811.0,4627.0,3379.0,5403.0,2797.0,4046.0,6075.0,3699.0,7123.0,6075.0
2020,5437.0,4906.0,5758.0,9575.0,3172.0,5112.0,3684.0,0.0,2811.0,4631.0,3400.0,5837.0,3109.0,4112.0,5825.0,3174.0,7078.0,0.0
2021,5151.0,4906.0,5758.0,9575.0,3163.0,5114.0,3729.0,4082.0,0.0,4568.0,3390.0,5839.0,3104.0,3839.0,5663.0,3187.0,7042.0,5663.0
2022,5228.0,4906.0,5758.0,9575.0,3167.0,5181.0,3729.0,4082.0,2811.0,4010.0,3580.0,5831.0,3558.0,3715.0,5974.0,3530.0,6994.0,5974.0
2023,5040.0,4906.0,5640.0,7536.0,3170.0,5170.0,3729.0,4082.0,2811.0,3770.0,3445.0,5506.0,3300.0,2824.0,6391.0,3445.0,6936.0,6391.0
