연도,계,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
2000,133824.0,427.0,3505.0,2282.0,440.0,13787.0,3052.0,240.0,,16911.0,9996.0,9756.0,15521.0,9365.0,11535.0,5886.0,31087.0,34.0
2001,177522.0,719.0,5700.0,2048.0,225.0,24842.0,594.0,160.0,,20611.0,6738.0,18078.0,16604.0,9378.0,13777.0,5740.0,52308.0,0.0
2002,157110.0,472.0,10793.0,3871.0,169.0,24818.0,261.0,0.0,,15081.0,7366.0,12885.0,13175.0,10299.0,12565.0,6026.0,38929.0,400.0
2003,135935.0,450.0,3263.0,1531.0,178.0,11006.0,200.0,0.0,,16612.0,6780.0,11607.0,14760.0,8294.0,13267.0,6521.0,41466.0,0.0
2004,148890.0,815.0,1426.0,1393.0,677.0,4878.0,189.0,0.0,,22070.0,6844.0,5175.0,16466.0,17990.0,18599.0,12834.0,39529.0,5.0
2005,160863.0,1912.0,188.0,1070.0,512.0,8120.0,442.0,0.0,,20832.0,6791.0,9476.0,20182.0,17605.0,20580.0,6895.0,46258.0,0.0
2006,141937.0,1509.0,1142.0,1792.0,33.0,8352.0,417.0,91.0,,15532.0,5706.0,6475.0,29843.0,10508.0,11501.0,12576.0,36460.0,0.0
2007,135782.0,1597.0,360.0,983.0,35.0,8366.0,47.0,0.0,,15243.0,7003.0,10655.0,19088.0,10963.0,18841.0,7995.0,34606.0,0.0
2008,153217.0,349.0,600.0,485.0,165.0,9750.0,27.0,40.0,,13078.0,2683.0,11093.0,36875.0,8092.0,10036.0,13494.0,46450.0,0.0
2009,179288.0,1305.0,1800.0,623.0,150.0,13234.0,39.0,833.0,,16776.0,7357.0,14330.0,24273.0,19495.0,20215.0,18317.0,40541.0,0.0
2010,158085.0,598.0,567.0,763.0,0.0,12933.0,0.0,0.0,,10887.0,3953.0,19741.0,22545.0,9887.0,15723.0,20728.0,39760.0,0.0
2011,145032.0,247.0,179.0,712.0,0.0,8166.0,113.0,85.0,,14431.0,2317.0,19318.0,9595.0,8380.0,14280.0,15555.0,51429.0,225.0
2012,134388.0,1049.0,0.0,134.0,96.0,5318.0,0.0,146.0,,16584.0,5112.0,13735.0,17294.0,7662.0,13709.0,15862.0,37083.0,604.0
2013,128220.0,459.0,389.0,672.0,32.0,4102.0,0.0,160.0,,16799.0,4408.0,10962.0,19286.0,4896.0,15583.0,16880.0,33592.0,0.0
2014,153829.0,254.0,0.0,798.0,197.0,1873.0,456.0,0.0,,24184.0,3914.0,14241.0,15058.0,9084.0,24253.0,10711.0,48513.0,293.0
2015,162576.0,223.0,969.0,90.0,65.0,2262.0,0.0,0.0,,18651.0,1617.0,19480.0,12783.0,17115.0,24136.0,18178.0,46949.0,58.0
2016,146273.0,61.0,567.0,1296.0,32.0,2435.0,37.0,53.0,0.0,14789.0,2134.0,23300.0,13147.0,5245.0,22719.0,14868.0,44594.0,996.0
2017,154182.0,37.0,518.0,1133.0,67.0,3319.0,248.0,5.0,124.0,14636.0,3389.0,15789.0,12488.0,8007.0,19856.0,8945.0,65614.0,7.0
2018,138166.0,30.0,285.0,2363.0,71.0,1279.0,141.0,1.0,202.0,7535.0,2772.0,35772.0,6036.0,12534.0,20905.0,10236.0,37990.0,14.0
2019,165716.0,15.0,661.0,1569.0,60.0,1550.0,198.0,0.0,117.0,16845.0,3600.0,33467.0,7294.0,7223.0,25550.0,7175.0,60389.0,3.0
2020,151374.0,10.0,182.0,986.0,30.0,526.0,243.0,0.0,106.0,18617.0,2964.0,30891.0,3670.0,9036.0,21650.0,7973.0,54490.0,0.0
2021,86094.0,19.0,46.0,685.0,50.0,785.0,27.0,2.0,0.0,17638.0,1058.0,17832.0,5250.0,2003.0,11526.0,4815.0,24097.0,261.0
2022,104788.0,21.0,180.0,692.0,34.0,2074.0,39.0,1.0,22.0,12778.0,1956.0,28764.0,6399.0,3628.0,15963.0,5562.0,26468.0,207.0
2023,107880.0,31.0,205.0,1740.0,37.0,1700.0,39.0,33.0,739.0,15131.0,1618.0,23365.0,5934.0,2932.0,16318.0,6184.0,31749.0,125.0
