stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
140,군산,2000-01-01,5.8,2.1,0725,9.6,1600,,,,,,,9.0,90,1054,7.5,90,1113,4.6,3974,90,0.2,53,1547,67.3,6.2,1019.9,1026.1,0001,1020.5,2400,1023.7,9.8,2.0,,,,,,,,,5.1,0.5,3.2,-1.1,,,,,,,,,,,,0.0,,
140,군산,2000-01-02,6.1,4.1,2357,9.0,0903,,,,,3.67,3.1,14.0,290,1104,12.4,270,1102,5.9,5098,320,2.1,58,2133,75.9,7.2,1014.0,1020.6,0001,1015.0,0848,1017.7,9.8,1.3,,,,,,,,,8.8,5.0,5.3,1.0,,,,,,,,,,,,3.1,{비}0855-{비}{강도0}0900-{비}{강도0}1200-1235. {박무}1222-1444.,
140,군산,2000-01-03,1.1,-1.1,2355,4.7,0059,,,,,,,13.0,320,0056,10.5,290,0050,5.2,4493,320,-4.6,51,1513,66.4,4.4,1019.4,1024.8,2328,1019.8,0020,1023.2,9.8,8.2,,,,,,,,,1.5,0.8,0.9,-5.3,,,,,,,,,,,,,,
140,군산,2000-01-04,1.9,-2.3,0530,6.8,1536,,,,,,,9.0,90,1240,7.7,90,1242,4.6,3974,90,-7.1,29,1547,54.1,3.6,1020.0,1025.7,1042,1022.1,2355,1023.8,9.8,6.7,,,,,,,,,0.3,0.0,1.0,-5.7,,,,,,,,,,,,0.0,,
140,군산,2000-01-05,5.2,3.3,0009,6.7,2321,,,,,8.63,5.0,13.0,50,1503,11.8,50,1517,7.2,6221,90,1.2,46,0116,77.3,6.9,1012.9,1022.3,0012,1012.9,2400,1016.6,9.8,0.0,,,,,,,,,10.0,5.5,3.6,0.6,,,,,,,,,,,,8.5,{비}0515-{비}{강도0}0600-0635.  {비}1436-{비}{강도0}1500-1639.  {비}1735-{비}{강도0}1800-{비}{강도0}2100-2250.  {박무}2308-{박무}{강도0}2400-,
140,군산,2000-01-06,5.1,1.0,2354,10.3,0424,,,,,2.95,3.5,16.0,230,0425,13.7,290,2211,7.8,6739,320,2.1,53,2215,81.5,7.4,1013.3,1022.5,2357,1011.1,0533,1017.0,9.8,0.0,,,,,,,,,9.6,6.1,5.2,-1.0,,,,,,,,,,,,0.5,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1040. {비}0305-0553. {소낙눈}2344-2353.,
140,군산,2000-01-07,-3.1,-5.0,0810,1.8,0037,,,,,7.83,1.3,22.0,270,0352,20.4,290,0500,7.3,6307,90,-6.9,41,0443,76.1,3.7,1020.6,1026.9,1110,1021.8,0032,1024.5,9.9,4.1,,,,3.2,1350,3.2,1350,10.3,5.9,3.8,0.3,-5.2,,,,,,,,,,,,0.8,{소낙눈}0529-{소낙눈}{강도0}0600-0748.  {소낙눈}1015-{소낙눈}{강도0}1200-1408.  {소낙눈}2202-2340. {폭풍}0020-0540.,
140,군산,2000-01-08,1.2,-3.4,0002,2.7,1357,,,,,,,13.0,290,0239,11.9,270,0444,6.5,5616,290,-5.1,52,1337,63.9,4.2,1020.6,1025.4,2316,1023.6,1659,1024.4,9.9,1.7,,,,,,1.5,0000,,7.9,6.4,0.8,-3.3,,,,,,,,,,,,,,
140,군산,2000-01-09,0.4,-1.2,0727,1.6,1821,,,,,,,10.0,50,0642,8.3,70,0644,4.6,3974,90,-5.7,49,1806,64.6,4.0,1018.4,1025.0,0000,1019.5,1504,1022.2,9.9,0.0,,,,,,,,,9.0,4.6,0.7,-3.3,,,,,,,,,,,,,,
140,군산,2000-01-10,1.5,-1.8,2400,5.3,1605,,,,,,,12.0,290,1239,10.2,290,1317,4.5,3888,340,-5.2,35,1554,62.8,4.2,1022.0,1029.3,2241,1021.1,0104,1025.8,9.9,7.6,,,,,,,,,3.5,2.3,1.2,-5.3,,,,,,,,,,,,,,
