stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
247,남원,2000-01-01,2.5,-5.3,0748,12.4,1517,,,,,,,3.9,20,1442,2.8,90,1340,0.5,432,70,-1.6,44,1500,76.3,5.5,1013.7,1027.9,0810,1022.5,2400,1025.1,9.8,3.8,,,,,,,,,5.0,0.0,2.5,-6.5,2.8,2.3,2.6,3.2,3.9,6.8,,,,,0.7,,,
247,남원,2000-01-02,3.3,-1.1,0445,8.9,1215,,,,,4.22,1.5,10.9,320,1348,8.5,320,1350,1.2,1037,360,0.8,67,2034,84.3,6.6,1007.7,1022.5,0000,1016.1,1330,1019.0,9.8,0.7,,,,,,,,,5.3,2.8,1.9,-2.5,2.4,2.6,3.0,3.5,3.9,6.7,,,,,0.6,1.5,{비}1032-{비}{강도0}1200-1445. {박무}1420-{박무}{강도0}1500-1650.,
247,남원,2000-01-03,1.0,-4.7,2351,6.6,1309,,,,,,,6.4,340,0342,4.8,290,1520,1.6,1382,360,-5.2,34,1344,65.1,4.2,1011.8,1025.0,2250,1020.5,0000,1023.2,9.8,7.1,,,,,,,,,2.6,1.8,1.9,-6.2,2.9,2.9,3.0,3.5,4.1,6.7,,,,,1.5,,,
247,남원,2000-01-04,-0.3,-6.8,0725,10.8,1548,,,,,,,2.6,140,1327,2.2,160,1310,0.5,432,340,-4.6,33,1521,76.9,4.4,1013.4,1026.9,1010,1023.0,1600,1024.9,9.8,7.2,,,,,,,,,1.1,0.0,1.3,-7.8,2.4,2.4,2.7,3.4,4.3,6.6,,,,,0.9,,,
247,남원,2000-01-05,6.1,-3.0,0251,15.1,1254,,,,,5.08,7.5,6.9,160,1352,4.7,160,1410,1.2,1037,70,1.7,46,1248,75.4,7.1,1007.7,1024.6,0000,1015.1,2400,1018.8,9.8,4.1,,,,,,,,,7.0,3.5,4.2,-4.1,4.4,3.7,3.4,3.7,3.9,6.5,,,,,1.2,9.0,{비}1615-{비}{강도1}1800-{비}{강도0}2100-2120.,
247,남원,2000-01-06,5.9,0.6,2346,10.0,0817,,,,,4.37,1.5,11.8,290,2332,6.7,320,1920,2.3,1987,340,1.9,56,2342,76.1,7.4,1006.4,1023.2,2400,1013.3,0620,1017.5,9.9,0.0,,,,,,,,,9.4,5.8,5.3,-0.3,5.7,5.3,5.1,4.9,4.5,6.5,,,,,1.4,0.0,{비}0322-{비}{강도0}0600-0645. {비}0828-{비}{강도0}0900-0927.,
247,남원,2000-01-07,-1.9,-4.5,2202,1.0,0008,,,,,8.97,0.0,15.1,270,0417,10.6,290,0240,2.8,2419,360,-6.7,49,0410,70.6,3.7,1013.5,1027.4,1050,1022.6,0050,1025.1,9.9,2.3,,,,,,,,,5.9,4.5,0.8,-5.8,2.2,2.5,3.3,4.2,4.9,6.6,,,,,0.7,0.0,{소낙눈}0545-{소낙눈}{강도0}0600-0715. {소낙눈}0855-{소낙눈}{강도0}0900-1028. {소낙눈}1253-{소낙눈}{강도0}1500-1753. {소낙눈}1840-1935.,
247,남원,2000-01-08,-1.0,-4.1,0008,4.4,1420,,,,,1.28,0.0,4.6,340,1548,3.7,360,1540,0.9,778,320,-4.7,51,1545,77.8,4.3,1014.1,1026.6,1020,1023.7,1620,1025.6,9.9,2.4,,,,,,,,,5.1,5.0,1.3,-5.5,2.5,2.4,2.8,3.6,4.4,6.6,,,,,1.0,,{소낙눈}0508-{소낙눈}{강도0}0600-0625.,
247,남원,2000-01-09,-0.3,-3.6,0038,2.2,1513,,,,,7.92,2.0,2.2,290,2244,1.8,160,2300,0.2,173,160,-2.3,65,1303,86.9,5.2,1011.4,1025.6,0000,1019.5,1600,1022.8,9.9,0.0,,,,,,,,,10.0,6.0,0.7,-4.7,1.7,2.0,2.5,3.4,4.4,6.6,,,,,0.7,2.0,{비}1415-{비}{강도0}1500-{비}{강도0}1800-{진눈깨비}2050-{진눈깨비}{강도0}2100-{비}2115-2210.,
247,남원,2000-01-10,1.2,-3.8,2338,7.1,1409,,,,,,,7.8,290,1307,6.5,340,1250,1.7,1469,340,-3.6,39,1545,72.8,4.8,1014.4,1029.0,2240,1021.4,0130,1025.9,9.9,7.2,,,,,,,,,3.9,1.8,2.5,-5.0,3.1,2.9,3.0,3.4,4.1,6.6,,,,,1.6,,,
