stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
100,대관령,2000-01-01,-0.7,-3.3,0117,0.4,2400,,,,,12.67,1.0,2.8,230,2322,2.3,140,1540,0.9,771,110,-1.4,85,0000,94.4,5.5,925.6,1030.4,0945,1024.0,2400,1027.7,9.6,0.0,1200,0.29,1.57,1.2,1800,1.2,1800,1.2,9.5,8.3,-0.8,-4.9,,,,,,,,,,,,0.9,{낮은안개}-{안개}0210-{시정(미만)}{0.2km}{안개}0220-{시정(미만)}{0.1km}{안개}0240-{안개}{강도2}0300-{시정(이상)}{0.1km}{안개}0420-{시정(이상)}{0.2km}{안개}0510-{안개}{강도1}0600-{안개}{강도1}0900-{시정(미만)}{0.2km}{안개}0915-{시정(미만)}{0.1km}{안개}0920-{안개}{강도2}1200-{안개}{강도2}1500-{안개}{강도2}1800-{시정(이상)}{0.1km}{안개}1830-{시정(이상)}{0.2km}{안개}1840-{시정(이상)}{0.5km}{안개}1910-{시정(이상)}{1km}{박무}2020-{박무}{강도0}2100-2140. {눈}0540-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-{눈}{강도0}1800-1820.,20.33
100,대관령,2000-01-02,-0.7,-4.8,2400,2.8,0925,,,,,6.92,3.1,26.1,270,1657,14.7,270,1550,7.7,6664,270,-3.9,59,2122,78.3,4.7,913.0,1024.0,0000,1008.6,1500,1013.7,9.6,2.0,1500,0.82,3.4,0.9,1430,1.8,1430,0.9,5.4,5.1,-0.7,-6.7,,,,,,,,,,,,3.0,{눈}0545-{눈}{강도0}0600-0730.  {비}0930-{진눈깨비}1020-{눈}1030-{눈}{강도1}1200-1440. {박무}0710-0840. {폭풍}1500.  {폭풍}1530-1550.  {폭풍}1610.,
100,대관령,2000-01-03,-5.9,-9.0,2357,-0.7,1453,,,,,,,20.7,270,0150,12.7,270,0340,7.7,6632,290,-12.2,33,1432,61.1,2.4,917.2,1025.7,2400,1013.1,0000,1020.5,9.6,8.1,1200,1.64,9.11,,,1.4,0000,,1.3,0.6,-3.4,-11.1,,,,,,,,,,,,,,
100,대관령,2000-01-04,-5.3,-11.8,0820,-0.3,1247,,,,,,,5.3,270,0128,4.3,270,0130,2.2,1938,110,-10.5,29,1250,67.1,2.8,922.7,1028.3,0900,1024.0,1430,1026.4,9.6,6.4,1200,1.31,7.18,,,0.5,0000,,3.1,1.1,-4.7,-13.1,,,,,,,,,,,,0.7,,
100,대관령,2000-01-05,-1.5,-3.9,0015,1.2,2335,,,,,16.33,9.1,4.0,230,2328,2.7,230,2330,1.0,874,110,-2.5,81,0720,92.3,5.1,920.7,1027.5,0025,1016.6,2400,1022.5,9.6,0.0,1030,0.19,1.25,10.4,2150,10.6,2150,10.4,9.5,5.9,-1.8,-6.4,,,,,,,,,,,,16.1,{눈}0740-{눈}{강도0}0900-{눈}{강도1}1200-{눈}{강도1}1500-{눈}{강도1}1800-{눈}{강도0}2100-{눈}{강도0}2400- {박무}0730-{박무}{강도2}0900-{시정(미만)}{1km}{안개}0920-{시정(미만)}{0.5km}{안개}1115-{안개}{강도1}1200-{시정(미만)}{0.2km}{안개}1220-{안개}{강도2}1500-{시정(이상)}{0.2km}{안개}1720-{안개}{강도1}1800-{시정(이상)}{0.5km}{안개}1835-{시정(이상)}{1km}{박무}1840-{박무}{강도1}2100-{박무}{강도1}2400-,9.33
100,대관령,2000-01-06,-0.9,-9.1,2400,3.1,0902,,,,,10.58,8.1,24.8,270,2225,16.3,270,2240,8.6,7411,270,-3.9,36,2230,79.9,5.0,910.8,1016.6,0000,1009.4,1400,1011.4,9.7,1.4,1345,0.69,3.03,0.0,,10.3,0000,0.0,7.4,6.4,-1.0,-11.4,,,,,,,,,,,,0.6,-{눈}-{눈}{강도0}0300-0320.  {비}0505-{비}{강도1}0600-{비}{강도0}0900-{비}{강도0}1200-1220. -{박무}-{박무}{강도1}0300-{박무}{강도2}0600-{박무}{강도1}0900-{박무}{강도2}1200-{박무}{강도0}1500-1520.  {폭풍}1900. {폭풍}2000-2010.  {폭풍}2120-2310.,
100,대관령,2000-01-07,-12.4,-15.4,0805,-9.1,1515,,,,,2.0,0.2,25.6,270,0030,13.3,270,0100,10.5,9104,270,-18.8,39,1510,56.8,1.4,913.9,1021.8,1100,1013.4,0000,1019.6,9.7,8.1,1200,1.76,10.42,0.5,0300,4.0,0300,0.5,1.6,1.3,-8.5,-16.7,,,,,,,,,,,,0.0,{눈}0140-{눈}{강도0}0300-0340.,
100,대관령,2000-01-08,-8.7,-13.2,0015,-5.2,1205,,,,,4.33,0.1,18.0,270,1203,11.3,270,0540,8.2,7120,270,-12.9,60,1145,70.5,2.3,916.6,1024.6,2400,1018.4,1408,1021.0,9.7,6.6,1230,1.63,9.19,0.2,1030,4.0,1030,0.2,3.4,3.4,-6.2,-14.3,,,,,,,,,,,,0.1,{눈}0610-{눈}{강도0}0900-1030.,
100,대관령,2000-01-09,-6.0,-12.4,0510,-2.0,1610,,,,,,,10.2,290,0005,7.8,290,0750,4.6,3974,270,-15.3,32,1540,47.4,1.9,918.5,1026.5,0800,1018.3,2400,1022.0,9.7,0.5,1230,0.97,5.6,,,3.5,0000,,6.5,4.3,-4.7,-13.7,,,,,,,,,,,,0.0,{햇무리}1120-1240.,
100,대관령,2000-01-10,-4.4,-10.3,2400,-0.1,1435,,,,,0.67,0.0,15.3,290,0728,9.3,270,0910,5.2,4451,290,-11.2,35,1240,59.3,2.7,920.4,1031.1,2400,1018.3,0000,1023.4,9.7,8.0,1145,1.69,10.09,0.0,,3.0,0000,0.0,1.6,1.6,-3.6,-13.7,,,,,,,,,,,,,{눈}0540-{눈}{강도0}0600-0620.,
100,대관령,2000-01-11,-5.6,-12.6,0348,-2.4,1340,,,,,0.33,0.0,5.2,110,1457,3.0,110,1310,1.2,1054,110,-8.2,68,1340,82.4,3.4,925.4,1032.1,0400,1027.9,1505,1029.7,9.7,0.0,1300,0.67,3.76,,,2.3,0000,,8.1,4.8,-4.8,-14.8,,,,,,,,,,,,1.2,{눈}2340-{눈}{강도0}2400-,
100,대관령,2000-01-12,-1.1,-3.3,0000,0.2,2400,,,,,24.0,7.7,2.7,70,1045,2.3,50,1100,0.8,690,140,-1.9,91,2400,94.5,5.3,920.1,1028.0,0000,1015.9,2400,1021.7,9.8,0.0,1200,0.23,1.27,8.7,2400,10.8,2400,8.7,10.0,7.4,-1.3,-3.9,,,,,,,,,,,,9.8,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100- {눈}{강도0}2400-    {부분안개}(E)0710-{시정(미만)}{1km}{안개}0715-{시정(미만)}{0.5km}{안개}0720-{시정(미만)}{0.2km}{안개}0815-{안개}{강도2}0900-{안개}{강도2}1200-{시정(이상)}{0.2km}{안개}1220-{시정(이상)}{0.5km}{안개}1240-{시정(미만)}{0.5km}{안개}1340-{안개}{강도1}1500-{시정(이상)}{0.5km}{안개}1520-{안개}{강도0}1800- {안개}{강도0}2100-{안개}{강도0}2400-,16.75
100,대관령,2000-01-13,-2.3,-6.1,2400,0.5,0100,,,,,7.5,3.3,14.8,290,1408,9.0,270,1420,4.5,3889,270,-4.3,76,1955,85.3,4.6,912.9,1019.0,2400,1011.3,1400,1014.2,9.8,0.2,1100,0.98,3.65,4.3,0730,15.1,0730,4.3,7.9,7.0,-0.8,-6.6,,,,,,,,,,,,,-{눈}-{눈}{강도0}0300-{눈}{강도1}0600-0730.   -{안개}-{안개}{강도0}0300-{안개}{강도0}0600-{시정(이상)}{1km}{박무}0620-0655.,6.33
100,대관령,2000-01-14,-5.0,-7.9,2400,0.4,1325,,,,,,,10.9,290,2030,8.0,290,2110,3.1,2700,290,-8.0,55,1316,79.5,3.4,918.7,1025.7,2325,1018.4,1440,1021.8,9.8,3.1,1245,1.33,6.41,,,14.2,0000,,7.1,7.1,-2.4,-9.9,,,,,,,,,,,,,{박무}0720-{박무}{강도0}0900-0950.  {박무}1730-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도1}2400-,
100,대관령,2000-01-15,-7.0,-14.3,0810,-0.9,1330,,,,,,,7.5,290,0005,6.7,290,0015,2.0,1690,270,-9.7,53,1335,81.9,3.0,922.8,1030.1,0900,1024.6,1500,1027.1,9.8,7.6,1100,1.7,9.51,,,11.2,0000,,5.6,1.8,-3.7,-15.7,,,,,,,,,,,,,-{박무}-{박무}{강도1}0300-{박무}{강도1}0600-0840.  {박무}1910-{박무}{강도1}2100-{박무}{강도2}2400-,
100,대관령,2000-01-16,-4.7,-8.9,0120,-0.7,1430,,,,,,,5.0,110,1556,3.7,110,1430,1.5,1268,110,-6.2,76,1425,89.1,3.9,921.0,1026.9,0010,1021.5,1500,1024.1,9.8,1.2,1330,1.52,6.17,,,8.4,0000,,8.0,5.4,-2.9,-10.3,,,,,,,,,,,,4.2,-{박무}-{박무}{강도2}0300-{박무}{강도2}0600-0820.   {박무}0950-{시정(미만)}{1km}{안개}1020-{시정(이상)}{1km}{박무}1150-{박무}{강도2}1200- {박무}{강도2}1500-{시정(미만)}{1km}{안개}1540-{시정(미만)}{0.5km}{안개}1550-{시정(이상)}{0.5km}{안개}1650-{시정(이상)}{1km}{박무}1720-{박무}{강도2}1800-2010.,3.17
100,대관령,2000-01-17,-2.9,-5.7,0030,-1.9,1354,,,,,22.0,6.9,4.8,90,0138,2.3,110,1130,0.8,716,110,-3.7,86,0000,94.6,4.7,919.1,1024.4,0020,1018.9,1430,1021.4,9.9,0.0,1300,0.16,0.91,7.2,2230,14.2,2230,7.4,9.8,7.5,-1.9,-6.4,,,,,,,,,,,,2.7,{눈}0040-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-{눈}{강도1}1800-{눈}{강도0}2100-2240. {박무}0030-{박무}{강도2}0300-{시정(미만)}{1km}{안개}0520-{안개}{강도0}0600-{시정(미만)}{0.5km}{안개}0710-{안개}{강도1}0900-{시정(미만)}{0.2km}{안개}0950-{시정(미만)}{0.1km}{안개}1010-{안개}{강도2}1200-{안개}{강도2}1500-{안개}{강도2}1800-{안개}{강도2}2100-{시정(이상)}{0.1km}{안개}2210-{시정(이상)}{0.2km}{안개}2215-{시정(이상)}{0.5km}{안개}2235-{시정(이상)}{1km}{박무}2245-2254.,17.42
100,대관령,2000-01-18,-5.4,-9.1,2400,-1.5,1500,,,,,,,10.2,290,1340,7.0,290,1540,3.4,2904,290,-9.8,33,1445,73.1,3.0,917.4,1022.7,0215,1017.1,1430,1020.4,9.9,5.6,1200,1.79,9.75,,,14.1,0000,,2.5,2.5,-2.8,-11.0,,,,,,,,,,,,,{박무}2210-{박무}{강도0}2400-,
100,대관령,2000-01-19,-10.7,-13.9,2400,-6.1,1242,,,,,13.58,1.2,16.3,270,1620,11.0,270,1750,6.6,5732,270,-13.7,63,1500,78.3,2.2,914.1,1022.1,2400,1015.0,1423,1019.1,9.9,4.1,1200,1.7,7.72,1.3,2050,13.9,2050,1.3,5.1,4.0,-5.4,-15.8,,,,,,,,,,,,1.2,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0720.   {눈}0905-{눈}{강도0}1200-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100-2240.,
100,대관령,2000-01-20,-14.5,-17.1,0755,-10.8,1340,,,,,,,16.9,270,0235,11.7,270,0310,8.3,7194,270,-20.2,44,1542,61.6,1.2,921.5,1035.9,2400,1022.1,0000,1028.9,9.9,9.0,1230,1.82,11.02,,,13.9,0000,,0.1,0.1,-8.5,-18.9,,,,,,,,,,,,,{박무}0020-{박무}{강도0}0300-{박무}{강도0}0600-0630.,
100,대관령,2000-01-21,-12.5,-19.0,0640,-5.4,1240,,,,,,,8.4,290,2025,7.7,290,2040,3.9,3372,290,-18.9,27,1350,59.9,1.4,930.5,1041.0,0900,1035.3,1420,1038.1,10.0,9.0,1200,1.82,11.27,,,13.3,0000,,0.6,0.0,-9.9,-21.2,,,,,,,,,,,,,,
100,대관령,2000-01-22,-6.8,-15.8,0250,0.1,1450,,,,,6.83,1.5,13.9,290,1258,8.7,290,1300,5.4,4679,270,-12.8,22,1300,65.8,2.6,926.6,1039.9,0004,1026.3,2400,1031.4,10.0,3.1,1330,1.59,7.49,1.8,2400,13.6,2400,1.8,8.5,4.9,-6.7,-18.3,,,,,,,,,,,,2.4,{눈}1710-{눈}{강도0}1800-{눈}{강도0}2100-{눈}{강도0}2400-,
100,대관령,2000-01-23,-1.4,-3.9,0020,3.9,1558,,,,,10.17,1.1,6.5,270,2012,5.5,270,2100,2.0,1748,270,-3.9,48,1620,82.4,4.6,921.5,1026.3,0000,1020.3,1500,1023.4,10.0,2.6,1430,1.33,5.3,1.4,1140,15.0,1140,1.4,8.3,5.8,-2.1,-4.5,,,,,,,,,,,,0.2,-{눈}-{눈}{강도0}0300-0350.  {눈}0620-{눈}{강도0}0900-{눈}{강도0}1200-1240. {부분안개}(E)1042-{시정(미만)}{1km}{안개}1048-{시정(미만)}{0.5km}{안개}1052-{시정(미만)}{0.2km}{안개}1110-{안개}{강도2}1200-{시정(이상)}{0.2km}{안개}1215-{시정(이상)}{0.5km}{안개}1220-{시정(이상)}{1km}{박무}1235-1252.,1.78
100,대관령,2000-01-24,-4.4,-7.1,0802,0.9,1350,,,,,,,11.5,270,0335,8.3,270,0350,3.5,3028,270,-8.6,33,1352,72.9,3.2,923.7,1028.6,0920,1024.7,0000,1027.1,10.0,7.4,1200,1.8,10.57,,,12.8,0000,,5.9,4.5,-2.8,-9.3,,,,,,,,,,,,8.2,{박무}1630-{시정(미만)}{1km}{안개}1710-{시정(이상)}{1km}{박무}1740-{박무}{강도0}1800-1850.,0.5
100,대관령,2000-01-25,-9.4,-14.3,2400,-5.8,0005,,,,,14.83,11.3,10.4,290,2112,5.7,290,2150,2.7,2325,110,-13.0,45,2320,76.3,2.4,923.5,1030.0,2400,1027.7,1400,1028.9,10.1,1.3,1145,1.01,5.36,12.7,1530,23.3,1530,12.7,6.8,5.3,-3.3,-18.5,,,,,,,,,,,,3.1,{눈}0045-{눈}{강도0}0300-{눈}{강도1}0600-{눈}{강도1}0900-{눈}{강도0}1200-{눈}{강도1}1500-1535.,
100,대관령,2000-01-26,-13.6,-18.8,0840,-5.8,1349,,,,,1.08,0.0,10.3,270,0035,7.3,270,0100,3.3,2834,290,-18.4,38,1350,66.5,1.5,922.7,1032.8,2400,1026.0,1500,1029.9,10.1,7.4,1300,1.88,10.61,,,23.1,0000,,2.0,2.0,-6.0,-20.7,,,,,,,,,,,,0.5,{눈}1845-1950.,
100,대관령,2000-01-27,-10.8,-16.6,0255,-3.4,1306,,,,,2.17,0.5,6.5,320,2001,6.0,320,2000,2.1,1844,290,-15.6,36,1307,69.0,1.9,926.0,1034.6,2400,1029.4,1300,1032.3,10.1,8.8,1200,1.97,12.2,0.8,0520,23.3,0520,0.8,0.6,0.6,-6.0,-19.8,,,,,,,,,,,,,{눈}0320-0530.,
100,대관령,2000-01-28,-8.0,-17.6,0555,2.2,1500,,,,,,,10.6,290,2043,9.7,290,2010,6.0,5197,270,-16.0,22,1526,50.0,1.8,927.7,1036.8,0600,1027.9,1500,1033.1,10.2,9.1,1145,1.95,12.44,,,21.0,0000,,0.0,0.0,-7.2,-19.9,,,,,,,,,,,,,,
100,대관령,2000-01-29,-6.4,-11.6,0742,-1.3,1603,,,,,,,15.5,270,2338,10.2,270,2330,7.7,6626,290,-11.9,44,1330,64.4,2.5,926.3,1034.6,0000,1027.5,1507,1030.8,10.2,7.1,1245,1.66,10.23,,,19.5,0000,,4.0,0.9,-6.1,-13.9,,,,,,,,,,,,1.2,,
100,대관령,2000-01-30,-8.2,-13.3,2400,-5.5,0300,,,,,7.33,1.2,22.0,270,1035,13.3,270,1030,9.2,7982,270,-13.2,46,1530,67.0,2.3,923.9,1034.6,2400,1025.9,0600,1028.9,10.2,8.5,1200,1.94,12.0,1.6,0840,19.6,0840,1.6,3.1,2.8,-5.6,-14.8,,,,,,,,,,,,0.0,{눈}0245-{눈}{강도0}0300-{눈}{강도0}0600-0845.  {눈}0910-{눈}{강도0}1030.,
