stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
273,문경,2000-01-01,2.0,-4.4,0740,7.2,1440,,,,,2.33,0.0,3.1,110,1140,2.2,110,1140,0.6,518,290,-1.9,58,1350,76.3,5.4,1005.1,1029.5,0910,1023.8,2400,1026.8,9.7,2.2,,,,,,,,,7.0,5.3,0.8,-7.3,,,,,,,,,,,,0.0,{비}1720-{비}{강도0}1800-1940.,
273,문경,2000-01-02,4.2,1.6,2355,6.7,1330,,,,,3.77,3.0,12.3,270,2300,8.5,270,1320,2.0,1728,270,-0.5,56,1840,72.5,6.0,996.2,1023.8,0000,1014.0,1320,1017.5,9.7,0.2,,,,,,,,,7.7,5.5,3.5,-1.3,,,,,,,,,,,,3.0,{비}1004-{비}{강도0}1200-1350.,
273,문경,2000-01-03,0.5,-3.2,2330,4.7,1330,,,,,,,12.4,270,0100,9.3,270,0130,3.0,2592,270,-10.4,30,1320,45.0,2.8,1000.2,1025.0,2330,1017.4,0020,1021.9,9.7,8.5,,,,,,,,,1.4,1.0,0.7,-6.8,,,,,,,,,,,,,,
273,문경,2000-01-04,-1.1,-7.0,0720,4.5,1530,,,,,,,4.6,270,0050,3.3,270,0050,0.9,778,290,-10.0,33,0230,52.3,2.9,1003.8,1027.2,1010,1024.4,1520,1025.7,9.7,6.9,,,,,,,,,3.0,2.5,-0.4,-9.4,,,,,,,,,,,,0.0,,
273,문경,2000-01-05,1.3,-2.5,0100,5.3,2355,,,,,15.7,7.5,2.4,140,0800,2.2,290,1550,0.3,259,70,-1.4,56,0215,83.0,5.7,999.6,1026.1,0010,1016.7,2400,1021.2,9.7,0.0,,,,,,,,,10.0,6.0,0.9,-5.4,,,,,,,,,,,,15.5,{진눈깨비}0818-{비}0825-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-.,
273,문경,2000-01-06,3.5,-1.3,2300,8.4,1020,,,,,9.67,8.0,13.5,270,1930,12.6,270,1930,2.8,2419,270,-0.9,51,2120,73.9,6.0,994.1,1019.4,2220,1011.9,0630,1015.4,9.8,0.0,,,,,,,,,7.7,5.3,3.3,-3.2,,,,,,,,,,,,0.3,-{비}-{비}{강도0}0300-{비}{강도0}0600-{안개비}0810-{안개비}{강도0}0900-{비}0910-0940. {박무}0230-{박무}{강도1}0300- {박무}{강도1}0600-{시정(미만)}{1km}{낮은안개}0740-{시정(미만)}{0.5km}{안개}0810-{시정(미만)}{0.2km}{안개}0835-{시정(미만)}{0.1km}{안개}0845-{안개}{강도2}0900 -{시정(이상)}{0.1km}{안개}0910-{시정(이상)}{0.2km}{안개}0915-{시정(이상)}{0.5km}{안개}0930-{시정(이상)}{1km}{박무}0945-1040.,2.08
273,문경,2000-01-07,-5.3,-8.7,2250,-1.3,0000,,,,,1.75,0.3,16.1,250,0330,11.7,270,0240,3.5,3024,270,-12.7,45,1050,57.1,2.3,1001.3,1026.1,1000,1018.6,0300,1023.5,9.8,8.5,,,,0.8,0525,0.8,0525,0.8,1.7,2.0,-2.7,-11.1,,,,,,,,,,,,0.0,{눈}0340-0525.,
273,문경,2000-01-08,-2.1,-8.6,0020,2.1,1520,,,,,4.75,0.0,8.0,270,1400,5.6,270,1400,1.7,1469,90,-7.7,50,1510,66.6,3.5,1002.1,1025.8,2330,1022.3,1350,1024.1,9.8,0.6,,,,,,,,,6.3,4.8,-2.1,-11.3,,,,,,,,,,,,0.0,{눈}0725-0825.{눈}0850-{눈}{강도0}0900-1155.{눈}1730-{눈}{강도0}1800-1810.,
273,문경,2000-01-09,-2.1,-4.9,0555,0.3,1530,,,,,,,4.7,290,0120,2.9,270,0100,0.7,605,70,-8.2,44,1430,63.6,3.3,1001.3,1025.7,0000,1020.6,1630,1023.2,9.8,0.0,,,,,,,,,7.1,3.3,-0.8,-7.4,,,,,,,,,,,,,,
273,문경,2000-01-10,1.1,-2.6,2350,5.0,1350,,,,,,,10.5,270,1020,7.0,270,0600,2.6,2246,270,-7.5,32,1350,54.8,3.6,1002.9,1028.7,2310,1020.5,0050,1024.7,9.8,7.6,,,,,,,,,2.4,3.5,0.3,-6.2,,,,,,,,,,,,,,
