stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
243,부안,2000-01-01,3.4,-1.8,0544,9.7,1427,,,,,,,3.6,50,1344,2.4,50,1350,0.3,259,70,-1.7,50,1432,69.5,5.4,1023.4,1026.9,0000,1021.8,2351,1024.4,9.8,0.0,,,,,,,,,5.7,1.0,2.8,-6.6,,,,,,,,,,,,,,
243,부안,2000-01-02,5.3,2.4,2326,9.6,1013,,,,,,,8.4,320,1122,6.6,200,1000,2.2,1901,360,-0.2,48,2006,67.6,6.1,1017.8,1021.8,0000,1016.2,0914,1018.8,9.8,0.0,,,,,,,,,8.1,5.5,5.0,-0.9,,,,,,,,,,,,,,
243,부안,2000-01-03,0.6,-3.5,2346,4.0,0112,,,,,,,6.8,290,1311,6.2,340,1320,1.7,1469,360,-5.5,48,1405,64.3,4.0,1022.9,1025.3,2340,1020.9,0000,1023.9,9.8,7.4,,,,,,,,,2.9,0.8,1.3,-7.5,,,,,,,,,,,,,,
243,부안,2000-01-04,0.5,-4.6,0406,6.7,1448,,,,,,,4.2,50,1242,4.0,50,1240,1.1,950,70,-6.0,41,1506,62.9,3.9,1023.6,1026.3,1044,1022.9,2346,1024.6,9.8,6.4,,,,,,,,,3.0,1.0,-0.2,-9.4,,,,,,,,,,,,,,
243,부안,2000-01-05,7.4,0.7,0024,14.3,1142,,,,,5.03,7.0,6.9,160,1215,5.1,140,1210,2.1,1814,110,1.1,46,1155,65.1,6.7,1016.2,1022.9,0000,1013.5,2400,1017.1,9.8,0.0,,,,,,,,,9.9,5.0,5.9,-1.2,,,,,,,,,,,,10.5,{비}1506-{비}{강도0}1800-2008.,
243,부안,2000-01-06,5.4,0.5,2251,11.8,0422,,,,,2.68,3.5,10.5,270,0445,6.9,320,1900,2.8,2419,320,0.4,49,2330,70.1,6.6,1017.0,1023.5,2330,1012.6,0200,1018.0,9.8,0.0,,,,,,,,,9.3,5.5,5.9,-1.2,,,,,,,,,,,,1.1,{비}0226-{비}{강도0}0300-0318.  {비}0422-{비}{강도0}0600-0611.,
243,부안,2000-01-07,-4.0,-11.2,1904,1.5,0003,,,,,7.68,2.5,13.2,320,0315,11.7,320,0420,2.3,1987,70,-8.3,46,0402,73.6,3.3,1024.4,1027.7,1104,1023.4,0000,1025.4,9.8,0.9,,,,10.5,1517,10.5,1517,11.5,5.7,4.8,0.2,-12.9,,,,,,,,,,,,1.4,{소낙눈}0014-0038.{소낙눈}0725-{소낙눈}{강도0}0900-1119.{소낙눈}1212-{소낙눈}{강도0}1500-1535.,
243,부안,2000-01-08,0.0,-5.0,0000,3.1,1244,,,,,,,5.4,290,0238,4.6,320,1340,0.9,778,290,-5.4,55,1312,67.1,4.1,1024.4,1026.2,1046,1024.5,1615,1025.4,9.9,0.0,,,,,,7.8,0000,,7.4,4.3,1.5,-7.2,,,,,,,,,,,,,,
243,부안,2000-01-09,-0.5,-2.2,0429,1.9,1415,,,,,6.42,1.5,5.0,20,0651,3.4,50,0640,1.2,1037,70,-4.7,54,1255,73.1,4.3,1022.0,1025.5,0000,1019.9,1502,1023.0,9.9,0.0,,,,,,,,,8.6,3.8,0.8,-6.2,,,,,,,,,,,,1.5,{진눈깨비}1420-1455.  {진눈깨비}1605-{진눈깨비}{강도0}1800-{착빙성비}1916-{착빙성비}{강도0}2100-2155.,
243,부안,2000-01-10,0.8,-3.7,2352,5.0,1135,,,,,,,9.1,340,1357,6.9,320,1220,1.7,1469,360,-4.3,48,1608,68.9,4.4,1025.6,1029.9,2254,1022.0,0154,1026.6,9.9,6.8,,,,,,,,,4.0,3.0,2.4,-9.8,,,,,,,,,,,,,,
243,부안,2000-01-11,0.2,-6.5,0734,5.6,1526,,,,,,,4.0,50,0842,3.6,70,1310,0.9,778,70,-5.6,48,1552,65.4,4.1,1025.3,1029.5,0000,1024.1,1405,1026.3,9.9,4.2,,,,,,,,,5.6,3.8,0.5,-12.2,,,,,,,,,,,,,{햇무리}1135-1330.,
243,부안,2000-01-12,5.1,1.7,0055,8.9,1512,,,,,5.3,0.0,5.0,50,0928,3.9,50,0900,1.6,1382,20,0.7,63,1524,72.8,6.4,1017.5,1024.6,0000,1016.1,1540,1018.5,9.9,0.0,,,,,,,,,10.0,4.9,5.2,0.7,,,,,,,,,,,,1.5,{비}1135-{비}{강도0}1200-1438.  {비}2145-{비}{강도0}2400-,
243,부안,2000-01-13,3.0,0.8,2058,5.5,0228,,,,,7.7,2.5,9.0,320,1412,6.0,340,1220,2.1,1814,290,-1.6,58,2004,71.8,5.5,1017.4,1020.9,2208,1016.0,0055,1018.4,9.9,0.0,,,,,,,,,10.0,5.5,3.6,0.0,,,,,,,,,,,,1.0,-{비}-{비}{강도0}0300-0326.  {비}0726-{비}{강도0}0900-1117.  {비}1410-1435.,
243,부안,2000-01-14,0.9,-0.8,2335,3.3,1243,,,,,,,4.5,50,0132,3.3,360,0020,0.7,605,360,-4.2,57,1232,68.3,4.5,1022.7,1026.1,2400,1020.4,0004,1023.7,10.0,0.0,,,,,,,,,9.7,4.8,2.2,-5.9,,,,,,,,,,,,,,
243,부안,2000-01-15,-0.4,-4.0,0745,4.9,1531,,,,,,,5.2,70,1121,3.8,20,1040,1.2,1037,70,-5.2,46,1505,70.3,4.1,1024.9,1028.4,1024,1024.0,1531,1025.9,10.0,5.4,,,,,,,,,2.3,0.0,1.4,-9.9,,,,,,,,,,,,,,
243,부안,2000-01-16,1.2,-1.2,0006,5.6,1346,,,,,,,6.3,340,1502,4.5,320,1410,1.1,950,290,-4.5,50,1512,66.0,4.4,1022.9,1025.0,0244,1005.8,1408,1023.9,10.0,4.0,,,,,,,,,5.4,3.0,2.5,-7.0,,,,,,,,,,,,,,
