stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
201,강화,2000-01-01,3.7,-1.7,0315,8.3,1435,,,,,1.5,0.0,6.4,70,1240,4.3,70,0640,1.9,1642,50,-1.6,51,1445,69.0,5.4,1020.0,1028.4,0250,1022.2,2350,1025.8,9.6,0.7,,,,,,,,,7.0,2.8,1.3,-4.9,,,,,,,,,,,,9.5,{박무}1840-{박무}{강도0}2100-{박무}{강도0}2400-  {비}2230-{비}{강도0}2400-,
201,강화,2000-01-02,3.3,-1.9,2345,6.5,0825,,,,,8.08,10.0,12.5,230,0830,9.1,270,1340,3.2,2765,270,-1.6,57,1755,71.0,5.6,1011.9,1022.2,0000,1014.3,0700,1017.7,9.6,4.9,,,,,,,,,5.6,3.8,3.2,-3.6,,,,,,,,,,,,0.5,-{비}-0140.  {비}0405-{비}{강도0}0600-{비}{강도0}0900-1030.  -{박무}-0210.  {박무}0940-{박무}{강도0}1200-1430.,
201,강화,2000-01-03,-3.8,-6.7,0740,-0.9,1340,,,,,,,9.0,290,0210,6.0,270,0100,1.9,1642,250,-10.0,41,1130,62.8,2.9,1018.6,1026.9,2330,1020.8,0010,1024.6,9.6,7.8,,,,,,,,,0.7,0.0,-2.4,-10.0,,,,,,,,,,,,,,
201,강화,2000-01-04,-2.0,-7.7,0635,2.4,1415,,,,,,,6.1,50,2250,4.5,50,2250,1.4,1210,90,-9.3,36,1410,59.9,3.0,1020.5,1028.2,1010,1025.0,2350,1026.4,9.6,3.1,,,,,,,,,3.1,2.5,-1.9,-9.7,,,,,,,,,,,,3.9,,
201,강화,2000-01-05,1.7,-0.9,0805,3.5,2355,,,,,14.58,10.5,8.4,20,0510,6.9,50,0310,3.8,3283,50,-1.9,45,0050,79.4,5.5,1014.0,1025.1,0000,1014.8,2400,1019.9,9.6,0.0,,,,6.5,0940,6.5,0940,6.5,10.0,7.6,-0.1,-5.0,,,,,,,,,,,,17.6,{눈}0625-{눈}{강도1}0900-{진눈깨비}1010-{비}1030-{비}{강도0}1200-1450.  {비}1750-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-   {박무}1340-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
201,강화,2000-01-06,-0.1,-6.4,2400,4.6,1300,,,,,4.67,11.0,12.5,270,1540,10.5,250,2200,3.1,2678,250,-4.1,46,1740,75.4,4.8,1011.9,1022.4,2400,1012.8,0600,1017.8,9.7,0.5,,,,,,,,,7.4,6.0,0.3,-8.6,,,,,,,,,,,,,-{비}-{비}{강도1}0300-0440. -{박무}-{박무}{강도0}0300-{박무}{강도1}0600-0720.,
201,강화,2000-01-07,-9.7,-13.5,0735,-6.4,0000,,,,,2.92,0.2,12.2,360,0220,5.5,360,0250,1.8,1555,50,-15.3,51,1105,66.1,1.9,1019.9,1028.8,1030,1022.4,0000,1026.0,9.7,8.0,,,,0.5,2400,0.5,2400,0.5,3.1,3.0,-5.3,-14.3,,,,,,,,,,,,1.1,{눈}2105-{눈}{강도0}2400-,
201,강화,2000-01-08,-5.1,-8.1,0320,-0.6,1310,,,,,10.33,1.0,6.6,250,1400,4.3,340,1430,1.2,1037,50,-8.2,58,1440,80.5,3.3,1019.4,1027.1,2320,1024.0,0400,1025.4,9.7,6.1,,,,2.9,1010,3.3,1010,2.6,5.1,3.8,-1.5,-9.1,,,,,,,,,,,,0.1,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-1020.,
201,강화,2000-01-09,-2.9,-8.3,0245,1.0,1405,,,,,0.67,0.0,4.4,140,1250,4.2,90,1250,1.2,1037,50,-7.9,53,1445,69.5,3.4,1018.2,1026.7,0000,1022.0,1650,1024.2,9.7,4.9,,,,,,,,,7.6,1.8,-2.3,-9.7,,,,,,,,,,,,0.0,{눈}2150-2230.,
201,강화,2000-01-10,-2.3,-7.0,2400,0.8,0335,,,,,2.33,0.0,8.7,270,1230,5.6,20,0720,1.9,1642,320,-8.8,42,1455,62.1,3.2,1021.4,1030.9,2130,1021.8,0150,1027.4,9.7,7.7,,,,,,,,,1.7,2.0,-0.6,-10.3,,,,,,,,,,,,,{눈}0010-0045.  {눈}0140-0205.  {눈}0250-{눈}{강도0}0300-0410.  {박무}0810-{박무}{강도0}0900-1020.,
