stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
185,고산,2000-01-01,12.4,7.4,0611,17.2,1417,,,,,,,12.4,140,1634,10.2,140,1631,4.9,4234,140,5.4,50,1400,62.5,9.0,1012.0,1023.5,0024,1018.4,1500,1020.6,10.0,8.8,1300,1.2,7.35,,,,,,1.3,1.3,11.5,4.7,,,,,,,,,,,,0.0,,
185,고산,2000-01-02,10.3,7.1,2358,15.1,1114,,,,,0.72,0.4,19.5,360,2042,17.0,360,1750,8.2,7085,360,5.3,53,2236,71.5,9.1,1008.7,1019.1,2203,1015.1,1421,1017.3,10.0,2.0,1200,0.74,3.7,,,,,,7.9,4.6,9.2,5.8,,,,,,,,,,,,0.4,{소나기}0830-0845.  {소나기}1125-1153.  {박무}1440-{박무}{강도0}1500-{박무}{강도0}1800-1845.  {폭풍}1420-2152.,
185,고산,2000-01-03,6.5,5.0,2226,7.6,0313,,,,,,,18.4,360,0423,16.3,360,0448,8.8,7603,20,-0.1,52,1500,63.3,6.1,1012.3,1022.6,1109,1018.7,0143,1021.1,10.0,6.0,1100,1.06,6.44,,,,,,3.6,2.0,6.8,4.0,,,,,,,,,,,,,{폭풍}0150-0205.  {폭풍}0348-0625.,
185,고산,2000-01-04,10.6,5.5,0038,13.6,1213,,,,,,,10.7,160,2353,8.7,140,2226,4.8,4147,140,4.9,47,0534,67.8,8.8,1012.5,1022.6,0900,1020.1,1453,1021.1,10.0,3.1,1100,0.94,4.5,,,,,,5.0,5.0,8.7,3.8,,,,,,,,,,,,,,
185,고산,2000-01-05,14.2,11.1,0441,16.7,1336,,,,,1.12,3.5,13.3,140,1003,10.8,140,1003,6.4,5529,140,11.0,65,0102,80.9,13.3,1006.5,1020.1,0000,1012.1,1453,1015.0,10.0,1.7,1100,0.66,3.36,,,,,,8.0,5.6,12.1,9.4,,,,,,,,,,,,4.0,{소나기}1223-1240.  {소나기}1355-1445.,
185,고산,2000-01-06,9.6,5.1,2340,14.7,0006,,,,,0.37,0.5,23.2,360,2400,20.3,360,2240,12.4,10714,360,6.3,61,2339,80.5,10.0,1007.5,1021.1,2320,1012.8,0052,1016.1,10.0,0.0,1200,0.14,0.85,,,,,,9.3,4.6,9.7,4.4,,,,,,,,,,,,,{소나기}0317-0332.  {소나기}0411-0418.  {박무}0710-0840.  {폭풍}0935-,
185,고산,2000-01-07,3.2,2.1,1905,5.4,0037,,,,,,,23.7,360,0632,20.5,360,0315,13.7,11837,360,-3.3,52,1336,62.6,4.8,1014.9,1026.2,1057,1020.1,0000,1023.8,10.0,3.3,1300,0.9,4.93,,,,,,7.8,7.8,4.5,1.6,,,,,,,,,,,,,-{폭풍}-1630.,
185,고산,2000-01-08,5.1,2.6,0004,6.3,2154,,,,,,,12.8,360,0012,11.3,360,0012,5.5,4752,70,-1.1,53,1338,63.9,5.6,1014.5,1025.1,0030,1022.1,1517,1023.3,10.1,0.0,1200,0.42,2.8,,,,,,9.0,7.1,5.1,2.1,,,,,,,,,,,,10.5,,
185,고산,2000-01-09,7.2,4.7,0625,8.9,1520,,,,,17.92,20.0,13.3,70,2153,10.5,50,2140,4.1,3542,70,5.5,64,0207,88.9,9.1,1009.4,1022.4,0000,1014.8,1544,1018.2,10.1,0.0,1400,0.26,1.36,,,,,,10.0,6.0,6.4,3.7,,,,,,,,,,,,9.5,{비}0210-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-1352.  {비}1625-{비}{강도0}1800-{비}{강도0}2100-2238.  {박무}0837-{박무}{강도0}0900-1140.,
185,고산,2000-01-10,7.1,5.1,2248,8.8,0108,,,,,,,19.5,20,1052,17.0,20,1051,9.3,8035,20,1.2,53,1917,66.5,6.7,1014.4,1025.8,2057,1018.5,0000,1023.2,10.1,5.9,1300,1.19,6.76,,,,,,6.4,3.4,6.1,4.0,,,,,,,,,,,,,{폭풍}1037-1124.  {폭풍}1317-1416.,
185,고산,2000-01-11,8.6,4.7,0223,13.0,1221,,,,,4.0,6.0,12.4,140,1417,10.0,140,1419,4.8,4147,70,3.5,46,1258,71.1,7.9,1012.6,1025.0,0000,1018.4,2400,1021.3,10.1,3.6,1200,1.23,4.75,,,,,,6.9,3.6,6.5,3.4,,,,,,,,,,,,6.1,{비}1740-{비}{강도0}1800-{비}{강도0}2100-2140.,
185,고산,2000-01-12,11.3,8.5,0420,14.1,1150,,,,,2.23,0.9,13.0,20,2353,10.3,20,2353,3.1,2678,70,8.8,71,1153,84.5,11.3,1005.3,1018.4,0000,1011.7,1619,1013.8,10.1,0.1,1200,0.53,2.17,,,,,,10.0,4.6,10.4,7.8,,,,,,,,,,,,1.8,{비}0325-0344.  {비}2150-2225.  {비}2240-{비}{강도0}2400-,
185,고산,2000-01-13,6.6,3.7,2340,10.3,0002,,,,,5.13,1.0,21.6,360,1631,19.0,360,1700,14.3,12355,360,2.5,62,1604,75.3,7.5,1006.8,1018.7,2038,1012.5,0309,1015.5,10.1,0.0,1200,0.22,1.26,,,,,,9.4,6.3,6.2,3.0,,,,,,,,,,,,,-{비}-{비}{강도0}0300-0445.  {비}0520-0543. {폭풍}0210-2237.  {폭풍}2347-,
185,고산,2000-01-14,4.9,3.3,0113,6.1,1503,,,,,,,18.7,360,0043,14.8,360,0055,10.0,8640,360,-1.0,57,1554,65.1,5.6,1012.6,1023.6,2046,1017.4,0000,1021.4,10.2,0.0,1300,0.29,1.89,,,,,,8.6,6.8,3.8,2.6,,,,,,,,,,,,,-{폭풍}-0110.,
185,고산,2000-01-15,5.6,2.5,0153,8.1,2353,,,,,2.42,0.0,13.4,70,0753,10.8,70,0753,4.8,4147,70,0.7,59,2140,71.0,6.5,1013.5,1023.8,0241,1020.6,2326,1022.3,10.2,0.1,1000,0.35,2.3,,,,,,8.3,5.3,3.7,1.1,,,,,,,,,,,,0.6,{비}1620-{비}{강도0}1800-1845.,
185,고산,2000-01-16,6.4,5.6,2358,8.2,0013,,,,,3.8,0.6,17.7,20,1921,15.3,20,1918,11.2,9672,20,1.9,56,2358,73.4,7.1,1011.4,1021.4,1001,1018.3,1438,1020.1,10.2,0.0,1300,0.41,2.5,,,,,,8.3,5.1,5.2,3.5,,,,,,,,,,,,,{비}0145-{비}{강도0}0300-0340.  {비}0510-{비}{강도0}0600-0630.  {비}0712-0745.  {폭풍}1907-1934.,
