stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
295,남해,2000-01-01,7.0,1.9,0740,10.5,1440,,,,,1.0,0.0,5.1,340,1920,4.7,360,1720,1.6,1382,250,-2.1,34,0050,53.1,5.4,1020.0,1029.0,1020,1023.8,2350,1026.1,9.9,5.7,,,,,,,,,6.6,5.0,5.9,-0.8,,,,,,,,,,,,0.0,{비}2240-2340.,
295,남해,2000-01-02,7.7,3.8,2350,12.8,1220,,,,,1.83,0.0,10.3,320,1620,6.8,290,1400,2.0,1728,250,1.1,48,2150,64.0,6.8,1012.6,1023.8,0000,1015.4,1450,1018.7,9.9,3.9,,,,,,,,,4.9,2.0,5.4,1.6,,,,,,,,,,,,0.0,{비}1220-1410.,
295,남해,2000-01-03,3.9,-0.4,0650,8.2,1350,,,,,,,9.1,270,0140,7.4,250,0140,1.8,1555,250,-6.4,28,1550,47.5,3.8,1016.1,1024.5,2310,1018.4,0030,1022.3,9.9,6.5,,,,,,,,,2.9,2.5,2.9,-4.2,,,,,,,,,,,,,,
295,남해,2000-01-04,3.5,-1.6,0740,9.4,1450,,,,,,,4.0,340,1250,3.2,340,1250,1.2,1037,250,-8.8,23,1600,41.6,3.1,1019.5,1027.1,1040,1024.0,0020,1025.7,9.9,7.8,,,,,,,,,1.4,0.0,2.9,-4.4,,,,,,,,,,,,,,
295,남해,2000-01-05,6.8,2.3,0240,11.3,1450,,,,,5.08,12.0,3.8,270,0010,2.8,290,0540,1.2,1037,290,-1.7,35,0050,56.3,5.7,1015.0,1026.0,0010,1017.6,2350,1021.1,9.9,3.9,,,,,,,,,8.4,6.3,6.2,-1.0,,,,,,,,,,,,12.0,{비}1815-{비}{강도1}2100-2320.,
295,남해,2000-01-06,8.3,2.8,2400,13.2,1220,,,,,,,12.4,290,1600,11.3,290,1550,2.6,2246,270,1.3,40,1930,62.5,7.2,1010.2,1020.6,2340,1013.6,0730,1016.3,9.9,4.2,,,,,,,,,9.4,7.8,8.0,1.8,,,,,,,,,,,,,{박무}0540-{박무}{강도0}0600-0810.,
295,남해,2000-01-07,0.2,-2.4,2050,3.2,1310,,,,,,,16.2,290,0510,13.0,290,0830,3.8,3283,290,-10.4,37,1200,45.3,2.8,1018.1,1026.0,1010,1020.6,0000,1024.4,9.9,8.2,,,,,,,,,0.9,0.8,1.6,-3.4,,,,,,,,,,,,,,
295,남해,2000-01-08,1.4,-1.4,0010,6.2,1450,,,,,,,11.0,270,0200,8.6,250,0140,2.3,1987,270,-7.6,36,1350,52.4,3.5,1019.3,1026.7,0950,1023.9,1540,1025.5,9.9,7.9,,,,,,,,,1.6,1.0,2.8,-3.9,,,,,,,,,,,,,,
295,남해,2000-01-09,0.9,-0.6,0010,1.8,1530,,,,,7.67,2.0,4.7,290,0740,2.8,340,1140,1.1,950,290,-4.4,55,0950,68.4,4.4,1017.2,1026.1,1020,1020.9,1640,1023.5,10.0,0.0,,,,,,,,,10.0,8.5,1.7,-4.4,,,,,,,,,,,,2.0,{비}1230-{비}{강도0}1500-{비}1800{강도0}-1840.  {비}2010-{비}{강도0}2100-2140.,
295,남해,2000-01-10,3.1,-1.1,0630,9.7,1430,,,,,,,5.1,270,1210,4.2,270,1210,0.8,691,230,-3.0,41,1610,66.3,4.9,1018.7,1028.5,2310,1020.9,0110,1024.9,10.0,6.8,,,,,,,,,6.9,7.0,4.1,-3.8,,,,,,,,,,,,,{박무}0630-{시정(미만)}{1km}{안개}0710-{시정(미만)}{0.5km}{안개}0730-{시정(미만)}{0.2km}{안개}0750-{시정(미만)}{0.1km}{안개}0850-{안개}{강도2}0900-{시정(이상)}{0.1km}{안개}0910-{시정(이상)}{0.2km}{안개}0930-{시정(이상)}{0.5km}{안개}0940-{시정(이상)}{1km}{박무}1010-1030.,3.0
295,남해,2000-01-11,3.5,-2.4,0640,8.5,1540,,,,,1.92,1.5,6.2,360,2400,5.6,50,1540,1.6,1382,340,-5.0,42,0310,54.6,4.4,1021.0,1030.1,1010,1025.3,1510,1027.2,10.0,5.4,,,,,,,,,6.1,3.4,3.0,-3.8,,,,,,,,,,,,1.5,{비}2205-{비}{강도0}2400-,
295,남해,2000-01-12,6.0,4.2,0000,7.6,1830,,,,,4.17,0.0,6.7,340,0430,5.6,20,0320,1.7,1469,340,1.5,65,1930,73.4,6.8,1013.9,1025.3,0000,1016.5,2350,1020.1,10.0,0.0,,,,,,,,,10.0,6.5,5.3,-1.7,,,,,,,,,,,,,-{비}-{비}{강도0}0300-0410.,
295,남해,2000-01-13,5.6,0.1,2350,10.3,1220,,,,,,,12.1,290,1920,10.4,290,1410,3.1,2678,290,-1.9,45,1920,59.0,5.5,1009.9,1019.5,2230,1013.9,1320,1016.0,10.0,6.7,,,,,,,,,5.3,4.8,5.8,-1.4,,,,,,,,,,,,,,
295,남해,2000-01-14,1.1,-2.1,0210,6.3,1510,,,,,,,6.3,250,1550,4.9,270,1600,1.4,1210,270,-6.1,44,1550,59.4,3.9,1016.7,1025.3,2110,1019.5,0020,1023.0,10.0,5.6,,,,,,,,,1.9,2.5,3.3,-4.2,,,,,,,,,,,,,,
295,남해,2000-01-15,1.5,-2.7,0730,5.9,1540,,,,,,,4.4,340,1010,3.6,360,1150,1.4,1210,270,-6.6,38,1310,55.5,3.8,1019.4,1028.1,1040,1024.4,2340,1025.7,10.1,6.1,,,,,,,,,5.4,3.8,1.7,-4.1,,,,,,,,,,,,0.5,,
295,남해,2000-01-16,3.7,0.2,2340,6.4,1350,,,,,6.5,1.0,3.4,270,0050,2.6,250,0040,0.6,518,230,-1.5,50,0130,69.4,5.5,1016.3,1024.5,0000,1020.6,1540,1022.4,10.1,0.0,,,,,,,,,9.6,6.5,3.9,-0.8,,,,,,,,,,,,0.5,{비}0240-{비}{강도0}0300-0410. {비}0820-{비}{강도0}0900-{비}{강도0}1200-1320.,
295,남해,2000-01-17,3.4,-0.8,0810,8.6,1450,,,,,,,4.4,290,1950,3.4,360,1410,1.1,950,230,-5.3,37,1600,53.8,4.1,1014.3,1021.9,0830,1018.3,1540,1020.5,10.1,5.5,,,,,,,,,3.3,0.8,3.7,-2.8,,,,,,,,,,,,,,
295,남해,2000-01-18,2.3,-2.3,0730,8.5,1450,,,,,,,7.1,250,1510,4.8,270,1510,1.2,1037,290,-8.1,25,1530,47.6,3.4,1014.4,1022.4,1000,1018.3,1600,1020.6,10.1,8.5,,,,,,,,,1.1,2.0,3.1,-4.8,,,,,,,,,,,,,,
295,남해,2000-01-19,-0.4,-3.5,0420,3.3,1150,,,,,0.25,0.0,14.4,290,1240,9.5,290,1420,3.3,2851,290,-9.0,41,1450,53.5,3.1,1016.5,1026.8,2340,1020.2,0520,1022.7,10.1,4.4,,,,,,,,,5.0,4.0,0.8,-7.0,,,,,,,,,,,,0.0,{눈}1055-1110.,
