stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
98,동두천,2000-01-01,2.7,-3.5,0844,10.3,1518,,,,,,,4.4,140,1605,3.9,340,1340,0.8,712,360,-1.5,43,1523,76.0,5.5,1011.2,1028.3,0908,1021.4,2359,1025.3,9.6,4.3,,,,,,,,,4.9,3.3,0.4,-5.5,-0.3,-0.2,0.3,1.8,3.3,6.5,10.3,,,,1.1,4.3,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도1}0900-{박무}{강도0}1200-1320.,
98,동두천,2000-01-02,4.0,-1.5,2359,7.3,0437,,,,,6.08,6.8,10.9,230,0924,8.9,200,0930,3.7,3209,230,-0.2,52,1728,75.1,6.2,1002.3,1021.3,0001,1012.8,0736,1016.1,9.6,3.1,,,,,,,,,5.4,3.0,2.6,-2.6,0.5,0.1,0.5,1.9,3.3,6.5,10.0,,,,1.0,2.5,{비}0515-{비}{강도0}0600-{비}{강도0}0900-1120.,
98,동두천,2000-01-03,-3.2,-6.6,0758,1.3,1329,,,,,,,4.5,230,1339,3.5,230,1450,1.6,1372,200,-9.3,36,1358,65.0,3.0,1009.0,1026.0,2347,1019.2,0012,1023.4,9.6,8.5,,,,,,,,,1.0,0.3,-1.6,-7.5,-0.1,0.1,0.5,1.8,3.1,6.5,10.0,,,,1.0,,{박무}1725-{박무}{강도0}1800-1930.,
98,동두천,2000-01-04,-2.2,-8.0,0642,3.7,1451,,,,,,,3.4,20,2150,3.2,20,2200,1.2,1025,20,-8.9,33,1437,64.1,3.2,1011.4,1027.7,1017,1024.3,1610,1025.7,9.6,4.5,,,,,,,,,3.0,1.3,-3.6,-8.3,-0.5,0.0,0.6,1.9,3.4,6.5,9.9,,,,0.4,1.4,{박무}0725-{박무}{강도0}0900-{박무}{강도0}1200-1420.  {박무}2005-{박무}{강도0}2100-2150. {연무}1410-{연무}{강도0}1500-{연무}{강도0}1800-2015.,
98,동두천,2000-01-05,2.0,-0.1,0806,5.1,1657,,,,,16.92,12.8,5.0,50,0454,3.9,90,1620,2.2,1931,360,-0.8,48,0418,84.0,6.0,1005.5,1024.5,0002,1014.0,2358,1019.5,9.7,0.0,,,,6.0,1140,6.0,1140,6.0,10.0,5.3,-0.3,-0.3,0.0,0.0,0.9,2.0,3.0,6.3,9.5,,,,0.4,23.9,{눈}0705-{눈}{강도1}0900-{진눈깨비}1140-{진눈깨비}{강도1}1200-{비}1220-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400- {박무}2020-{박무}{강도0}2100-{박무}{강도0}2400-,
98,동두천,2000-01-06,0.7,-5.2,2357,4.7,1246,,,,,6.5,12.5,9.7,250,2106,7.6,270,2250,3.2,2778,270,-3.3,44,1847,77.0,5.3,1002.0,1020.6,2400,1011.5,0646,1016.0,9.7,0.1,,,,,,0.5,0000,,7.6,4.0,0.1,-5.3,0.2,0.3,0.7,1.9,3.0,6.4,9.5,,,,1.3,0.0,-{비}-{비}{강도1}0300-{비}{강도0}0600-0620. -{박무}-{박무}{강도0}0300-0530.  {박무}0720-{시정(미만)}{1km}{낮은안개}0820-{낮은안개}{강도0}0900-{시정(이상)}{1km}{박무}0920-1040. {박무}1530-1645.  {눈}2045-2055.,1.0
98,동두천,2000-01-07,-9.7,-13.9,0750,-5.2,0001,,,,,0.62,0.0,8.4,340,0244,7.9,340,0250,2.7,2323,360,-19.5,33,0959,51.0,1.4,1010.2,1027.8,1024,1020.5,0005,1024.9,9.7,8.8,,,,,,,,,0.9,0.9,-5.6,-14.5,-0.8,0.2,0.7,1.8,3.4,6.5,9.4,,,,1.4,0.2,{눈}2310-2347.,
98,동두천,2000-01-08,-5.1,-9.6,0419,0.4,1455,,,,,7.72,0.2,5.4,290,1257,4.8,270,1520,1.4,1245,290,-9.3,45,1622,75.1,3.0,1009.9,1026.5,2302,1023.0,1444,1024.4,9.7,6.6,,,,0.5,1000,0.5,1000,0.5,3.8,3.0,-4.4,-10.2,-0.7,-0.2,0.6,1.9,3.0,6.0,9.4,,,,1.1,0.0,{눈}0015-{눈}{강도0}0300-0310.  {눈}0552-{눈}{강도0}0600-{눈}{강도0}0900-1040.,
98,동두천,2000-01-09,-3.4,-9.5,0803,1.8,1443,,,,,,,3.4,360,1616,2.8,360,1620,0.9,805,360,-8.3,49,1450,71.8,3.3,1008.9,1026.3,0553,1020.7,1732,1023.3,9.7,3.5,,,,,,,,,6.9,2.9,-3.6,-9.6,-1.4,-0.7,0.5,1.8,3.0,6.0,9.4,,,,0.8,0.1,,
98,동두천,2000-01-10,-1.6,-6.2,2358,2.4,1455,,,,,4.83,0.1,6.7,320,1120,5.7,320,1130,2.3,2002,360,-9.4,29,1552,60.4,3.1,1011.6,1030.0,2323,1020.7,0116,1025.9,9.7,8.7,,,,0.1,0540,0.1,0540,0.1,2.1,1.4,-2.1,-7.3,-0.2,-0.1,0.5,1.7,2.8,6.1,9.2,,,,1.2,,{눈}0050-{눈}{강도0}0300-0540.,
