stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
106,동해,2000-01-01,3.8,2.1,0155,5.1,1400,,,,,17.88,10.6,5.1,340,0927,3.9,340,0927,1.6,1407,270,2.8,74,0113,92.9,7.5,1022.6,1030.0,0949,1023.7,2400,1027.3,9.6,0.0,,,,,,,,,10.0,7.1,3.1,-0.1,,,,,,,,,,,,9.1,{비}0237-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-2030.  {박무}0641-{박무}{강도0}0900-1130.  {박무}1320-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-2350.,
106,동해,2000-01-02,6.6,3.9,0152,12.9,1228,,,,,0.67,0.0,13.6,230,1423,8.5,270,1307,3.4,2939,320,-1.0,30,2349,62.1,6.0,1008.8,1023.7,0000,1007.8,1436,1013.4,9.6,5.8,,,,,,,,,3.9,2.0,3.3,-3.0,,,,,,,,,,,,0.0, {비}1025-1105.,
106,동해,2000-01-03,2.9,-0.9,2400,7.2,1344,,,,,,,14.1,320,0212,11.2,320,0212,3.4,2977,290,-12.7,15,1257,33.5,2.4,1013.9,1022.5,2334,1012.2,0003,1018.5,9.6,7.6,,,,,,,,,0.9,0.0,0.0,-4.2,,,,,,,,,,,,,,
106,동해,2000-01-04,1.8,-2.3,0751,6.0,1346,,,,,,,4.9,20,1308,4.3,20,1308,2.0,1724,230,-9.2,23,1108,47.1,3.2,1020.0,1026.3,2356,1022.2,0000,1024.7,9.7,5.6,,,,,,,,,0.8,0.5,-0.9,-6.3,,,,,,,,,,,,0.1,,
106,동해,2000-01-05,2.3,0.1,0028,4.0,0752,,,,,14.78,10.5,7.2,340,1327,5.0,360,1327,1.5,1326,250,1.0,64,0752,90.9,6.6,1017.5,1026.2,0000,1016.7,2400,1022.2,9.7,0.0,,,,,,,,,8.9,5.5,1.2,-1.2,,,,,,,,,,,,13.0,{비}0833-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-2320.  {박무}1130-{박무}{강도0}1200-{박무}{강도0}1500-1635.  {박무}2040-{박무}{강도0}2100-2335.,
106,동해,2000-01-06,5.0,-0.4,2400,9.8,1435,,,,,2.17,2.6,17.1,270,1548,12.7,270,1548,3.1,2645,250,-0.9,25,2238,71.6,6.5,1006.6,1016.7,0000,1008.5,1442,1011.2,9.7,2.1,,,,,,,,,6.3,4.0,4.6,-1.5,,,,,,,,,,,,,{비}0520-{비}{강도0}0600-0730.,
106,동해,2000-01-07,-3.1,-5.9,2319,-0.4,0002,,,,,,,17.1,320,0457,11.8,290,0144,4.2,3617,290,-19.3,18,1447,31.5,1.4,1015.0,1021.6,2049,1013.6,0001,1019.7,9.7,8.2,,,,,,,,,0.6,0.4,-4.0,-7.9,,,,,,,,,,,,,,
106,동해,2000-01-08,-0.9,-5.9,0420,2.8,1240,,,,,,,11.9,290,1523,8.3,290,1429,3.0,2557,290,-13.1,34,1159,41.9,2.2,1016.6,1023.5,2341,1019.4,1402,1021.3,9.7,7.3,,,,,,,,,1.4,1.3,-3.7,-9.3,,,,,,,,,,,,,,
106,동해,2000-01-09,1.0,-3.3,0503,4.4,1413,,,,,,,6.2,360,2324,4.7,360,2324,1.4,1224,250,-11.9,21,1130,39.0,2.5,1016.3,1023.9,1017,1017.8,2330,1020.9,9.7,0.0,,,,,,,,,6.5,4.1,-1.6,-6.2,,,,,,,,,,,,,,
106,동해,2000-01-10,3.7,-1.7,2222,8.7,1240,,,,,,,9.5,20,1504,8.2,20,1504,2.6,2241,290,-8.9,17,1548,41.5,3.2,1017.6,1027.5,2352,1017.4,0041,1022.3,9.7,8.3,,,,,,,,,1.1,0.8,-0.1,-3.9,,,,,,,,,,,,,,
106,동해,2000-01-11,2.0,-2.3,0257,5.9,1212,,,,,,,6.4,20,1428,5.0,20,1428,2.1,1838,230,-4.7,45,1212,61.8,4.3,1023.6,1030.7,1019,1027.2,2357,1028.3,9.8,0.5,,,,,,,,,7.8,4.8,-0.4,-4.2,,,,,,,,,,,,0.6,,
106,동해,2000-01-12,3.3,1.7,0716,4.5,1401,,,,,18.33,14.6,5.5,250,1417,3.8,250,1417,1.6,1404,250,2.2,65,0038,92.4,7.2,1016.8,1027.4,0013,1016.0,2359,1021.4,9.8,0.0,,,,,,,,,10.0,7.0,2.5,1.4,,,,,,,,,,,,17.0,{비}0540-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
106,동해,2000-01-13,4.4,1.7,2354,8.3,1307,,,,,7.5,3.0,9.1,290,1604,7.1,290,2216,2.2,1939,290,-0.8,46,1514,71.1,6.0,1008.6,1016.9,2340,1010.5,1435,1013.2,9.8,3.0,,,,,,,,,5.5,4.1,2.7,0.2,,,,,,,,,,,,,- {비}- {비} {강도0}0300- {비} {강도0}0600-0730.,
106,동해,2000-01-14,2.6,-0.4,2359,6.5,1400,,,,,,,5.9,270,0021,4.6,270,0022,2.4,2078,250,-3.9,49,2250,62.3,4.6,1015.5,1022.8,2327,1016.5,0105,1020.2,9.8,3.7,,,,,,,,,4.8,3.5,1.0,-3.4,,,,,,,,,,,,,,
106,동해,2000-01-15,0.8,-3.3,0741,5.6,1430,,,,,,,5.2,50,1417,4.3,50,1417,1.9,1638,250,-4.2,50,1052,70.0,4.5,1020.5,1026.8,0920,1022.7,0057,1025.2,9.8,6.9,,,,,,,,,3.5,3.0,-0.2,-5.0,,,,,,,,,,,,,,
106,동해,2000-01-16,3.0,-1.0,0105,6.0,1245,,,,,,,11.9,20,1445,8.9,20,1503,2.7,2363,320,-1.7,59,1223,71.5,5.4,1017.6,1024.5,0000,1020.1,1427,1022.3,9.9,6.0,,,,,,,,,7.1,2.8,1.4,-1.8,,,,,,,,,,,,16.7,,
106,동해,2000-01-17,2.1,0.6,0925,3.5,0001,,,,,19.67,20.2,7.4,50,0728,5.8,50,0727,2.6,2215,340,0.9,66,0000,92.1,6.5,1016.0,1022.0,1009,1018.6,1438,1020.7,9.9,0.0,,,,,,,,,9.1,4.3,2.0,0.3,,,,,,,,,,,,3.5, {비}0110- {비} {강도0}0300- {비} {강도0}0600- {진눈깨비}0850-{진눈깨비} {강도0}0900-{비}0940-{비} {강도0}1200-1235.  {비}1530-{비}{강도0}1800- {비} {강도0}2100-2345.,
106,동해,2000-01-18,2.8,0.3,2244,7.9,1421,,,,,,,8.5,320,1521,6.2,320,1521,2.5,2153,250,-5.8,26,1510,58.1,4.2,1013.9,1020.7,0222,1016.1,1437,1018.6,9.9,8.1,,,,,,,,,2.4,2.0,0.7,-3.0,,,,,,,,,,,,,,
106,동해,2000-01-19,-2.2,-5.2,2358,2.5,1327,,,,,,,12.2,270,1642,9.6,270,1635,3.5,2995,290,-12.4,33,1359,45.3,2.3,1012.7,1019.9,2330,1014.9,1416,1017.4,9.9,3.5,,,,,,,,,2.9,2.8,-3.8,-6.9,,,,,,,,,,,,,,
106,동해,2000-01-20,-5.6,-7.8,0747,-2.1,1427,,,,,,,15.7,290,0823,10.6,290,0833,6.0,5186,290,-21.0,21,1240,28.5,1.0,1022.2,1032.9,2358,1019.5,0100,1027.0,10.0,9.0,,,,,,,,,0.0,0.0,-5.6,-8.3,,,,,,,,,,,,,,
106,동해,2000-01-21,-4.3,-9.8,0703,0.2,1509,,,,,,,10.7,20,1236,8.7,20,1236,3.4,2949,270,-16.9,15,1119,38.6,1.6,1031.4,1038.1,2040,1032.7,0035,1036.2,10.0,9.2,,,,,,,,,1.0,0.4,-5.4,-10.1,,,,,,,,,,,,,{달무리}2330-,
106,동해,2000-01-22,1.2,-5.9,0350,7.3,1557,,,,,,,9.2,250,1613,6.6,250,1613,2.2,1874,250,-11.3,12,1132,41.5,2.7,1024.8,1036.5,0000,1024.7,2400,1029.5,10.0,0.8,,,,,,,,,8.3,4.3,-1.4,-7.3,,,,,,,,,,,,0.0,- {달무리}-0015.,
106,동해,2000-01-23,3.4,0.5,2113,6.2,1417,,,,,6.33,0.2,4.4,340,1308,3.3,340,1309,1.8,1543,250,0.3,63,2308,80.0,6.2,1018.1,1024.7,0000,1021.5,1402,1022.7,10.0,0.0,,,,,,,,,7.8,4.9,1.4,-1.2,,,,,,,,,,,,0.2,{비}0625-{비}{강도0}0900-{비}{강도0}1200-1245.,
106,동해,2000-01-24,2.5,-0.2,2200,5.5,1416,,,,,2.5,2.7,12.3,360,1329,9.1,20,1257,3.5,3046,360,-4.2,27,1412,63.8,4.5,1021.1,1027.3,1907,1023.4,0000,1025.7,10.1,8.0,,,,1.5,2130,1.5,2130,1.5,5.9,4.0,0.1,-1.8,,,,,,,,,,,,11.5,{싸락눈}1655-{비}1715-1725.  {눈}2010-{눈}{강도1}2100-{눈}2210.,
106,동해,2000-01-25,-2.7,-7.0,2309,0.3,0113,,,,,11.67,56.9,10.4,270,2128,7.2,340,0151,3.4,2957,340,-6.1,34,2325,79.8,4.1,1022.7,1029.5,1034,1026.2,0104,1027.5,10.1,1.0,,,,24.6,1325,26.1,1325,24.6,8.3,5.8,-0.9,-14.6,,,,,,,,,,,,48.1,{눈}0130-{눈}{강도2}0300-{눈}{강도2}0600-0710.  {눈}0750-{눈}{강도2}0900-1155.  {눈}1235-1345. {눈}1450-{눈}{강도0}1500-1535.,
106,동해,2000-01-26,-4.9,-8.7,0745,-1.0,1334,,,,,7.08,5.7,9.2,340,1709,7.0,340,1709,3.6,3101,360,-12.9,29,0958,58.0,2.4,1022.6,1029.6,2344,1025.4,1439,1027.5,10.1,8.2,,,,18.4,2400,27.6,2400,18.4,5.0,3.4,-4.6,-11.9,,,,,,,,,,,,18.3,{눈}1655-{눈}{강도0}1800-{눈}{강도1}2100-{눈}{강도2}2400-,
106,동해,2000-01-27,-3.8,-7.0,2155,-0.2,1341,,,,,7.12,12.6,9.6,340,1021,6.3,360,1035,3.7,3180,320,-8.8,48,1319,69.5,3.1,1025.8,1032.1,1032,1029.3,0043,1030.6,10.1,8.5,,,,8.1,0725,33.6,0725,8.1,3.6,2.9,-1.5,-8.6,,,,,,,,,,,,,-{눈}-0248.  {눈}0335-{눈}{강도2}0600-0754.  {박무}0845-{박무}{강도0}0900-0920.,
106,동해,2000-01-28,0.1,-7.2,0724,7.5,1541,,,,,,,6.1,230,0348,4.6,230,0348,2.9,2475,230,-11.5,15,1127,42.6,2.5,1025.0,1030.6,0745,1028.4,1428,1029.8,10.2,9.5,,,,,,25.0,0000,,0.0,0.0,-3.2,-9.3,,,,,,,,,,,,,,
106,동해,2000-01-29,2.6,-3.3,0551,6.9,1343,,,,,,,9.3,290,1814,6.4,270,1816,2.7,2291,250,-13.0,17,1340,31.0,2.1,1024.0,1030.1,0847,1027.0,1522,1028.7,10.2,3.9,,,,,,19.2,0000,,5.0,2.3,-1.3,-6.1,,,,,,,,,,,,,{놀}1732-1815.,
106,동해,2000-01-30,0.0,-4.3,2400,2.7,1342,,,,,,,12.4,270,1242,9.2,270,1243,4.4,3797,290,-12.8,23,1505,38.6,2.3,1023.7,1032.3,2346,1026.3,0427,1028.4,10.2,8.4,,,,,,16.9,0000,,3.6,1.3,-1.5,-5.5,,,,,,,,,,,,,,
