stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
165,목포,2000-01-01,8.5,3.7,0708,13.2,1541,,,,,,,9.0,110,1322,7.7,140,1322,2.7,2299,110,0.1,43,1552,55.8,6.3,1018.0,1025.2,0000,1020.0,2400,1022.6,9.9,2.5,1100,1.29,6.58,,,,,,4.0,0.0,4.9,-0.8,5.5,6.0,6.2,6.7,7.3,9.8,11.0,15.0,17.1,,1.8,,,
165,목포,2000-01-02,7.1,4.0,2358,9.8,1214,,,,,1.27,1.5,13.0,360,1312,11.8,360,1313,5.4,4632,140,3.4,69,0007,77.4,7.9,1013.4,1020.1,2352,1016.3,1220,1018.0,9.9,0.1,1500,0.48,2.27,,,,,,6.0,3.9,5.7,3.3,6.1,6.6,6.9,7.3,7.3,10.1,11.0,14.8,17.0,,1.0,1.5,{비}0947-0951.  {비}1040-1152.  {박무}1325-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
165,목포,2000-01-03,2.2,-1.5,2355,5.6,1426,,,,,,,12.0,360,0258,10.7,360,0301,6.7,5791,360,-4.4,47,1152,62.4,4.4,1017.9,1023.8,1033,1019.8,0020,1022.5,9.9,6.7,1200,1.63,9.19,,,,,,3.5,1.5,2.6,-2.5,4.4,5.3,6.2,7.0,7.6,10.1,11.4,14.8,16.9,,1.9,,-{박무}-0234. {햇무리}1126-1347.,
165,목포,2000-01-04,4.3,-2.2,0721,9.9,1515,,,,,,,6.0,140,1823,5.6,140,1930,2.3,2000,20,-4.7,37,1337,52.6,4.4,1018.1,1024.0,0858,1021.4,1553,1022.7,9.9,7.0,1200,1.66,8.41,,,,,,2.9,2.9,3.1,-2.9,4.1,5.0,5.6,6.4,7.4,10.0,10.8,14.8,16.8,,2.1,,,
165,목포,2000-01-05,9.9,6.1,0249,13.8,1227,,,,,4.5,8.4,11.0,110,1322,8.5,110,1153,4.5,3853,140,5.1,49,0002,72.3,8.9,1011.3,1021.7,0002,1012.7,2333,1015.8,9.9,3.0,1200,1.13,4.69,,,,,,6.9,4.1,6.7,3.1,6.8,6.6,6.7,6.9,7.4,9.8,10.8,14.7,16.9,,1.8,9.2,{비}1454-{비}{강도0}1500-{비}{강도0}1800-1924. {박무}2210-{박무}{강도0}2400-,
165,목포,2000-01-06,6.3,2.0,2336,11.4,0412,,,,,6.18,0.8,15.0,360,1150,13.3,360,2213,7.8,6767,360,2.8,58,2357,79.3,7.9,1012.8,1022.6,2317,1011.6,0619,1017.4,9.9,0.0,1300,0.37,1.52,,,,,,8.9,5.5,6.4,1.7,7.6,7.9,8.4,7.7,8.2,9.8,10.7,14.5,16.6,,2.1,0.0,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0845. {비}0114-{비}{강도0}0300-{비}{강도0}0600-0725.,
165,목포,2000-01-07,-0.2,-1.4,0809,2.2,0021,,,,,0.43,0.0,17.0,340,0154,15.2,340,0154,8.1,7022,340,-7.6,46,1114,58.4,3.5,1020.2,1027.0,1029,1022.4,0003,1024.9,9.9,5.3,1200,1.8,8.87,,,,,,6.0,6.0,1.2,-2.1,3.2,4.5,6.0,6.8,7.4,10.0,10.8,14.6,16.7,,1.9,0.0,{소낙눈}0830-0836.  {소낙눈}1305-1320.  {소낙눈}1453-1458.,
165,목포,2000-01-08,1.8,-0.4,0105,4.4,1130,,,,,,,7.0,360,0052,6.2,290,0558,3.2,2758,340,-5.0,52,1156,60.9,4.2,1019.8,1025.4,1020,1023.4,1554,1024.4,10.0,1.4,1100,1.34,5.17,,,,,,8.3,5.3,2.2,-1.0,3.4,4.2,5.1,6.0,7.1,9.9,10.6,14.2,17.0,,1.1,,,
165,목포,2000-01-09,2.0,0.5,0349,3.9,1452,,,,,9.47,2.4,8.0,360,1829,7.3,360,1829,2.4,2056,20,-2.2,57,1124,75.3,5.3,1016.4,1024.2,0023,1017.7,1526,1021.0,10.0,0.0,1400,0.62,2.59,,,,,,10.0,5.8,3.6,-0.3,3.8,4.3,5.2,6.0,6.7,9.5,10.9,14.5,16.8,,0.9,2.4,{진눈깨비}1146-{진눈깨비}{강도0}1200-{비}1221-1435. {비}1507-{비}{강도0}1800-{비}{강도0}2100-2146. {박무}2151-{박무}{강도0}2400-,
165,목포,2000-01-10,2.2,-0.7,2355,6.6,1318,,,,,,,15.0,360,1459,13.5,360,1551,5.9,5082,20,-2.8,49,1612,70.6,5.0,1020.4,1028.1,2235,1020.3,0036,1025.1,10.0,6.0,1400,1.47,7.93,,,,,,4.3,3.5,3.5,-1.7,3.3,4.6,5.3,6.1,6.8,10.1,11.1,14.4,16.8,,1.4,,-{박무}-0122.,
