stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
189,서귀포,2000-01-01,13.5,10.2,0000,17.3,1221,,,,,,,10.0,90,1303,6.4,90,1428,3.3,2894,50,6.5,52,1105,62.6,9.7,1015.0,1023.9,0000,1019.0,2400,1021.2,10.0,6.7,,,,,,,,,4.4,4.4,10.6,8.1,10.7,10.9,11.1,11.4,11.6,15.6,,,,1.5,2.9,,,
189,서귀포,2000-01-02,12.9,8.7,2300,17.7,1159,,,,,0.25,0.5,10.0,290,1344,7.6,250,1610,2.3,1959,20,6.7,51,1529,65.9,9.9,1010.6,1019.0,0000,1014.0,1511,1016.7,10.0,6.0,,,,,,,,,3.0,2.4,10.3,5.5,11.0,11.3,11.7,11.9,12.1,15.5,,,,1.0,1.5,0.5,{소나기}1225-1240.,
189,서귀포,2000-01-03,10.2,6.9,0225,13.8,1442,,,,,,,6.0,250,1435,4.6,160,1012,1.8,1561,340,3.8,46,1419,65.1,8.0,1014.1,1022.1,2210,1017.8,0054,1020.3,10.0,5.9,,,,,,,,,3.3,2.0,8.9,3.8,10.1,10.4,11.4,11.8,12.2,15.4,,,,1.1,2.1,,,
189,서귀포,2000-01-04,11.8,7.4,0652,14.9,1454,,,,,,,5.0,110,1125,3.8,110,1125,1.9,1635,50,5.7,48,1109,66.5,9.2,1015.7,1023.3,1026,1020.9,1454,1021.9,10.0,3.2,,,,,,,,,4.6,4.0,10.3,5.3,10.5,10.6,11.7,11.8,12.1,15.5,,,,1.4,2.2,,,
189,서귀포,2000-01-05,15.2,12.6,0436,16.9,1949,,,,,1.72,8.0,7.0,50,1158,5.2,50,1158,2.0,1738,50,11.9,60,0212,80.6,14.1,1009.8,1021.5,0000,1013.0,1624,1015.9,10.0,0.1,,,,,,,,,8.4,5.9,12.5,10.2,11.9,12.0,12.0,12.2,12.4,15.5,,,,0.5,0.8,8.4,{비}1045-1055.  {비}1407-{비}{강도0}1500-1540.,
189,서귀포,2000-01-06,13.6,10.9,2400,16.3,0057,,,,,1.08,0.4,9.0,140,2047,7.4,140,2048,2.4,2071,140,9.5,41,2336,76.5,12.1,1008.6,1018.4,2352,1012.3,1331,1014.7,10.0,0.8,,,,,,,,,7.6,5.3,12.5,8.7,13.0,13.1,12.6,12.6,12.4,15.5,,,,1.7,2.0,,{비}0335-0440. {박무}0810-{박무}{강도0}0900-0950. {박무}1116-1152.,
189,서귀포,2000-01-07,4.9,2.7,1851,10.9,0000,,,,,,,15.0,230,0751,9.2,250,1056,3.3,2809,230,-4.8,35,1428,50.3,4.3,1016.3,1025.0,1027,1018.0,0023,1022.6,10.1,9.0,,,,,,,,,2.6,2.6,5.0,1.1,8.9,9.5,11.9,12.5,12.9,15.5,,,,2.5,3.1,,,
189,서귀포,2000-01-08,7.2,4.0,0424,9.8,1521,,,,,,,6.0,140,1122,4.4,160,1111,1.3,1141,50,0.5,50,1444,63.3,6.4,1016.9,1024.5,1041,1021.8,1524,1023.2,10.1,0.0,,,,,,,,,8.6,4.6,6.3,2.7,7.9,8.3,10.5,11.4,12.3,15.4,,,,0.5,0.9,8.5,,
189,서귀포,2000-01-09,9.0,7.3,0710,10.6,2351,,,,,16.9,17.5,9.0,20,1056,6.8,50,1133,3.2,2796,50,6.6,57,0200,84.9,9.8,1012.2,1022.8,0011,1014.8,1606,1018.4,10.1,0.0,,,,,,,,,10.0,5.8,7.5,5.2,8.6,9.0,10.2,11.0,12.3,15.3,,,,0.5,0.7,9.0,{비}0303-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-1542. {비}1715-{비}{강도0}1800-1840.{비}1930-{비}{강도0}2100-2220.,
189,서귀포,2000-01-10,10.9,9.0,2145,14.1,1155,,,,,,,7.0,200,1418,5.9,180,1609,1.9,1613,180,5.1,48,1258,68.5,8.9,1015.5,1024.5,2219,1017.6,0051,1021.8,10.1,6.6,,,,,,,,,4.3,2.1,10.1,6.3,10.4,10.4,10.6,11.0,12.1,15.4,,,,1.7,2.7,,,
189,서귀포,2000-01-11,10.3,6.9,0734,14.1,1241,,,,,5.28,8.3,10.0,50,0932,7.6,20,2025,3.3,2813,50,4.3,32,0531,67.1,8.5,1015.5,1024.5,1016,1018.9,2400,1021.7,10.1,3.0,,,,,,,,,6.5,3.1,7.9,3.6,8.9,9.7,10.7,11.3,12.1,15.3,,,,0.9,1.3,9.8,{비}1825-{비}{강도0}2100-2342.,
189,서귀포,2000-01-12,11.7,10.3,0000,12.7,1935,,,,,12.07,3.3,8.0,50,0427,5.9,50,0516,3.9,3339,50,10.0,84,0659,88.8,12.2,1008.3,1018.9,0000,1012.3,1635,1014.5,10.1,0.0,,,,,,,,,10.0,5.6,10.3,9.1,10.4,10.4,10.9,11.3,12.1,15.0,,,,0.7,0.9,2.5,{비}0124-{비}{강도0}0300-0310. {비}0345-0505.{비}0720-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500- 1538. {비}2320-{비}{강도0}2400-  {박무}1133-{박무}{강도0}1200-1244.,
189,서귀포,2000-01-13,10.3,5.9,2253,13.6,1258,,,,,2.67,0.7,7.0,140,1554,6.0,140,1851,2.4,2115,50,5.8,55,1452,74.0,9.5,1007.9,1017.4,2032,1011.4,0524,1014.1,10.1,4.4,,,,,,,,,5.6,3.5,11.2,1.6,11.2,11.5,11.5,11.7,12.3,15.3,,,,1.5,2.0,,-{비}-0220.  {비}0530-0550.,
189,서귀포,2000-01-14,7.8,4.9,0034,11.9,1427,,,,,,,5.0,160,0123,4.4,140,1648,1.9,1676,360,1.6,47,1506,65.5,6.9,1013.9,1022.4,2302,1016.7,0027,1020.2,10.2,3.9,,,,,,,,,5.4,4.0,6.9,2.7,8.7,9.6,11.3,11.7,12.1,15.3,,,,1.2,1.7,,,
189,서귀포,2000-01-15,8.2,5.7,0651,10.1,1056,,,,,1.08,0.1,6.0,50,1458,4.3,50,1510,2.2,1917,50,1.9,43,1143,65.0,7.0,1015.6,1023.0,1011,1020.3,2338,1021.8,10.2,0.2,,,,,,,,,9.5,5.3,6.9,4.3,8.4,8.8,10.5,11.2,12.1,15.1,,,,0.6,0.9,0.5,{비}1710-{비}{강도0}1800-1815.,
189,서귀포,2000-01-16,9.7,8.5,2400,11.0,1057,,,,,7.7,1.4,3.0,50,0006,2.2,50,0000,1.3,1162,360,7.1,61,0000,83.8,10.1,1012.6,1020.8,0021,1017.3,1456,1018.8,10.2,0.0,,,,,,,,,9.5,5.1,8.9,6.6,9.2,9.4,10.3,10.9,12.1,15.2,,,,0.7,1.0,1.0,{비}0100-0120.  {비}0530-{비}{강도0}0600-{비}{강도0}0900-0915.  {비}1120-1150.  {비}1250-1253.  {비}1640-{비}{강도0}1800-1944.,
189,서귀포,2000-01-17,8.6,6.6,0608,12.9,1029,,,,,,,7.0,160,1523,5.4,160,1524,2.3,2014,360,3.7,57,1309,71.8,8.0,1011.0,1018.3,0808,1015.4,1550,1017.2,10.2,4.3,,,,,,,,,6.4,4.8,8.8,4.8,9.2,9.8,10.4,11.0,11.5,15.2,,,,1.0,1.7,,,
189,서귀포,2000-01-18,7.2,4.3,0542,11.2,1351,,,,,,,6.0,140,1559,4.7,140,1607,2.3,2011,360,1.8,50,1510,69.1,6.9,1011.6,1019.3,1030,1016.2,1500,1017.9,10.2,7.7,,,,,,,,,2.8,2.3,7.2,3.0,8.5,9.1,10.3,10.8,12.0,15.1,,,,1.9,2.7,0.0,,
189,서귀포,2000-01-19,3.5,0.0,2245,6.4,1114,,,,,1.77,0.0,14.0,290,1026,7.3,290,1026,3.9,3362,290,-4.8,40,0449,54.9,4.3,1016.3,1027.0,2305,1018.7,0112,1022.7,10.3,5.7,,,,,,,,,7.1,6.1,3.7,-0.9,6.7,7.5,9.8,10.6,11.5,14.6,,,,,1.9,0.1,{비}0740-0750.  {박무}0830-{박무}{강도0}0900-0920.  {소낙눈}1044-1053.  {소낙눈}1133-1240.  {소낙눈}1455-{소낙눈}{강도0}1500-1515.,
189,서귀포,2000-01-20,1.8,-0.3,0210,4.5,1234,,,,,7.73,0.1,14.0,290,1352,9.7,340,1558,4.0,3484,290,-6.6,36,1714,54.8,3.8,1024.6,1034.7,2344,1026.9,0019,1031.1,10.3,7.9,,,,0.1,0543,0.1,0543,0.1,5.5,5.5,2.1,-2.2,5.2,6.0,8.6,9.8,11.0,15.0,,,,,2.9,0.0,{소낙눈}0506-0544.  {소낙눈}0747-0838.  {소낙눈}0915-{소낙눈}{강도0}1200-{소낙눈}{강도0}1500-1530.,
189,서귀포,2000-01-21,3.6,0.0,0703,7.3,1202,,,,,,,7.0,50,2328,5.4,50,2334,2.1,1779,360,-3.7,48,1135,58.8,4.7,1029.3,1037.6,1020,1034.5,0030,1035.8,10.3,5.8,,,,,,,,,4.6,4.1,2.9,-1.6,5.7,6.3,8.0,8.9,10.7,15.0,,,,,2.6,,,
