stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
90,속초,2000-01-01,3.2,2.4,0034,4.1,1435,,,,,14.17,1.2,3.3,230,1731,2.6,230,1731,0.9,776,270,2.4,88,1432,94.3,7.2,1025.3,1030.0,0941,1023.1,2400,1027.4,9.6,0.0,,,,,,,,,9.5,6.3,2.9,0.9,,,,,,,,,,,,0.5,-{비}-{비}{강도0}0300-{비}{강도0}0600-0645. {비}1245-{비}{강도0}1500-1730. {비}2030-{비}{강도0}2100- 2310. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100- {박무}{강도0}2400-,
90,속초,2000-01-02,5.3,2.4,0142,8.8,1448,,,,,4.33,1.1,16.7,320,1529,11.5,290,1336,3.3,2886,290,-2.5,30,1840,62.3,5.6,1010.7,1023.1,0001,1008.6,1349,1012.9,9.6,3.5,,,,,,,,,6.5,4.4,5.0,0.0,,,,,,,,,,,,1.1,{비}0915-{비}{강도0}1200-1335. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0710.,
90,속초,2000-01-03,1.8,-2.7,2344,6.0,1354,,,,,,,15.1,290,0008,9.5,290,0008,2.4,2102,290,-15.3,18,1229,29.4,1.9,1016.3,1022.4,2343,1012.1,0004,1018.4,9.6,8.4,,,,,,,,,2.0,2.0,0.2,-5.1,,,,,,,,,,,,,,
90,속초,2000-01-04,1.0,-2.7,0446,5.5,1332,,,,,,,4.2,360,1517,3.3,20,1517,1.4,1195,290,-11.7,23,1042,40.5,2.6,1022.7,1026.3,2400,1022.2,0026,1024.9,9.6,5.6,,,,,,,,,2.8,0.5,-0.8,-5.4,,,,,,,,,,,,0.3,{박무}2130-{박무}{강도0}2400-,
90,속초,2000-01-05,0.9,-0.1,1001,1.7,2400,,,,,16.5,10.4,3.6,360,0554,2.7,360,0556,1.2,994,290,-1.3,54,0027,87.0,5.6,1020.3,1026.3,0001,1016.1,2400,1022.4,9.6,0.0,,,,2.1,1540,2.1,1540,2.1,10.0,5.8,-0.4,-1.6,,,,,,,,,,,,16.1,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도1}0900-{박무}{강도1}1200-{박무}{강도1}1500-{박무}{강도0}1800-{박무}{강도0}2100- {박무}{강도0}2400- {눈}0730-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-{비}1552-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
90,속초,2000-01-06,3.2,-2.6,2400,9.9,1432,,,,,9.33,6.0,21.3,250,2312,13.6,290,2029,3.7,3209,290,-4.9,23,2012,62.6,5.0,1009.1,1016.1,0003,1008.0,1404,1011.2,9.6,2.0,,,,,,1.0,0000,,6.8,4.8,1.7,-3.1,,,,,,,,,,,,0.0,  -{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-0920.   -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1130.,
90,속초,2000-01-07,-5.8,-8.7,0747,-2.5,0008,,,,,,,22.6,290,1135,16.6,290,1135,5.9,5119,290,-20.6,20,1536,30.6,1.1,1017.5,1020.8,1125,1014.6,0006,1019.7,9.6,8.6,,,,,,,,,0.5,0.5,-3.7,-9.0,,,,,,,,,,,,,,
90,속초,2000-01-08,-1.7,-6.0,0009,1.5,1509,,,,,,,17.1,290,0841,11.3,290,0847,4.4,3787,290,-14.8,28,2349,39.3,2.0,1018.4,1022.8,2332,1019.0,0450,1020.6,9.6,7.4,,,,,,,,,2.3,2.3,-2.6,-6.8,,,,,,,,,,,,,,
90,속초,2000-01-09,0.2,-5.2,0756,4.1,1255,,,,,,,10.0,320,0002,7.6,320,0002,1.4,1214,270,-12.7,25,0029,38.8,2.4,1018.7,1023.3,0813,1018.0,2356,1020.8,9.7,3.2,,,,,,,,,7.0,4.1,-1.7,-8.1,,,,,,,,,,,,,,
90,속초,2000-01-10,1.6,-2.6,2317,5.7,1532,,,,,,,12.2,360,1211,8.5,360,1133,2.7,2311,290,-12.2,18,1541,36.8,2.4,1020.2,1027.5,2349,1017.8,0132,1022.4,9.7,8.7,,,,,,,,,1.3,1.3,0.1,-5.6,,,,,,,,,,,,,,
