stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
136,안동,2000-01-01,2.8,-4.5,0634,8.8,1522,,,,,,,5.8,160,1632,2.3,140,1720,0.8,690,110,-0.9,63,1510,77.0,5.9,1008.8,1029.1,0918,1023.8,2400,1026.5,9.7,0.0,1100,0.47,2.35,,,,,,7.5,5.3,0.3,-8.4,-0.2,0.4,0.7,1.7,3.6,7.8,,,,,0.7,0.0,,
136,안동,2000-01-02,4.0,1.1,2338,7.0,1106,,,,,4.0,0.9,8.7,360,2203,4.8,360,2020,1.8,1561,360,0.9,63,2051,80.3,6.7,999.3,1023.8,0000,1013.1,1342,1016.7,9.7,0.7,1000,0.39,1.65,,,,,,5.3,2.9,1.9,-5.2,1.2,1.3,1.4,2.0,3.6,7.5,,,,,1.1,0.9,{비}0255-{비}{강도0}0300-0315. {비}1035-{비}{강도0}1200-1415.,
136,안동,2000-01-03,0.7,-3.6,2400,5.6,1448,,,,,,,9.4,360,0900,5.3,340,1110,2.9,2496,340,-9.6,24,1423,49.6,3.0,1003.3,1024.4,2352,1016.1,0040,1021.0,9.7,8.6,1200,1.14,6.8,,,,,,0.6,0.0,0.2,-8.9,0.8,1.4,1.6,2.4,4.0,7.3,,,,,1.9,,,
136,안동,2000-01-04,-0.4,-6.7,0716,7.2,1509,,,,,,,1.3,200,0308,1.2,200,0330,0.5,428,200,-9.9,15,1405,55.6,2.9,1007.5,1026.9,1029,1023.9,1545,1025.3,9.7,5.7,1200,0.88,4.87,,,,,,3.5,2.1,-1.1,-9.8,-0.4,0.7,1.2,2.3,3.9,7.6,,,,,1.2,,,
136,안동,2000-01-05,3.6,-2.5,0310,8.4,1600,,,,,6.33,3.8,6.1,110,1532,2.7,140,1510,0.9,736,110,-0.2,65,1307,76.9,6.3,1003.2,1025.8,0025,1016.3,2400,1020.7,9.7,0.0,1300,0.16,1.0,,,,,,9.0,5.9,1.2,-6.0,0.6,1.2,1.4,2.1,3.8,7.5,,,,,0.8,6.4,{비}1740-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
136,안동,2000-01-06,4.6,-1.1,2348,8.1,1421,,,,,8.83,2.6,13.1,360,1450,7.2,360,1550,2.3,2014,360,1.2,50,2246,80.1,7.0,997.0,1018.6,2349,1011.7,0601,1014.4,9.8,1.0,1400,0.57,2.02,,,,,,7.3,4.4,4.3,-3.4,4.0,4.0,3.1,3.1,4.1,7.3,,,,,1.6,0.0,-{비}-{비}{강도0}0300-0340.  {비}0540-{비}{강도0}0600-{비}{강도0}0900-1050.,
136,안동,2000-01-07,-4.0,-7.1,2356,-1.0,0043,,,,,0.92,0.0,17.8,340,0356,10.8,360,0430,4.2,3588,340,-13.7,32,1130,51.0,2.2,1004.7,1025.2,1028,1017.9,0224,1022.8,9.8,8.8,1300,1.19,7.11,,,,,,1.8,1.8,-1.7,-9.1,0.1,1.5,2.2,3.2,4.4,7.3,,,,,1.5,0.0,{눈}0425-0520.,
136,안동,2000-01-08,-2.7,-7.7,0116,2.2,1246,,,,,4.55,0.0,12.4,340,1439,6.7,360,1200,1.8,1567,360,-8.0,48,1500,68.9,3.4,1005.6,1025.4,2357,1021.7,1354,1023.6,9.8,5.2,1200,0.92,4.81,0.3,1035,0.3,1035,0.3,4.9,4.9,-1.8,-9.6,-0.9,0.6,1.3,2.5,4.2,7.4,,,,,1.5,0.0,{눈}0602-{눈}{강도0}0900-1035.,
136,안동,2000-01-09,-2.0,-5.3,0730,0.8,1558,,,,,2.08,0.5,2.3,360,2020,2.0,290,2050,0.6,476,20,-6.1,53,1600,75.8,3.9,1005.0,1025.4,0549,1020.1,1651,1022.9,9.8,0.0,1300,0.25,1.72,1.2,2215,1.2,2215,1.2,8.4,5.8,-1.8,-7.1,-0.6,0.5,0.9,2.1,4.2,7.3,,,,,0.2,0.5,{눈}2010-{눈}{강도0}2100-2215.,
136,안동,2000-01-10,0.3,-4.1,2400,6.8,1523,,,,,,,10.8,360,1229,5.8,340,1240,1.7,1450,20,-6.7,25,1550,65.1,3.8,1006.2,1028.5,2400,1020.1,0114,1024.0,9.8,7.4,1300,1.17,6.57,,,1.2,0000,,2.8,2.8,0.8,-7.7,0.2,0.6,1.0,2.0,3.8,7.4,,,,,1.8,,,
