stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
257,양산시,2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,양산시,2009-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,양산시,2009-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,양산시,2009-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,양산시,2009-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,양산시,2009-01-07,4.0,-0.5,2212,10.3,1533,,,,,,,6.8,180,0513,3.3,360,1355,1.2,1015,180,-9.0,19,1449,40.6,3.1,1025.5,1028.9,1012,1025.3,1456,1027.4,9.9,8.2,1200,1.84,10.29,,,,,,,,2.4,-2.8,2.4,2.5,2.7,3.0,,,,,,,,,,
257,양산시,2009-01-08,2.3,-3.1,0654,9.5,1439,,,,,,,5.1,340,1220,3.6,340,1227,1.2,1001,340,-9.1,21,1555,46.0,3.1,1024.2,1028.8,0808,1023.8,1456,1026.1,9.9,4.5,1100,1.42,8.21,,,,,,,,1.3,-4.6,1.7,1.8,2.8,3.4,,,,,,,,,,
257,양산시,2009-01-09,2.6,-1.4,0428,6.1,1208,,,,,,,11.6,50,1622,6.6,50,1421,2.7,2343,90,-13.5,23,0218,30.3,2.2,1018.6,1024.4,0004,1018.2,1442,1020.5,9.9,7.4,1200,1.83,10.12,,,,,,,,0.2,-5.5,0.9,1.2,2.4,3.1,,,,,,,,,,
257,양산시,2009-01-10,-0.8,-3.7,2344,3.2,1555,,,,,,,12.6,50,1142,7.2,70,1212,3.2,2760,20,-14.3,19,1610,36.1,2.1,1018.5,1022.8,2251,1018.4,1402,1020.4,10.0,8.4,1200,2.08,12.19,,,,,,,,-0.5,-6.5,0.4,0.7,2.0,2.9,,,,,,,,,,
257,양산시,2009-01-11,-0.5,-6.2,0718,4.3,1420,,,,,,,9.5,360,2119,5.7,360,2121,2.9,2535,20,-11.5,34,1928,43.6,2.6,1019.9,1024.1,0927,1019.4,1538,1021.8,10.0,7.4,1200,1.82,11.27,,,,,,,,-0.5,-8.0,-0.2,0.0,1.5,2.4,,,,,,,,,,
257,양산시,2009-01-12,,-4.6,0611,3.3,1521,,,,,,,12.3,50,1144,7.2,50,1148,4.1,3577,50,,27,1518,,,,1027.8,2335,1022.0,0003,,10.0,8.4,1200,2.1,12.32,,,,,,,,-1.1,-6.9,-0.3,0.1,1.3,2.2,,,,,,,,,,
257,양산시,2009-01-13,-1.3,-5.2,0732,3.9,1502,,,,,,,10.1,70,0442,6.4,70,1159,2.9,2474,70,-14.0,23,1633,38.4,2.1,1026.7,1030.0,0917,1026.8,1504,1028.6,10.0,8.6,1200,2.12,12.57,,,,,,,,-1.3,-7.6,-0.5,-0.2,1.1,2.0,,,,,,,,,,
257,양산시,2009-01-14,-1.6,-5.3,0720,3.3,1542,,,,,,,12.2,320,0149,6.3,50,1512,2.6,2266,70,-13.4,15,1651,45.1,2.4,1026.3,1031.8,2235,1025.7,1353,1028.2,10.0,4.7,1200,1.78,8.32,,,,,,,,-1.3,-7.5,-0.6,-0.4,1.0,1.9,,,,,,,,,,
