stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
121,영월,2000-01-01,0.6,-6.3,0707,8.7,1328,,,,,,,5.0,360,1547,4.5,20,1550,0.3,239,20,-1.9,58,1332,84.3,5.4,997.1,1030.0,0823,1023.8,2357,1026.7,9.6,1.9,,,,,,,,,6.8,3.4,1.2,-8.1,,,,,,,,,,,,0.0,{햇무리} 0820 - 0945.,
121,영월,2000-01-02,2.7,-0.2,0045,6.0,1209,,,,,6.33,3.7,9.0,270,1325,7.0,250,2232,1.1,951,250,-0.3,64,1626,80.4,6.0,987.4,1023.8,0001,1013.2,1218,1016.5,9.7,0.4,,,,,,,,,7.1,5.0,1.1,-1.9,,,,,,,,,,,,3.7,{비}0540-{비}{강도0}0600-0745.  {비}0955-{비}{강도0}1200-1410.,
121,영월,2000-01-03,-1.5,-5.6,2350,3.2,1423,,,,,,,8.0,250,0014,6.0,250,0014,0.8,670,250,-8.2,36,1426,61.6,3.2,992.2,1025.7,2400,1017.3,0000,1021.9,9.7,8.1,,,,,,,,,1.4,0.3,-0.4,-9.3,,,,,,,,,,,,,,
121,영월,2000-01-04,-2.5,-8.5,0800,4.1,1517,,,,,,,2.0,360,1110,1.8,200,1216,0.1,112,270,-8.5,23,1544,67.4,3.2,995.9,1028.1,0942,1024.1,1522,1025.9,9.7,5.9,,,,,,,,,3.8,1.8,-1.8,-9.9,,,,,,,,,,,,0.1,,
121,영월,2000-01-05,0.9,-1.8,0251,3.0,2252,,,,,16.17,9.3,3.0,290,2351,2.3,290,2351,0.3,251,290,-0.9,65,0000,88.4,5.9,991.5,1025.9,0000,1016.2,2400,1021.0,9.7,0.0,,,,,,,,,10.0,6.9,0.4,-3.6,,,,,,,,,,,,19.8,{눈}0750-{싸락눈}0830-{싸락눈}{강도0}0900-{동우}0920-{비}1020-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-  {박무}1420-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
121,영월,2000-01-06,2.6,-2.9,2400,6.8,1110,,,,,13.33,10.6,11.0,270,1836,7.8,270,1910,1.2,1021,250,-0.5,35,2159,82.0,6.3,985.6,1018.9,2237,1011.3,0514,1014.6,9.7,0.1,,,,,,,,,8.5,7.0,2.5,-3.9,,,,,,,,,,,,0.0,-{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-1110.  {안개비}1210-1420. -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0740.,
121,영월,2000-01-07,-6.7,-9.5,2357,-2.9,0000,,,,,2.83,0.0,13.0,290,0418,8.8,290,0455,1.5,1321,250,-14.9,37,1359,53.9,1.9,992.9,1025.9,1031,1018.0,0117,1023.2,9.7,8.8,,,,,,,,,1.9,1.6,-3.6,-10.1,,,,,,,,,,,,0.5,{눈}0120-{눈}{강도0}0300-0410.,
121,영월,2000-01-08,-5.1,-9.4,0716,-0.1,1458,,,,,10.42,0.6,8.0,250,1327,5.8,250,1327,0.6,486,270,-8.0,64,1500,80.6,3.3,993.9,1026.2,2345,1022.0,1404,1024.1,9.7,5.3,,,,1.1,0920,1.1,0920,1.0,5.4,4.4,-1.7,-9.5,,,,,,,,,,,,0.1,{눈}0220-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-1245.,
121,영월,2000-01-09,-4.4,-9.1,0717,-1.1,1604,,,,,,,3.0,290,2142,2.0,290,2140,0.2,155,290,-7.6,59,1519,79.9,3.4,993.2,1027.0,0617,1020.3,1752,1023.4,9.7,0.0,,,,,,,,,7.4,3.4,-2.0,-9.5,,,,,,,,,,,,,,
121,영월,2000-01-10,-0.9,-5.9,2351,3.9,1413,,,,,,,8.0,270,1306,5.8,270,1331,0.6,552,270,-7.2,31,1238,64.9,3.5,994.8,1029.4,2351,1020.4,0045,1024.6,9.8,7.1,,,,,,,,,2.5,1.8,-1.0,-10.2,,,,,,,,,,,,,,
