stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
272,영주,2000-01-01,2.3,-4.2,0531,7.5,1401,,,,,,,3.2,340,0021,2.6,320,0150,1.2,1037,320,-1.0,62,1402,79.4,5.7,1000.3,1028.9,0910,1023.9,2400,1026.4,9.7,0.0,,,,,,,,,7.0,5.3,-0.9,-7.9,,,,,,,,,,,,0.5,,
272,영주,2000-01-02,3.3,1.5,2327,6.7,1329,,,,,6.4,5.5,14.2,290,2145,10.9,290,1430,3.0,2592,290,-0.4,52,1726,78.0,6.0,990.5,1023.9,0000,1012.6,1330,1016.2,9.7,1.5,,,,,,,,,7.3,4.5,1.9,-0.7,,,,,,,,,,,,5.0,{비}0245-{비}{강도0}0300-0432. {비}1005-{비}{강도0}1200-1442. {박무}0618-{시정(미만)}{1km}{안개}0705-{시정(미만)}{0.5km}{안개}0725-{시정(이상)}{0.5km}{안개}0755-{시정(이상)}{1km}{박무}0815-0843. {박무}1120-{박무}{강도1}1200-1325.,1.17
272,영주,2000-01-03,-0.1,-4.8,2355,3.8,1302,,,,,,,16.9,270,0452,12.7,270,0520,6.1,5270,290,-9.5,29,1311,50.0,3.0,994.0,1024.0,2340,1015.0,0030,1020.2,9.7,8.4,,,,,,,,,0.9,0.0,-0.1,-7.8,,,,,,,,,,,,,,
272,영주,2000-01-04,-1.5,-7.3,0715,4.8,1504,,,,,,,4.0,290,2136,2.9,290,2140,1.0,864,320,-7.5,37,1458,65.5,3.5,998.7,1026.5,1010,1023.8,1410,1025.2,9.7,5.7,,,,,,,,,2.4,1.8,-1.5,-10.6,,,,,,,,,,,,0.5,,
272,영주,2000-01-05,2.7,-2.2,0215,4.7,1612,,,,,16.08,14.5,4.3,270,0905,3.4,270,0910,1.4,1210,320,0.9,63,0046,88.0,6.6,994.9,1025.8,0010,1016.3,2400,1020.8,9.7,0.0,,,,,,,,,10.0,6.3,0.5,-7.0,,,,,,,,,,,,23.0,{비}0755-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-  {박무}1740-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
272,영주,2000-01-06,3.5,-1.9,2358,7.9,1130,,,,,8.67,9.0,16.0,270,2058,13.0,270,2040,4.2,3629,290,-0.6,45,2112,75.4,6.2,988.2,1017.7,2400,1011.6,0640,1013.9,9.7,0.6,,,,,,,,,8.6,7.0,2.1,-4.0,,,,,,,,,,,,0.4,-{비}-{비}{강도0}0300-{비}{강도0}0600-0840.  -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{시정(미만)}{1km}{안개}0820-{시정(미만)}{0.5km}{안개}0855-{안개}{강도1}0900-{시정(미만)}{0.2km}{안개}0935-{시정(이상)}{0.2km}{안개}1002-{시정(이상)}{0.5km}{안개}1027-{시정(이상)}{1km}{박무}1042-1053.,2.37
272,영주,2000-01-07,-5.6,-8.3,0808,-1.8,0000,,,,,3.17,0.4,15.4,290,1350,13.1,270,1110,6.1,5270,290,-13.8,45,1352,52.1,2.1,995.3,1024.9,1020,1016.8,0230,1022.1,9.7,8.3,,,,1.5,0500,1.5,0500,1.5,2.6,2.5,-2.2,-9.9,,,,,,,,,,,,0.0,{눈}0210-{눈}{강도0}0300-0520.  {땅날린눈}0240-{땅날린눈}{강도0}0300-{땅날린눈}{강도0}0600-0725.,
272,영주,2000-01-08,-3.2,-6.9,0508,-0.3,1408,,,,,4.5,0.0,12.5,320,1632,8.3,270,1700,4.0,3456,290,-7.8,57,1216,70.9,3.4,996.3,1024.7,2320,1021.7,1520,1023.1,9.8,0.0,,,,,,,,,6.9,6.5,-2.3,-7.8,,,,,,,,,,,,0.0,{눈}0540-{눈}{강도0}0600-0735. {눈}1515-1750.,
272,영주,2000-01-09,-2.6,-6.5,0655,0.0,1551,,,,,,,5.4,290,0022,3.5,360,0210,0.9,778,140,-7.4,51,1433,70.0,3.5,996.0,1025.4,0610,1019.8,1640,1022.5,9.8,0.0,,,,,,,,,7.1,6.5,-2.0,-9.1,,,,,,,,,,,,,,
272,영주,2000-01-10,0.2,-5.0,2353,3.9,1336,,,,,,,12.7,270,0710,11.3,290,0540,4.3,3715,270,-6.7,42,1340,60.4,3.7,997.2,1028.1,2400,1019.4,0100,1023.5,9.8,6.8,,,,,,,,,2.3,2.5,0.1,-10.0,,,,,,,,,,,,,,
