stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
170,완도,2000-01-01,7.8,2.5,0518,13.6,1232,,,,,,,10.2,110,1437,8.8,110,1438,3.1,2705,140,2.9,55,1233,71.8,7.6,1018.6,1025.2,1004,1020.4,2340,1022.8,9.9,5.7,,,,,,,,,2.6,0.8,4.7,0.0,,,,,,,,,,,,,,
170,완도,2000-01-02,6.9,4.3,2325,11.5,1336,,,,,0.75,0.2,15.5,20,1406,13.7,20,1407,5.2,4512,360,3.2,61,1914,77.6,7.8,1013.6,1020.6,0001,1015.0,1345,1017.7,9.9,0.7,,,,,,,,,6.0,4.9,4.9,4.0,,,,,,,,,,,,0.2,{비}1110-1115.  {비}1149-1150.  {비}1151-{비}{강도0}1200-1201.  {비}1215-1244.  {박무}1750-{박무}{강도0}1800-1810.,
170,완도,2000-01-03,2.9,-1.3,2145,6.3,1344,,,,,,,15.8,360,0328,13.8,360,0328,6.1,5302,360,-4.5,41,1231,59.0,4.4,1017.4,1023.2,2130,1018.8,0002,1021.6,9.9,6.2,,,,,,,,,1.9,0.8,2.9,-2.3,,,,,,,,,,,,,,
170,완도,2000-01-04,4.4,-1.9,0759,11.2,1401,,,,,,,5.8,160,2227,5.3,160,1538,2.7,2342,160,-3.2,33,1345,58.4,5.0,1018.5,1024.1,0913,1021.8,1544,1022.8,9.9,6.8,,,,,,,,,3.4,2.6,3.5,-3.7,,,,,,,,,,,,,,
170,완도,2000-01-05,9.3,5.1,0045,12.0,1218,,,,,2.67,6.2,10.4,160,1554,9.3,160,1554,5.0,4310,160,5.6,58,0259,78.5,9.3,1012.7,1022.1,0000,1013.8,1632,1016.9,9.9,1.5,,,,,,,,,7.9,5.0,8.1,0.0,,,,,,,,,,,,7.5,{비}1519-1520.  {비}1651-{비}{강도0}1800-1850.  {비}1940-2020.,
170,완도,2000-01-06,6.9,2.2,2359,11.4,0550,,,,,1.6,1.3,17.2,360,2325,15.2,360,1639,7.5,6481,360,3.4,57,2152,79.4,8.3,1012.2,1021.4,2350,1012.5,0701,1016.4,10.0,0.0,,,,,,,,,8.3,5.6,6.1,2.0,,,,,,,,,,,,,{비}0345-0440.  {비}0550-{비}{강도0}0600-0610.  {비}0801-0822.  {박무}0720-{박무}{강도0}0900-0940.,
170,완도,2000-01-07,0.0,-1.3,1914,2.2,0001,,,,,,,19.8,320,0632,16.5,320,0805,8.7,7487,340,-8.2,41,1211,55.3,3.3,1019.7,1026.0,1040,1021.2,0008,1024.1,10.0,8.2,,,,,,,,,3.0,3.0,1.4,-1.6,,,,,,,,,,,,,,
170,완도,2000-01-08,1.8,-0.6,0828,3.6,1322,,,,,,,10.4,320,0023,8.5,320,0050,3.4,2897,320,-4.9,49,1153,61.9,4.3,1020.0,1025.2,1005,1022.9,1552,1024.3,10.0,2.4,,,,,,,,,8.5,5.4,1.2,-1.3,,,,,,,,,,,,,,
170,완도,2000-01-09,2.7,1.0,0139,4.0,2052,,,,,10.28,4.1,5.8,140,1005,4.9,140,1005,1.8,1552,90,-0.3,62,0446,81.1,6.1,1016.4,1024.1,0010,1017.5,1549,1020.6,10.0,0.0,,,,,,,,,10.0,5.5,3.3,0.0,,,,,,,,,,,,4.1,{비}1025-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-2042.,
170,완도,2000-01-10,3.4,-0.1,2251,6.8,1426,,,,,,,13.9,20,1245,12.3,20,1245,5.0,4299,360,-2.3,51,1527,66.6,5.2,1019.8,1027.2,2232,1019.5,0106,1024.1,10.0,7.0,,,,,,,,,2.3,0.9,2.8,-1.5,,,,,,,,,,,,,,
