stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
112,인천,2000-01-01,6.1,0.4,0636,11.5,1459,,,,,,,9.7,140,2041,6.4,140,2042,3.1,2678,140,0.9,44,1508,71.8,6.5,1015.9,1026.9,0255,1020.8,2359,1024.4,9.6,4.6,1200,0.82,4.33,,,,,,5.1,1.8,3.9,-2.7,3.3,3.0,3.2,3.2,4.0,6.2,10.3,15.7,17.2,,0.9,4.9,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-1230.,
112,인천,2000-01-02,5.0,0.0,2400,8.4,0000,,,,,5.05,5.9,14.4,290,1342,11.2,320,1402,6.3,5443,320,1.2,63,1523,77.1,6.8,1008.2,1020.8,0000,1013.0,0712,1016.6,9.6,3.7,1300,0.77,3.09,,,,,,4.9,4.0,4.2,-0.9,4.3,4.1,4.3,4.4,4.2,6.3,10.3,15.7,17.2,,0.9,1.0,{비}0420-0510.  {비}0530-{비}{강도0}0600-0603.  {비}0640-1020.  {박무}0415-0450.  {박무}0605-{박무}{강도1}0900-{박무}{강도0}1200-1330.,
112,인천,2000-01-03,-1.8,-3.3,0747,0.9,1335,,,,,,,12.4,340,0201,9.0,320,0204,3.1,2678,320,-7.9,46,1224,64.5,3.4,1014.7,1025.3,2400,1019.8,0000,1023.4,9.7,7.7,1300,1.07,5.84,,,,,,2.5,1.4,-2.4,-4.9,1.1,1.5,3.0,3.7,4.8,6.4,10.0,15.5,17.1,,1.1,,,
112,인천,2000-01-04,0.1,-4.0,0800,4.2,1602,,,,,,,5.2,20,2339,4.0,360,2345,1.7,1469,20,-6.3,33,1221,63.4,3.8,1016.4,1026.9,1051,1023.5,2400,1025.0,9.7,4.2,1200,0.72,3.84,,,,,,4.6,2.5,-1.3,-4.7,-0.3,0.4,2.1,2.9,4.7,6.3,10.0,15.6,17.1,,1.0,5.0,{박무}1710-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
112,인천,2000-01-05,3.6,1.0,0649,6.1,1559,,,,,16.33,17.4,10.1,140,1512,7.0,110,1513,3.4,2938,90,1.8,57,0512,89.0,7.1,1009.8,1023.5,0000,1012.9,2349,1018.2,9.7,0.0,1500,0.3,0.82,2.3,0720,2.3,0720,2.3,9.9,7.4,1.4,-0.8,1.2,1.2,2.0,2.5,4.1,6.6,9.6,15.6,17.1,,1.0,23.7,{눈}0455-{눈}{강도0}0600-{진눈깨비}0720-{비}0750-{비}{강도0}0900-{비}{강도0}1200-1430.  {비}1715-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-   -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도1}0900-{박무}{강도1}1200-{박무}{강도0}1500-{박무}{강도1}1800-{박무}{강도1}2100-{박무}{강도1}2400-,
112,인천,2000-01-06,2.0,-3.6,2349,5.9,0056,,,,,7.58,11.3,16.6,290,1527,12.7,290,1528,5.6,4838,320,-1.3,49,2029,80.5,5.9,1007.9,1020.9,2133,1011.6,0522,1016.4,9.7,0.4,1200,0.57,2.56,0.1,2400,0.1,2400,0.1,9.0,6.6,1.8,-3.7,3.0,3.1,3.4,3.4,4.0,6.2,9.8,15.3,17.1,,1.1,0.1,-{비}-{비}{강도1}0300-0550.  {비}0710-0810. {눈}2315-{눈}{강도0}2400- -{박무}-{박무}{강도1}0300-{박무}{강도1}0600-{시정(미만)}{1km}{안개}0710-{시정(이상)} {1km}{박무}0809-0820.,0.98
112,인천,2000-01-07,-7.6,-11.1,0710,-3.6,0000,,,,,2.5,0.1,16.3,320,0004,10.7,320,0006,3.0,2592,320,-14.5,41,1121,62.3,2.1,1015.7,1027.4,1018,1020.6,0000,1024.7,9.7,2.4,1000,0.57,1.13,0.3,0025,0.3,0025,0.5,3.0,2.0,-4.7,-12.0,-1.4,0.0,1.6,2.6,4.4,6.2,9.5,15.2,17.1,,0.8,0.8,-{눈}-0025.  {눈}2155-{눈}{강도0}2400-  {박무}2250-{박무}{강도0}2400-,
112,인천,2000-01-08,-2.7,-6.0,0244,0.5,1346,,,,,10.92,0.8,9.1,320,1557,7.1,290,1603,2.6,2246,320,-6.0,62,1603,79.1,3.9,1015.3,1025.7,2336,1022.6,0429,1024.0,9.7,5.5,1200,1.37,4.74,5.5,1050,5.5,1050,5.5,4.1,3.6,-1.8,-8.3,-0.8,-0.5,1.0,1.9,3.9,7.2,9.9,15.2,17.1,,0.7,0.0,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-1055.  -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도1}0900-1120.,
112,인천,2000-01-09,-0.6,-4.1,0605,2.5,1327,,,,,1.08,0.0,5.8,90,0813,4.2,140,1242,1.7,1469,90,-5.8,51,1328,68.6,4.0,1014.1,1025.3,0000,1020.7,1831,1022.8,9.8,2.0,1300,0.7,3.54,,,,,,6.9,2.3,-2.2,-8.2,-1.1,-0.8,0.8,1.6,3.7,7.0,9.5,15.1,17.0,,0.5,0.1,{눈}2215-2320.,
112,인천,2000-01-10,-0.6,-4.7,2400,1.9,1503,,,,,1.75,0.1,10.0,320,1213,7.4,320,1214,3.4,2938,320,-6.6,39,1506,66.0,3.8,1017.3,1029.5,2328,1020.8,0108,1026.0,9.7,8.2,1300,1.15,6.5,0.1,0505,0.1,0505,0.1,2.1,1.8,0.2,-4.8,-0.1,-0.4,0.9,1.5,3.5,6.0,9.5,15.0,17.1,,1.5,,{싸락눈}0050-0110.  {싸락눈}0340-0505.  {박무}0320-{박무}{강도0}0600-0850.,
112,인천,2000-01-11,0.4,-6.4,0807,4.9,1443,,,,,,,7.2,20,0117,5.4,90,2131,2.7,2333,90,-7.1,39,1333,59.4,3.6,1018.2,1029.4,0910,1024.6,2058,1026.8,9.8,5.4,1200,0.95,4.8,,,,,,6.3,2.9,-1.3,-7.2,-0.9,-0.7,0.8,1.4,3.6,6.1,9.2,15.0,17.1,,1.3,,{박무}0610-0750.  {박무}0910-{박무}{강도0}1200-1430.,
112,인천,2000-01-12,3.7,2.2,0817,4.9,1217,,,,,14.05,5.3,10.1,90,0100,5.0,90,0101,2.7,2333,90,-0.1,57,0056,81.5,6.2,1011.0,1025.0,0000,1015.5,2400,1019.5,9.8,0.0,1200,0.52,1.34,,,,,,9.6,7.9,1.6,0.0,0.2,0.2,0.9,1.5,3.4,5.7,9.0,14.3,17.2,,0.4,5.5,{비}0957-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-  {박무}1650-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
