stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
221,제천,2000-01-01,0.2,-7.0,0558,8.3,1540,,,,,,,5.0,70,1620,4.7,70,1750,1.1,950,50,-3.5,55,1450,77.4,4.8,994.5,1031.0,0800,1024.8,2350,1027.8,9.6,2.8,,,,,,,,,4.4,3.0,0.4,-8.9,,,,,,,,,,,,0.0,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0745.,
221,제천,2000-01-02,2.6,-0.2,2333,5.1,1443,,,,,6.92,5.0,8.8,270,1245,5.7,270,1340,2.4,2074,250,-1.6,62,1740,75.3,5.5,985.3,1024.8,0000,1015.1,1230,1018.1,9.7,0.4,,,,,,,,,8.1,4.8,1.5,-1.5,,,,,,,,,,,,5.0,{비}0510-{비}{강도0}0600-0730.  {비}0840-{비}{강도0}0900-{비}{강도0}1200-1315.,
221,제천,2000-01-03,-2.8,-7.3,2348,1.5,1426,,,,,,,8.5,250,1440,6.4,270,0020,2.5,2160,250,-8.8,40,1559,65.1,3.2,990.0,1027.0,2350,1019.0,0000,1023.6,9.7,7.8,,,,,,,,,1.1,0.8,-0.4,-9.5,,,,,,,,,,,,,,
221,제천,2000-01-04,-3.0,-9.2,0729,4.1,1451,,,,,,,3.5,90,1121,2.4,140,1100,0.5,432,50,-8.6,33,1556,68.6,3.2,993.3,1028.8,0940,1025.4,1450,1027.0,9.7,5.6,,,,,,,,,1.4,1.5,-1.3,-10.8,,,,,,,,,,,,0.0,,
221,제천,2000-01-05,2.0,-1.5,0206,3.8,1421,,,,,13.95,12.0,5.5,90,0608,4.2,90,0610,2.1,1814,90,-1.9,49,0015,76.6,5.5,988.8,1026.6,0000,1016.9,2400,1021.7,9.7,0.0,,,,,,,,,9.6,4.9,0.3,-3.1,,,,,,,,,,,,25.0,{눈}0738-{진눈깨비}0842-{진눈깨비}{강도0}0900-{비}0922-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-2135.,
221,제천,2000-01-06,1.8,-4.0,2335,5.8,0944,,,,,12.17,13.0,12.1,290,2234,9.5,270,1800,2.8,2419,270,-2.4,42,2117,75.1,5.5,983.3,1020.6,2220,1012.4,0510,1016.1,9.7,0.0,,,,,,,,,8.5,5.0,1.0,-5.2,,,,,,,,,,,,0.1,{비}0045-{비}{강도0}0300-{비}{강도1}0600-{비}{강도0}0900-{비}{강도0}1200-1245.  {눈}2350-{눈}{강도0}2400-,
221,제천,2000-01-07,-8.0,-10.9,2249,-3.9,0002,,,,,3.42,0.1,12.5,290,0502,8.3,290,0520,3.3,2851,250,-15.3,40,1455,57.8,1.9,990.7,1027.6,0950,1019.5,0140,1025.0,9.7,7.5,,,,0.3,0257,0.3,0257,0.3,2.3,2.0,-2.1,-14.0,,,,,,,,,,,,0.8,-{눈}-{눈}{강도0}0300-0325.,
221,제천,2000-01-08,-6.6,-10.6,0002,-1.7,1417,,,,,12.67,1.1,6.8,250,1515,5.7,250,1550,1.6,1382,270,-10.0,62,1605,79.0,2.9,991.6,1028.0,2330,1023.7,1400,1025.7,9.7,1.1,,,,2.8,1035,2.8,1035,3.2,7.4,4.8,-1.6,-12.3,,,,,,,,,,,,0.3,{눈}0050-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-1045.  {눈}1120-{눈}{강도0}1200-1405.,
221,제천,2000-01-09,-5.0,-10.6,0313,-1.0,1458,,,,,,,3.6,250,2237,3.1,110,1310,0.7,605,90,-9.8,44,1639,70.8,2.9,990.8,1028.3,0620,1021.8,1600,1024.7,9.8,0.0,,,,,,,,,7.7,4.8,-2.1,-12.4,,,,,,,,,,,,,,
221,제천,2000-01-10,-2.3,-7.9,2359,3.1,1436,,,,,,,7.3,270,0935,6.3,250,1220,1.6,1382,250,-8.4,36,1511,65.3,3.3,992.7,1031.1,2400,1022.1,0020,1026.4,9.8,5.3,,,,,,,,,3.9,4.3,-0.6,-10.8,,,,,,,,,,,,,,
