stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
155,창원,2000-01-01,7.5,1.8,0723,11.7,1354,,,,,,,6.3,340,1616,3.5,20,1620,1.3,1123,360,0.3,44,1242,60.5,6.5,1024.2,1027.3,1007,1022.3,2400,1024.7,9.8,2.7,,,,,,,,,6.3,3.4,5.4,-4.6,,,,,,,,,,,,,,
155,창원,2000-01-02,8.8,5.2,2321,12.6,1209,,,,,,,8.6,320,2142,5.8,290,2129,1.8,1555,320,2.1,39,2400,63.8,7.4,1015.9,1022.3,0000,1012.9,1507,1016.3,9.8,3.2,,,,,,,,,2.9,2.9,6.7,0.6,,,,,,,,,,,,,,
155,창원,2000-01-03,5.3,1.1,0730,10.9,1309,,,,,,,7.4,320,1935,4.7,320,1940,0.7,613,110,-7.7,21,1320,41.1,3.5,1019.7,1022.8,2327,1016.0,0022,1020.2,9.8,6.2,,,,,,,,,0.0,0.0,4.6,-4.3,,,,,,,,,,,,,,
155,창원,2000-01-04,5.1,0.8,0741,10.8,1353,,,,,,,4.6,20,1228,3.1,50,1250,0.5,448,90,-9.2,18,1250,36.5,3.1,1023.3,1025.2,1058,1022.0,0000,1023.8,9.9,5.5,,,,,,,,,1.4,0.0,3.9,-5.0,,,,,,,,,,,,,,
155,창원,2000-01-05,8.2,1.7,0426,13.8,1426,,,,,5.38,3.0,5.7,20,1011,4.2,20,1020,0.6,529,360,0.8,42,0046,61.1,7.0,1018.9,1024.2,0004,1015.7,2357,1019.4,9.9,1.9,,,,,,,,,6.4,5.3,6.3,-3.7,,,,,,,,,,,,4.0,{비}1837-{비}{강도0}2100-{비}{강도0}2400-,
155,창원,2000-01-06,9.0,5.1,2359,14.9,1307,,,,,2.15,1.0,12.3,320,1748,6.7,320,1750,0.8,664,70,4.0,39,1938,73.6,8.6,1013.2,1017.2,2354,1010.5,1435,1013.7,9.9,1.0,,,,,,,,,9.4,6.1,8.2,3.4,,,,,,,,,,,,,-{비}-0022. {비}0133-0251. {비}0524-0553. {박무}0423-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-1210.,
155,창원,2000-01-07,0.7,-1.3,2355,5.1,0000,,,,,,,15.6,230,0417,8.5,320,0040,1.4,1176,290,-11.1,31,1030,42.9,2.7,1021.6,1024.1,1140,1017.2,0000,1022.1,9.9,7.6,,,,,,,,,0.4,0.4,1.3,-3.9,,,,,,,,,,,,,,
155,창원,2000-01-08,1.9,-2.1,0139,6.0,1457,,,,,,,6.8,320,0121,4.1,160,1520,0.8,693,50,-7.1,35,1237,52.1,3.6,1022.9,1024.7,0945,1021.9,1531,1023.4,9.9,7.5,,,,,,,,,0.6,0.0,1.6,-5.0,,,,,,,,,,,,,,
155,창원,2000-01-09,1.8,0.6,0648,2.8,1449,,,,,10.58,1.5,5.0,20,0112,3.4,20,1500,0.9,764,50,-3.6,52,0154,68.5,4.7,1021.0,1024.2,1030,1018.6,2328,1021.5,9.9,0.0,,,,,,,,,10.0,8.0,1.3,-4.9,,,,,,,,,,,,1.5,{비}1245-{눈}1325-{눈}{강도0}1500-{진눈깨비}1510-{진눈깨비}{강도0}1800-{비}2020-{비}{강도0}2100-2320.,
155,창원,2000-01-10,4.4,0.6,0550,9.2,1358,,,,,,,9.2,340,0618,5.0,360,1200,1.1,909,50,-5.5,21,2054,54.3,4.4,1022.6,1026.5,2242,1018.8,0116,1023.1,9.9,7.5,,,,,,,,,1.1,0.1,3.0,-4.9,,,,,,,,,,,,,,
155,창원,2000-01-11,5.3,-0.8,0519,10.3,1343,,,,,2.17,1.0,6.9,360,0037,4.4,360,0040,0.9,765,360,-3.6,28,0003,53.9,4.9,1025.1,1028.0,0834,1023.8,2400,1025.6,10.0,6.6,,,,,,,,,4.8,2.6,3.3,-5.6,,,,,,,,,,,,1.5,{비}2150-{비}{강도0}2400-,
155,창원,2000-01-12,8.1,5.5,0220,9.6,1510,,,,,5.18,0.5,7.0,360,1915,3.6,20,2000,1.0,877,360,4.0,68,1441,75.5,8.1,1017.5,1023.8,0000,1014.1,2359,1018.0,10.0,0.0,,,,,,,,,10.0,7.0,6.6,3.0,,,,,,,,,,,,0.0,-{비}-{비}{강도0}0300-0421. {비}2030-{비}{강도0}2100-2120.,
155,창원,2000-01-13,6.8,1.7,2352,10.9,1331,,,,,,,12.3,20,1333,6.3,360,1420,1.3,1123,20,0.8,41,1527,66.4,6.7,1013.1,1017.7,2308,1011.1,1404,1013.6,10.0,3.0,,,,,,,,,4.6,2.8,6.5,0.8,,,,,,,,,,,,,,
155,창원,2000-01-14,2.8,0.0,0706,7.2,1413,,,,,,,12.3,340,2004,7.0,340,2120,3.4,2929,360,-6.0,34,1611,53.3,3.9,1020.3,1023.1,2317,1017.2,0000,1020.8,10.0,4.3,,,,,,,,,1.5,0.0,2.5,-1.7,,,,,,,,,,,,,{햇무리}0938-1020,
155,창원,2000-01-15,3.5,-0.8,0751,7.6,1627,,,,,,,12.2,340,0156,6.8,360,0100,2.3,1981,20,-5.1,37,1254,54.1,4.3,1023.2,1025.9,0930,1022.1,1510,1023.7,10.0,4.6,,,,,,,,,5.9,0.0,2.1,-5.2,,,,,,,,,,,,,,
155,창원,2000-01-16,5.9,3.5,0153,8.6,1510,,,,,,,5.0,360,1714,2.8,50,0600,1.0,897,270,-2.9,30,1737,54.5,5.0,1019.7,1022.6,0000,1018.4,1521,1020.2,10.0,0.0,,,,,,,,,7.5,7.3,4.1,-3.0,,,,,,,,,,,,,,
155,창원,2000-01-17,5.7,1.5,0723,9.6,1419,,,,,0.07,0.0,10.4,340,1754,5.3,340,1800,2.5,2145,360,-4.0,27,0245,49.8,4.7,1017.6,1019.4,0230,1016.1,1454,1018.1,10.1,3.4,,,,,,,,,5.4,3.5,4.6,-4.1,,,,,,,,,,,,0.0,{비}1753-1757.,
155,창원,2000-01-18,5.1,1.9,2400,9.2,1246,,,,,,,11.6,360,1850,6.6,340,1940,2.9,2523,360,-7.9,19,1852,42.1,3.6,1017.8,1020.0,0959,1016.1,1437,1018.3,10.1,7.8,,,,,,,,,1.5,1.5,4.3,-2.7,,,,,,,,,,,,,,
155,창원,2000-01-19,0.8,-2.5,2330,5.5,1203,,,,,0.92,0.0,13.7,320,1815,6.1,320,1250,2.7,2291,90,-11.8,30,1516,41.1,2.5,1019.5,1024.2,2357,1017.4,1356,1020.0,10.1,5.4,,,,,,,,,1.4,1.4,-0.2,-6.0,,,,,,,,,,,,0.0,{눈}1234-1320. {눈}1328-1337.,
155,창원,2000-01-20,-2.6,-5.3,2332,1.0,1326,,,,,,,12.2,290,1146,5.8,340,1630,2.7,2320,360,-17.8,20,1612,34.5,1.6,1029.7,1035.3,2352,1024.1,0010,1030.2,10.1,7.7,,,,,,,,,0.5,0.5,-2.8,-8.0,,,,,,,,,,,,,,
155,창원,2000-01-21,-2.1,-7.5,0749,2.0,1429,,,,,,,10.0,360,1345,6.0,360,1330,2.6,2216,20,-21.7,12,1654,26.5,1.1,1036.7,1039.2,1014,1035.1,0000,1037.3,10.1,8.8,,,,,,,,,0.3,0.0,-3.5,-10.0,,,,,,,,,,,,,,
155,창원,2000-01-22,0.8,-2.8,0158,4.4,1604,,,,,3.32,1.5,3.6,50,0359,2.9,50,0400,1.4,1236,50,-11.5,24,0048,44.9,2.9,1030.7,1037.5,0000,1025.7,2400,1031.2,10.2,0.0,,,,,,,,,9.3,8.1,0.3,-8.8,,,,,,,,,,,,10.3,{비}1522-1612. {비}1855-2014. {비}2250-{비}{강도0}2400-,
155,창원,2000-01-23,5.8,0.8,0011,11.0,1514,,,,,6.07,8.8,9.9,340,2028,5.4,340,2150,1.7,1461,50,1.9,51,2341,77.8,7.1,1021.9,1025.7,0000,1020.6,1333,1022.4,10.2,6.0,,,,,,,,,7.3,5.5,4.5,-2.2,,,,,,,,,,,,,-{비}-{비}{강도0}0300-{비}{강도0}0600-0604. {박무}0545-{박무}{강도0}0600-{박무}{강도0}0900-1130.,
155,창원,2000-01-24,5.0,3.0,2400,7.4,0042,,,,,,,12.2,320,0711,6.4,360,1320,3.7,3197,360,-5.9,27,1823,47.6,4.1,1025.2,1027.0,1050,1023.8,0128,1025.7,10.2,6.4,,,,,,,,,7.0,7.0,3.8,1.4,,,,,,,,,,,,,,
155,창원,2000-01-25,0.7,-3.2,2359,5.4,1404,,,,,,,14.3,340,1735,7.6,340,1740,4.6,3941,340,-19.0,13,1132,25.0,1.5,1025.9,1028.6,2243,1024.6,1440,1026.4,10.2,8.8,,,,,,,,,1.4,1.3,0.6,-5.0,,,,,,,,,,,,,,
155,창원,2000-01-26,-2.8,-6.7,0648,1.4,1446,,,,,,,12.7,340,0057,6.8,320,0050,3.3,2851,360,-16.4,24,0000,37.9,1.7,1027.1,1028.7,0756,1025.0,1436,1027.6,10.3,9.0,,,,,,,,,0.0,0.0,-1.8,-7.7,,,,,,,,,,,,,,
155,창원,2000-01-27,-1.0,-5.2,0533,3.9,1318,,,,,,,10.8,340,0323,5.7,360,0140,2.9,2506,360,-16.3,24,1321,33.4,1.7,1029.2,1031.7,2317,1028.0,1445,1029.7,10.3,9.0,,,,,,,,,0.1,0.1,-1.9,-6.8,,,,,,,,,,,,,,
155,창원,2000-01-28,0.9,-4.6,0753,7.6,1442,,,,,,,5.9,50,1315,3.8,50,1320,1.5,1296,20,-13.7,13,1413,37.8,2.2,1031.6,1033.5,1008,1030.8,1507,1032.1,10.3,9.2,,,,,,,,,0.0,0.0,-1.3,-9.6,,,,,,,,,,,,,,
155,창원,2000-01-29,2.0,-3.3,0536,6.9,1337,,,,,,,7.2,360,1908,4.2,360,1930,1.4,1210,20,-9.3,26,1649,45.1,3.0,1030.7,1033.1,0940,1029.0,1549,1031.2,10.3,7.2,,,,,,,,,3.8,1.0,-0.4,-8.9,,,,,,,,,,,,,{햇무리}1230-1315.,
155,창원,2000-01-30,1.4,-2.7,2351,6.2,1351,,,,,,,11.9,230,1401,6.2,290,1030,2.1,1814,290,-11.0,22,1509,43.8,2.8,1030.9,1035.0,2342,1029.1,1434,1031.4,10.4,7.5,,,,,,,,,1.3,0.8,-0.3,-5.9,,,,,,,,,,,,,,
