stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
216,태백,2000-01-01,-0.2,-3.6,0408,1.9,1346,,,,,10.47,0.5,2.7,70,1610,1.8,90,1720,0.2,173,70,-0.8,88,0003,95.6,5.8,940.6,1029.9,0750,1023.9,2400,1027.3,9.6,0.0,,,,0.5,0910,0.5,0910,0.5,9.3,6.0,-1.3,-8.6,,,,,,,,,,,,0.4,{눈}0720-{눈}{강도0}0900-{눈}{강도0}1200-1330. {안개비}1512-{눈}1610-{눈}{강도0}1800-1930. {박무}1930-{박무}{강도1}2100-{박무}{강도1}2400-.,
216,태백,2000-01-02,1.4,-1.1,2324,4.3,1019,,,,,5.0,3.5,14.8,250,1710,11.6,250,1540,3.3,2851,200,-2.6,44,2340,76.0,5.2,929.3,1023.9,0000,1011.0,1730,1014.4,9.7,2.3,,,,,,,,,6.3,4.0,0.1,-4.7,,,,,,,,,,,,3.5,{비}0740-0850. {비}1030-{비}{강도0}1200-1420. -{박무}-{박무}{강도1}0300-0540. {박무}0850-{박무}{강도0}0900-1030.,
216,태백,2000-01-03,-2.3,-6.2,2345,3.0,1500,,,,,,,9.5,230,0350,7.1,270,0340,1.9,1642,160,-13.0,22,1407,45.0,2.2,932.5,1024.1,2340,1012.9,0000,1019.1,9.7,7.4,,,,,,,,,0.0,0.0,-3.6,-10.8,,,,,,,,,,,,,,
216,태백,2000-01-04,-2.8,-8.6,0732,5.3,1336,,,,,,,4.2,70,1530,3.7,70,1510,0.7,605,360,-10.0,29,1400,61.1,2.9,937.9,1027.6,2400,1021.2,1410,1025.3,9.7,6.5,,,,,,,,,2.3,0.0,-2.8,-12.2,,,,,,,,,,,,0.5,,
216,태백,2000-01-05,-0.9,-4.3,0005,0.7,1348,,,,,16.17,12.2,2.7,70,1610,2.0,90,1600,0.2,173,90,-1.8,73,0036,93.0,5.4,935.7,1027.6,0000,1017.1,2400,1022.2,9.7,0.0,,,,6.1,1910,6.1,1910,6.1,9.6,5.3,-1.7,-7.4,,,,,,,,,,,,19.2,{눈}0750-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도1}1500-{눈}{강도1}1800-{눈}{강도0}2100-{눈}{강도0}2400-.,
216,태백,2000-01-06,2.0,-6.2,2348,7.2,1014,,,,,7.83,7.5,12.9,230,2000,9.6,250,1830,2.6,2246,200,-2.0,48,2055,74.9,5.7,927.1,1017.1,0000,1008.8,1300,1011.8,9.7,0.8,,,,,,5.0,0000,,6.4,5.5,0.4,-8.0,,,,,,,,,,,,0.2,-{눈}-{진눈깨비}0245-{진눈깨비}{강도0}0300-{비}0350-{비}{강도0}0600-0750.,
216,태백,2000-01-07,-8.7,-11.3,0835,-6.1,0000,,,,,3.33,0.2,16.1,200,0150,10.1,230,0210,3.4,2938,230,-16.0,37,1413,55.9,1.8,931.3,1022.4,1010,1015.1,0120,1020.2,9.7,7.5,,,,0.5,0350,0.5,0350,0.5,2.0,1.3,-4.6,-13.6,,,,,,,,,,,,0.2,{눈}0210-{눈}{강도0}0300-0530.,
216,태백,2000-01-08,-5.9,-9.6,0039,-2.7,1250,,,,,9.0,0.2,10.7,250,0440,6.5,230,1350,2.2,1901,230,-10.5,58,1256,70.0,2.7,933.3,1024.0,2330,1019.0,1340,1021.3,9.7,5.2,,,,0.2,0900,0.2,0900,0.2,5.1,6.0,-4.8,-12.2,,,,,,,,,,,,0.0,{눈}0320-0530.  {눈}0740-{눈}{강도0}0900-{눈}{강도0}1200-1430.,
216,태백,2000-01-09,-2.9,-9.5,0530,1.7,1500,,,,,,,3.7,20,2400,3.1,230,2250,0.5,432,200,-11.5,34,1505,54.0,2.5,934.1,1025.7,0620,1016.9,2300,1021.1,9.8,0.0,,,,,,,,,7.6,7.0,-3.9,-12.2,,,,,,,,,,,,,,
216,태백,2000-01-10,-2.1,-8.2,2357,2.5,1410,,,,,,,10.7,270,0700,5.5,320,1120,1.9,1642,20,-9.7,29,1553,58.8,2.9,935.8,1029.5,2400,1017.0,0130,1022.7,9.8,7.5,,,,,,,,,1.6,1.5,-3.2,-13.4,,,,,,,,,,,,,,
216,태백,2000-01-11,-3.8,-10.5,0608,2.8,1312,,,,,,,5.5,50,1530,4.0,70,1500,0.9,778,50,-6.6,55,1310,81.6,3.8,940.9,1031.9,0650,1025.6,1420,1028.9,9.8,2.2,,,,,,,,,6.0,4.8,-3.7,-14.9,,,,,,,,,,,,1.6,,
216,태백,2000-01-12,-0.1,-2.0,0107,1.2,1425,,,,,23.92,4.7,3.8,110,0920,3.5,110,0910,0.3,259,50,-0.6,85,0003,95.9,5.2,935.0,1027.5,0000,1016.1,2400,1021.1,9.8,0.0,,,,3.7,1310,3.7,1310,4.2,10.0,6.5,-0.9,-2.7,,,,,,,,,,,,5.1,{눈}0005-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-{눈}{강도0}1800-{눈}{강도0}2100-{눈}{강도0}2400-. {박무}0030-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도1}1200-{박무}{강도2}1500-{박무}{강도1}1800-{박무}{강도0}2100-{박무}{강도0}2400-.,
216,태백,2000-01-13,-0.3,-4.1,2358,2.6,0922,,,,,7.5,2.0,8.0,250,1600,6.0,230,1500,1.2,1037,230,-3.1,65,1424,81.8,5.0,927.9,1017.7,2350,1010.5,1400,1013.5,9.8,1.5,,,,,,3.0,0000,,9.1,7.3,-0.6,-6.8,,,,,,,,,,,,,-{눈}-{진눈깨비}0240-{눈}{강도0}0300-{진눈깨비}{강도0}0600-0730. -{박무}-{박무}{강도1}0300-{박무}{강도1}0600-0710.,
216,태백,2000-01-14,-2.9,-6.9,2352,2.6,1304,,,,,,,5.8,200,1510,4.6,290,0020,0.9,778,180,-6.4,52,1533,77.6,3.8,933.7,1024.7,2350,1017.4,0020,1020.7,9.8,3.8,,,,,,0.9,0000,,6.0,4.8,-2.0,-9.6,,,,,,,,,,,,,,
216,태백,2000-01-15,-4.3,-11.3,0733,3.9,1416,,,,,,,5.3,50,1640,3.9,70,1650,0.7,605,360,-8.0,35,1248,78.9,3.4,937.9,1029.0,0820,1021.8,1420,1025.8,9.9,7.1,,,,,,,,,3.7,0.0,-3.5,-14.8,,,,,,,,,,,,,,
216,태백,2000-01-16,-0.5,-4.2,0015,5.0,1400,,,,,,,8.0,50,1600,5.6,50,1550,1.4,1210,70,-4.0,45,1343,78.9,4.5,935.3,1025.6,0010,1017.4,1400,1021.6,9.9,6.3,,,,,,,,,7.6,7.3,-0.6,-7.4,,,,,,,,,,,,0.3,,
216,태백,2000-01-17,-0.8,-1.7,2307,0.7,1245,,,,,11.53,0.4,5.1,70,1620,3.9,50,1440,1.2,1037,70,-1.8,84,0000,92.1,5.3,933.7,1021.2,0050,1017.9,1430,1020.0,9.9,0.0,,,,0.5,0300,0.5,0300,0.7,10.0,6.3,-0.3,-3.9,,,,,,,,,,,,0.1,{눈}0054-{눈}{강도0}0300-{눈}{강도0}0600-0736. {눈}1750-{눈}{강도0}1800-{눈}{강도0}2100-2240. {박무}0030-{박무}{강도0}0300-{박무}{강도0}0600-0840.,
216,태백,2000-01-18,-2.1,-6.3,2337,3.3,1332,,,,,,,6.6,230,1400,4.3,160,1000,1.4,1210,200,-7.7,32,1505,68.9,3.5,932.3,1020.9,0740,1015.4,1330,1018.9,9.9,7.0,,,,,,0.2,0000,,3.0,2.0,-1.8,-8.0,,,,,,,,,,,,0.1,,
216,태백,2000-01-19,-7.7,-11.9,2343,-3.5,1056,,,,,8.83,0.4,9.3,270,1510,7.3,200,1450,1.7,1469,200,-12.0,54,1648,71.3,2.5,930.0,1022.1,2320,1015.4,1400,1018.3,10.0,2.3,,,,1.0,1150,1.0,1150,1.2,5.1,4.3,-4.5,-14.8,,,,,,,,,,,,0.3,{눈}0710-{눈}{강도0}0900-1045. {눈}1115-{눈}{강도0}1200-{눈}{강도0}1500-1630.,
216,태백,2000-01-20,-11.9,-13.8,0713,-8.4,1405,,,,,,,10.5,270,1110,6.3,320,1310,2.2,1901,320,-18.7,40,1647,56.9,1.4,938.1,1034.3,2330,1022.0,0040,1028.7,10.0,8.0,,,,,,0.7,0000,,0.6,0.8,-6.3,-16.3,,,,,,,,,,,,,,
216,태백,2000-01-21,-9.2,-14.7,0823,-1.2,1515,,,,,,,6.9,250,0150,4.3,70,1540,1.2,1037,320,-17.4,25,1515,55.1,1.5,946.1,1039.4,2050,1033.0,1420,1036.5,10.0,8.1,,,,,,0.5,0000,,0.0,0.0,-7.6,-18.3,,,,,,,,,,,,,,
