tm,minTa,maxTa,avgTa,sumRn,hr1MaxRn
2000-01-01,-2.925,10.225,2.925,0.0,
2000-01-02,-0.175,7.275,3.8,31.200000000000003,
2000-01-03,-5.25,1.725,-2.125,0.0,
2000-01-04,-7.05,3.75,-1.375,0.0,
2000-01-05,-0.225,4.5,2.275,65.8,
2000-01-06,-3.8,5.475,2.0,47.7,
2000-01-07,-11.675,-3.7,-8.0,1.6,
2000-01-08,-8.475,0.15000000000000002,-4.75,4.5,
2000-01-09,-8.35,0.85,-3.2,0.0,
2000-01-10,-5.025,3.3,-0.85,0.2,
2000-01-11,-9.45,5.4,-1.125,0.0,
2000-01-12,1.65,4.975,3.125,14.9,
2000-01-13,-1.15,3.025,1.15,7.9,
2000-01-14,-2.4,1.05,-0.825,0.0,
2000-01-15,-6.225,3.35,-1.9249999999999998,0.0,
2000-01-16,-3.475,6.075,-0.15000000000000002,0.0,
2000-01-17,-6.325,4.5,-2.125,0.0,
2000-01-18,-7.15,2.9,-2.95,0.0,
2000-01-19,-8.625,-1.9,-5.225,16.6,
2000-01-20,-11.2,-4.825,-8.4,0.0,
2000-01-21,-14.8,-2.375,-8.625,0.0,
2000-01-22,-10.125,1.825,-3.4749999999999996,8.6,
2000-01-23,-1.325,7.85,1.9249999999999998,2.5,
2000-01-24,-5.875,1.675,-2.075,0.0,
2000-01-25,-10.4,-1.5,-6.65,0.0,
2000-01-26,-12.675,-3.375,-8.275,0.0,
2000-01-27,-13.225,0.35,-6.825,0.0,
2000-01-28,-12.5,2.7750000000000004,-5.35,0.0,
2000-01-29,-8.825,2.5,-2.75,0.0,
2000-01-30,-8.225,-0.175,-4.1,0.7,
2000-01-31,-11.225,-3.5,-7.949999999999999,0.0,
2000-02-01,-14.5,-1.55,-8.1,0.0,
2000-02-02,-12.775,1.625,-5.525,0.0,
2000-02-03,-8.375,2.3,-3.2,0.2,
2000-02-04,-10.6,4.25,-3.825,0.0,
2000-02-05,-9.775,4.1,-1.75,1.0,
2000-02-06,-2.35,3.5749999999999997,0.19999999999999998,3.2,
2000-02-07,-5.5,2.15,-1.525,0.1,
2000-02-08,-9.125,-3.625,-6.6,0.0,
2000-02-09,-11.825,-0.15000000000000002,-6.125,0.0,
2000-02-10,-12.649999999999999,3.275,-4.35,0.0,
2000-02-11,-4.25,6.05,0.0,0.0,
2000-02-12,-6.175,5.625,-0.925,0.0,
2000-02-13,-5.725,6.325,-0.07500000000000002,0.0,
2000-02-14,-4.5,3.6750000000000003,-0.175,1.2,
2000-02-15,-7.975,-1.4,-5.15,0.0,
2000-02-16,-9.825,0.27499999999999997,-4.575,0.0,
2000-02-17,-11.2,0.9,-4.825,0.0,
2000-02-18,-10.55,3.8,-3.025,0.0,
2000-02-19,-5.9,8.55,1.075,0.0,
2000-02-20,-4.825,5.2250000000000005,-0.35,0.0,
2000-02-21,-7.25,3.475,-1.775,0.0,
2000-02-22,-8.9,5.05,-1.775,0.0,
2000-02-23,-4.85,5.125,-0.42500000000000004,0.0,
2000-02-24,-7.075,1.45,-2.8249999999999997,0.0,
2000-02-25,-10.65,2.375,-2.975,0.0,
2000-02-26,-4.3,4.5,-0.07499999999999998,0.7,
2000-02-27,-6.975,7.25,1.35,0.3,
2000-02-28,-5.475,1.975,-2.125,0.0,
2000-02-29,-9.5,5.25,-1.85,0.0,
2000-03-01,-5.975,8.325,1.25,0.0,
2000-03-02,-1.375,12.1,4.125,0.0,
2000-03-03,-2.8,17.375,7.125,0.0,
2000-03-04,1.85,13.925,7.425,0.0,
2000-03-05,-2.25,12.025,3.85,0.0,
2000-03-06,-4.575,8.9,1.275,0.0,
2000-03-07,-4.825,2.675,-1.525,0.0,
2000-03-08,-8.25,3.575,-1.95,1.2,
2000-03-09,-7.5,6.625,0.0,0.0,
2000-03-10,-6.675,10.3,2.625,0.0,
2000-03-11,0.75,6.175,3.5999999999999996,0.4,
2000-03-12,-0.275,11.225,3.525,0.0,
2000-03-13,-2.8499999999999996,11.275,3.5,0.0,
2000-03-14,-2.975,12.35,4.5,0.0,
2000-03-15,-3.35,14.225,6.25,0.0,
2000-03-16,1.4249999999999998,9.175,5.075,0.30000000000000004,
2000-03-17,-2.6999999999999997,14.425,5.925,0.0,
2000-03-18,4.2,15.6,9.925,0.0,
2000-03-19,1.025,9.925,5.625,1.4,
2000-03-20,-2.375,14.025,5.425,0.0,
2000-03-21,1.15,13.274999999999999,6.275,0.0,
2000-03-22,-1.4500000000000002,16.8,8.450000000000001,0.0,
2000-03-23,4.325,10.625,7.025,2.2,
2000-03-24,1.4249999999999998,8.5,4.75,0.0,
2000-03-25,-2.25,11.475,5.15,0.4,
2000-03-26,-1.375,15.325,6.825,0.0,
2000-03-27,0.14999999999999997,19.525,11.725000000000001,2.5,
2000-03-28,5.95,16.15,10.3,3.3,
2000-03-29,4.55,12.35,7.325,0.9,
2000-03-30,1.15,15.825,8.375,0.0,
2000-03-31,1.9,16.75,9.15,0.0,
2000-04-01,-1.275,16.25,8.35,0.0,
2000-04-02,3.725,16.775,9.8,0.0,
2000-04-03,2.7,20.125,11.55,0.0,
2000-04-04,3.65,21.2,12.35,0.0,
2000-04-05,4.7,14.075,9.075,0.0,0.0
2000-04-06,-1.2,15.1,7.275,0.0,
2000-04-07,1.9000000000000001,13.649999999999999,7.65,0.0,
2000-04-08,-0.75,18.1,8.375,0.0,
2000-04-09,1.75,19.9,10.825,2.0,1.2
2000-04-10,1.4000000000000001,10.55,5.75,17.0,2.4
2000-04-11,-1.5,16.55,8.05,0.0,
2000-04-12,3.7750000000000004,18.3,11.0,0.0,
2000-04-13,5.7,20.7,12.575,0.0,
2000-04-14,5.05,18.65,12.225,0.0,
2000-04-15,6.4,18.2,11.05,1.2,0.5
2000-04-16,2.475,17.325,10.325,0.0,
2000-04-17,3.3,20.775,11.975,0.0,
2000-04-18,7.6,18.65,13.5,0.0,0.0
2000-04-19,9.5,17.65,13.2,19.3,2.5
2000-04-20,5.925,22.825,14.725,0.0,0.0
2000-04-21,10.2,16.1,12.475,30.5,4.0
2000-04-22,6.375,13.05,9.35,8.1,2.5
2000-04-23,3.7,15.825000000000001,10.0,0.0,
2000-04-24,3.125,19.35,11.65,0.0,
2000-04-25,6.5249999999999995,21.075,14.375,0.4,0.3
2000-04-26,9.625,14.875,11.65,5.5,1.3
2000-04-27,6.0,11.65,9.125,15.6,2.0
2000-04-28,4.425000000000001,19.85,11.4,0.0,
2000-04-29,4.6,23.35,14.475,0.0,
2000-04-30,10.225,20.2,14.125,0.0,
2000-05-01,8.825,20.85,13.875,0.0,0.0
2000-05-02,7.2,20.475,13.65,0.0,
2000-05-03,5.95,22.9,14.95,0.0,
2000-05-04,8.15,24.35,16.525,0.0,
2000-05-05,9.3,23.2,16.225,8.9,3.7
2000-05-06,10.575,20.2,15.1,4.9,2.5
2000-05-07,6.75,22.025,14.1,0.0,
2000-05-08,6.65,25.675,16.325000000000003,0.0,
2000-05-09,10.15,27.85,19.225,0.0,
2000-05-10,11.35,17.9,14.35,76.1,8.0
2000-05-11,10.45,15.275,12.075,11.3,1.7
2000-05-12,9.925,19.65,14.0,0.0,
2000-05-13,9.425,24.05,16.15,1.1,1.0
2000-05-14,10.325,24.65,17.375,0.0,
2000-05-15,13.525,21.45,16.425,0.1,0.1
2000-05-16,12.675,20.65,16.175,5.3,3.6
2000-05-17,11.775,23.375,16.675,0.0,0.0
2000-05-18,11.55,23.9,17.1,1.6,1.0
2000-05-19,12.775,21.7,16.3,52.7,20.5
2000-05-20,11.175,21.05,15.125,13.5,6.5
2000-05-21,11.799999999999999,22.7,16.375,0.2,0.1
2000-05-22,13.450000000000001,25.775,19.375,0.0,0.0
2000-05-23,14.375,26.65,19.925,0.2,0.2
2000-05-24,16.95,28.9,22.025,0.0,
2000-05-25,16.975,31.3,22.95,0.0,0.0
2000-05-26,16.35,27.45,21.6,12.7,3.0
2000-05-27,16.1,19.125,17.65,64.7,7.0
2000-05-28,14.525,24.05,18.575000000000003,0.5,0.5
2000-05-29,11.45,28.175,19.35,0.0,
2000-05-30,12.15,22.075,17.25,0.0,0.0
2000-05-31,15.2,26.35,19.725,0.0,0.0
2000-06-01,13.325,27.1,19.7,0.0,
2000-06-02,15.375,27.700000000000003,21.425,0.0,
2000-06-03,17.25,32.05,24.025,0.0,
2000-06-04,16.85,31.85,24.2,0.0,
2000-06-05,15.299999999999999,31.525,23.275,0.0,
2000-06-06,14.025,28.725,21.55,0.0,
2000-06-07,16.25,27.9,21.45,0.0,
2000-06-08,15.825,23.375,19.425,2.7,2.5
2000-06-09,14.674999999999999,25.975,19.450000000000003,26.1,14.5
2000-06-10,15.6,26.0,19.625,27.5,10.5
2000-06-11,14.7,26.675,20.3,7.5,7.0
2000-06-12,14.649999999999999,28.775,21.075000000000003,0.1,0.1
2000-06-13,13.85,28.95,21.425,0.1,0.1
2000-06-14,18.0,28.925,23.075,0.5,0.5
2000-06-15,18.3,30.875,23.975,0.0,
2000-06-16,18.55,28.925,23.425,0.0,
2000-06-17,20.05,30.625,24.725,0.0,
2000-06-18,19.5,33.25,25.125,0.0,
2000-06-19,17.925,33.075,25.025,0.0,
2000-06-20,18.025,32.1,24.925,0.0,
2000-06-21,20.55,31.65,25.1,0.0,
2000-06-22,19.75,26.825,22.2,30.9,5.5
2000-06-23,19.95,24.625,21.825,9.2,1.5
2000-06-24,19.7,27.525,23.05,1.5,1.0
2000-06-25,19.85,28.9,24.175,0.0,0.0
2000-06-26,21.5,27.925,23.65,56.199999999999996,14.0
2000-06-27,20.45,26.625,23.075,115.7,15.5
2000-06-28,17.825,32.925000000000004,25.225,0.0,
2000-06-29,20.3,25.75,22.75,159.1,16.5
2000-06-30,20.65,27.175,23.2,16.6,2.0
2000-07-01,19.7,30.85,24.65,0.0,
2000-07-02,22.4,32.75,26.775,0.0,
2000-07-03,21.9,33.3,27.0,0.0,
2000-07-04,21.65,34.05,26.85,0.2,0.2
2000-07-05,20.5,33.65,26.775,0.0,
2000-07-06,22.025,33.525,27.1,0.0,
2000-07-07,22.225,31.7,26.225,0.0,
2000-07-08,20.35,31.9,25.8,0.0,
2000-07-09,19.925,31.924999999999997,25.55,0.0,
2000-07-10,20.725,33.225,27.075,0.1,0.1
2000-07-11,20.6,27.425,23.425,61.2,5.8
2000-07-12,20.65,29.75,25.3,23.9,7.5
2000-07-13,23.025,30.575,25.8,0.0,0.0
2000-07-14,22.55,30.075,25.675,0.0,
2000-07-15,22.599999999999998,30.55,26.15,0.0,0.0
2000-07-16,22.75,28.35,25.25,0.2,0.2
2000-07-17,23.95,30.825,26.675,0.0,0.0
2000-07-18,23.625,31.9,27.2,0.0,0.0
2000-07-19,23.875,30.025,26.175,115.8,33.5
2000-07-20,23.775,32.025,27.2,11.0,3.4
2000-07-21,25.125,31.0,27.375,0.2,0.2
2000-07-22,22.6,27.1,24.775,734.7,92.5
2000-07-23,21.1,28.5,23.825000000000003,0.0,0.0
2000-07-24,20.9,31.25,25.35,0.0,
2000-07-25,20.8,30.0,24.75,0.0,
2000-07-26,20.3,32.3,25.875,0.0,
2000-07-27,21.65,32.725,26.75,0.0,
2000-07-28,23.375,31.425,26.950000000000003,0.0,0.0
2000-07-29,24.05,31.1,26.875,13.3,6.0
2000-07-30,20.35,26.625,23.675,14.1,5.5
2000-07-31,20.025,29.2,23.825,28.1,4.5
2000-08-01,19.325000000000003,31.05,24.775,0.0,
2000-08-02,20.4,33.625,26.575,0.0,
2000-08-03,20.875,31.975,26.45,5.3,4.5
2000-08-04,21.475,27.725,23.675,119.4,14.0
2000-08-05,22.275,28.7,24.175,131.0,53.0
2000-08-06,22.4,25.875,23.65,32.1,7.5
2000-08-07,22.15,29.825,24.625,16.6,7.8
2000-08-08,22.1,31.875,25.575,16.0,14.8
2000-08-09,21.375,33.0,26.1,17.0,11.1
2000-08-10,22.625,32.425,26.975,1.0,1.0
2000-08-11,22.375,32.7,26.925,0.0,
2000-08-12,21.975,33.4,27.35,0.0,
2000-08-13,22.3,33.325,27.375,0.0,
2000-08-14,23.325,32.400000000000006,26.975,0.0,
2000-08-15,22.275,32.2,26.625,0.2,0.1
2000-08-16,22.575,33.225,26.375,1.1,0.5
2000-08-17,22.9,32.775,26.875,43.6,16.0
2000-08-18,23.35,32.875,27.1,4.0,3.4
2000-08-19,21.75,25.8,23.700000000000003,10.9,4.1
2000-08-20,20.525,23.875,21.975,284.7,22.0
2000-08-21,19.925,25.65,22.1,36.1,13.5
2000-08-22,19.975,28.875,23.8,10.1,6.0
2000-08-23,18.5,29.575,23.65,7.3,3.7
2000-08-24,20.775,24.85,22.1,70.2,5.6
2000-08-25,20.475,25.975,22.225,347.1,29.5
2000-08-26,20.85,23.35,21.9,239.2,13.0
2000-08-27,21.825,27.5,24.175,205.2,34.5
2000-08-28,22.65,30.675,25.775,193.7,42.0
2000-08-29,22.675,32.825,27.025,0.5,0.5
2000-08-30,22.275,33.975,27.775,0.0,
2000-08-31,23.45,27.85,25.174999999999997,118.6,9.5
2000-09-01,22.775,27.575,24.475,27.2,3.0
2000-09-02,22.525,30.475,25.35,0.5,0.5
2000-09-03,20.7,31.025000000000002,24.75,3.4,3.0
2000-09-04,18.049999999999997,29.85,23.35,0.0,
2000-09-05,14.875,28.6,21.55,0.0,
2000-09-06,17.55,25.6,20.975,0.8,0.5
2000-09-07,18.625,22.975,20.2,0.0,0.0
2000-09-08,17.45,23.225,19.7,5.7,3.6
2000-09-09,17.0,22.275,19.275,8.1,2.0
2000-09-10,16.0,27.025,20.6,0.0,
2000-09-11,15.825,25.55,19.425,0.0,
2000-09-12,13.65,23.8,18.625,0.0,0.0
2000-09-13,14.575000000000001,18.25,16.2,29.2,2.0
2000-09-14,14.975,17.525,16.475,142.8,8.0
2000-09-15,15.9,18.424999999999997,17.125,268.9,11.0
2000-09-16,13.975,18.375,16.1,183.0,13.0
2000-09-17,12.8,24.05,18.3,0.4,0.4
2000-09-18,9.55,23.875,16.15,0.0,
2000-09-19,9.05,25.775,16.7,0.0,
2000-09-20,12.6,27.35,18.85,0.0,
2000-09-21,15.175,24.7,19.225,0.0,
2000-09-22,16.425,26.15,19.95,0.5,0.5
2000-09-23,15.475,26.125,19.825,0.0,
2000-09-24,14.45,24.625,18.675,0.0,
2000-09-25,12.95,24.4,18.125,0.1,0.1
2000-09-26,10.725,26.0,17.225,0.0,
2000-09-27,11.475,26.2,17.875,0.0,
2000-09-28,13.675,18.1,15.575000000000001,0.5,0.4
2000-09-29,10.45,26.674999999999997,17.85,0.0,
2000-09-30,11.6,25.575,17.475,0.0,
2000-10-01,12.075,25.125,17.85,0.0,
2000-10-02,14.875,22.2,17.2,7.2,1.0
2000-10-03,9.775,22.75,15.649999999999999,0.0,
2000-10-04,7.4,20.575,13.975,0.0,
2000-10-05,11.775,23.275,16.775,0.5,0.4
2000-10-06,13.175,24.6,17.175,0.0,
2000-10-07,11.0,26.875,17.475,0.0,
2000-10-08,11.2,25.25,17.475,0.0,
2000-10-09,12.575,25.275,17.875,0.0,
2000-10-10,14.9,21.05,17.6,1.6,0.9
2000-10-11,13.35,17.65,15.225,11.9,3.3
2000-10-12,7.5,15.5,10.975,0.0,
2000-10-13,1.9000000000000001,14.7,8.375,0.0,
2000-10-14,2.05,15.899999999999999,8.525,0.0,
2000-10-15,3.375,19.875,10.9,0.0,
2000-10-16,1.9000000000000001,18.025,8.9,0.0,
2000-10-17,3.825,14.025,9.425,1.8,1.3
2000-10-18,6.85,20.5,12.775,0.0,
2000-10-19,7.15,19.5,12.425,0.0,
2000-10-20,8.7,21.2,13.850000000000001,0.0,0.0
2000-10-21,5.85,20.475,12.350000000000001,0.0,
2000-10-22,5.125,16.475,11.6,0.1,0.1
2000-10-23,11.0,23.575000000000003,15.25,2.7,1.0
2000-10-24,10.125,17.5,14.025,41.3,3.0
2000-10-25,9.549999999999999,19.45,14.775,9.7,1.5
2000-10-26,3.325,16.049999999999997,8.875,0.0,
2000-10-27,1.35,19.575,9.925,0.0,
2000-10-28,6.925,14.65,10.45,0.0,0.0
2000-10-29,2.75,12.6,8.325,0.0,
