tm,minTa,maxTa,avgTa,sumRn,hr1MaxRn
2000-01-01,7.95,16.575,12.775,0.0,
2000-01-02,7.25,16.95,11.425,0.9,
2000-01-03,4.675,10.0,7.375,0.0,
2000-01-04,4.75,14.525,10.5,0.0,
2000-01-05,11.425,16.7,14.524999999999999,33.0,
2000-01-06,6.675,15.125,10.775,1.8,
2000-01-07,2.1,6.875,3.7,0.0,
2000-01-08,2.875,7.7,5.675,0.0,
2000-01-09,5.925,9.6,7.949999999999999,73.7,
2000-01-10,5.925,10.975,8.125,0.0,
2000-01-11,4.45,13.2,9.175,31.8,
2000-01-12,9.525,12.825,11.4,14.2,
2000-01-13,4.475,11.6,7.75,5.8,
2000-01-14,3.75,8.3,5.825,0.0,
2000-01-15,3.425,8.7,6.449999999999999,0.1,
2000-01-16,5.925,9.2,7.275,3.8,
2000-01-17,4.7,8.3,5.975,0.0,
2000-01-18,3.6500000000000004,7.375,5.2,0.0,
2000-01-19,-0.075,5.875,2.95,4.0,
2000-01-20,-0.525,3.275,1.2,6.5,
2000-01-21,-0.375,4.325,1.7,0.0,
2000-01-22,1.0,12.0,7.95,65.2,
2000-01-23,7.949999999999999,13.0,9.775,21.6,
2000-01-24,2.175,9.1,5.675,11.7,
2000-01-25,0.15,4.05,2.075,2.9,
2000-01-26,-0.525,3.025,1.325,1.7,
2000-01-27,-0.55,2.9,0.925,0.5,
2000-01-28,-0.475,6.7,3.475,0.0,
2000-01-29,3.625,7.55,5.675000000000001,0.0,
2000-01-30,0.925,7.075,3.85,0.0,
2000-01-31,-0.65,3.125,0.9,0.1,
2000-02-01,-0.625,3.55,1.5499999999999998,0.3,
2000-02-02,1.75,6.45,3.625,0.0,
2000-02-03,2.675,7.125,4.475,0.0,
2000-02-04,1.5750000000000002,7.550000000000001,4.625,0.0,
2000-02-05,4.325,11.175,8.175,10.2,
2000-02-06,4.4,8.775,6.4,0.5,
2000-02-07,3.0250000000000004,9.425,5.8,8.2,
2000-02-08,-1.575,4.075,0.975,2.6,
2000-02-09,-0.55,5.25,2.4,0.0,
2000-02-10,1.85,8.35,4.575,0.0,
2000-02-11,3.875,10.925,7.1,0.0,
2000-02-12,3.35,10.975,6.75,0.0,
2000-02-13,3.925,12.125,8.35,0.0,
2000-02-14,2.975,10.75,6.8500000000000005,0.0,
2000-02-15,-0.47500000000000003,4.5,1.5,4.0,
2000-02-16,-0.225,5.425000000000001,2.625,0.0,
2000-02-17,1.925,8.575,4.725,0.0,
2000-02-18,0.75,8.5,5.15,0.2,
2000-02-19,4.55,8.15,6.675,19.6,
2000-02-20,3.1,8.725,5.7,1.1,
2000-02-21,2.3,7.2,4.225,0.0,
2000-02-22,1.95,8.4,5.05,0.0,
2000-02-23,2.85,10.7,6.85,0.0,
2000-02-24,1.55,7.175,3.625,0.0,
2000-02-25,1.0999999999999999,5.85,3.45,0.0,
2000-02-26,1.75,8.325,4.975,4.0,
2000-02-27,2.875,9.75,6.15,0.0,
2000-02-28,1.0,9.9,5.35,0.1,
2000-02-29,-0.024999999999999925,6.625,3.55,0.0,
2000-03-01,2.05,11.15,6.574999999999999,0.0,
2000-03-02,3.75,14.5,9.3,0.0,
2000-03-03,6.575,15.225,12.025,51.8,
2000-03-04,9.475,13.075,11.3,45.4,
2000-03-05,6.6499999999999995,12.225,9.05,0.0,
2000-03-06,5.275,14.05,9.1,0.0,
2000-03-07,2.775,7.725,4.95,0.0,
2000-03-08,1.5,9.9,5.45,0.0,
2000-03-09,2.95,8.65,5.675,0.0,
2000-03-10,2.175,11.2,7.5,0.0,
2000-03-11,5.675,9.299999999999999,7.675,11.3,
2000-03-12,6.35,12.8,9.1,0.0,
2000-03-13,5.0,14.275,9.5,0.0,
2000-03-14,5.75,15.0,10.175,0.0,
2000-03-15,5.625,13.75,10.2,87.4,
2000-03-16,5.725,10.275,7.75,5.4,
2000-03-17,4.65,14.4,9.475,0.0,
2000-03-18,5.35,15.625,11.575,0.0,
2000-03-19,5.725,13.9,9.175,0.2,
2000-03-20,4.925,14.525,9.45,0.0,
2000-03-21,6.475,15.225,11.3,0.0,
2000-03-22,9.9,15.7,12.35,0.0,
2000-03-23,7.95,12.9,10.425,28.9,
2000-03-24,5.05,11.6,8.125,0.0,
2000-03-25,4.65,13.95,9.525,0.0,
2000-03-26,7.5249999999999995,16.65,12.3,0.0,
2000-03-27,9.5,18.05,14.25,0.2,
2000-03-28,7.9,16.25,11.625,2.7,
2000-03-29,7.175,11.825,8.9,0.0,
2000-03-30,6.35,15.175,11.05,0.0,
2000-03-31,10.625,17.825,13.3,2.3,
2000-04-01,7.975,17.25,12.9,0.0,
2000-04-02,10.9,17.125,14.149999999999999,0.2,0.2
2000-04-03,12.275,18.4,14.375,0.3,0.2
2000-04-04,11.825,15.875,13.625,38.6,3.1
2000-04-05,7.300000000000001,16.025,11.05,0.0,0.0
2000-04-06,4.975,13.35,9.3,0.0,
2000-04-07,7.300000000000001,15.95,11.825,0.0,
2000-04-08,7.5249999999999995,15.25,10.925,0.0,
2000-04-09,7.125,16.1,12.875,12.5,2.0
2000-04-10,6.25,16.525,9.75,5.0,1.5
2000-04-11,5.625,15.925,10.925,0.0,
2000-04-12,8.0,16.424999999999997,12.375,0.0,
2000-04-13,10.625,20.55,16.075000000000003,0.0,
2000-04-14,10.95,17.325,14.025,0.0,0.0
2000-04-15,10.125,16.15,12.35,8.5,2.1
2000-04-16,8.95,17.4,13.05,0.0,
2000-04-17,8.925,18.55,14.225,0.0,
2000-04-18,11.375,19.9,16.275,0.0,
