tm,minTa,maxTa,avgTa,sumRn,hr1MaxRn
2000-01-01,-4.56,9.4,2.18,0.0,
2000-01-02,0.13999999999999996,7.040000000000001,3.5799999999999996,18.0,
2000-01-03,-5.16,2.6399999999999997,-1.3,0.0,
2000-01-04,-7.26,5.220000000000001,-1.64,0.0,
2000-01-05,-1.7400000000000002,5.2,2.2199999999999998,59.0,
2000-01-06,-2.3200000000000003,6.9,2.92,46.2,
2000-01-07,-10.1,-2.18,-6.74,3.4,
2000-01-08,-9.16,0.8,-4.04,4.3,
2000-01-09,-7.3,-0.4600000000000001,-3.44,0.4,
2000-01-10,-5.9,3.46,-1.1199999999999999,0.0,
2000-01-11,-9.72,5.92,-1.3199999999999998,0.1,
2000-01-12,0.7000000000000001,5.68,3.22,6.6,
2000-01-13,-1.1,3.62,1.4,15.2,
2000-01-14,-2.34,1.28,-0.8200000000000001,0.0,
2000-01-15,-6.18,4.720000000000001,-1.9,0.0,
2000-01-16,-3.9,6.58,0.12000000000000002,0.0,
2000-01-17,-6.1,1.98,-2.2399999999999998,0.0,
2000-01-18,-7.1,2.88,-2.52,0.0,
2000-01-19,-8.58,-1.7600000000000002,-5.1,9.8,
2000-01-20,-11.540000000000001,-4.76,-8.440000000000001,0.7,
2000-01-21,-14.62,-1.7,-8.48,0.3,
2000-01-22,-11.36,1.8,-3.96,9.0,
2000-01-23,-2.2399999999999998,4.12,0.7,14.9,
2000-01-24,-3.7,2.0,-0.9400000000000001,0.0,
2000-01-25,-9.42,-1.52,-5.92,0.0,
2000-01-26,-11.9,-3.3200000000000003,-8.24,0.2,
2000-01-27,-13.520000000000001,-0.06,-7.3,0.0,
2000-01-28,-13.0,2.98,-5.5200000000000005,0.0,
2000-01-29,-9.559999999999999,2.8600000000000003,-3.3,0.0,
2000-01-30,-7.58,-0.2,-3.3600000000000003,1.6,
2000-01-31,-11.5,-3.08,-7.94,0.0,
2000-02-01,-14.319999999999999,-1.44,-7.68,0.0,
2000-02-02,-10.120000000000001,1.22,-4.74,0.0,
2000-02-03,-9.379999999999999,2.3,-3.4799999999999995,0.0,
2000-02-04,-9.34,4.84,-3.22,0.0,
2000-02-05,-10.12,5.5200000000000005,-1.24,0.0,
2000-02-06,-1.9,3.5799999999999996,0.4,2.0,
2000-02-07,-4.92,1.7399999999999998,-1.6800000000000002,4.7,
2000-02-08,-9.24,-4.32,-7.0200000000000005,1.6,
2000-02-09,-11.42,0.33999999999999997,-5.9799999999999995,0.1,
2000-02-10,-12.379999999999999,3.2399999999999998,-4.4,0.0,
2000-02-11,-5.92,5.32,-0.76,0.1,
2000-02-12,-7.2,5.78,-1.1600000000000001,0.0,
2000-02-13,-6.56,7.779999999999999,0.21999999999999997,0.0,
2000-02-14,-4.5600000000000005,3.28,-0.48,1.3,
2000-02-15,-8.040000000000001,-1.46,-5.2,0.0,
2000-02-16,-9.72,0.64,-4.82,0.3,
2000-02-17,-10.78,1.34,-4.5,0.0,
2000-02-18,-9.32,3.94,-2.6399999999999997,0.0,
2000-02-19,-5.0600000000000005,8.52,0.78,0.0,
2000-02-20,-5.9,5.32,-0.7999999999999999,0.0,
2000-02-21,-8.24,3.4,-2.3600000000000003,0.0,
2000-02-22,-8.76,4.279999999999999,-2.8200000000000003,0.0,
2000-02-23,-6.779999999999999,6.4,-0.09999999999999998,0.0,
2000-02-24,-7.8,1.4,-3.4200000000000004,0.0,
2000-02-25,-10.98,2.04,-4.0200000000000005,0.0,
2000-02-26,-5.88,4.720000000000001,-0.72,0.39999999999999997,
2000-02-27,-6.9799999999999995,6.92,1.1400000000000001,6.9,
2000-02-28,-7.62,2.18,-2.7800000000000002,0.0,
2000-02-29,-10.76,4.4799999999999995,-2.9200000000000004,0.0,
2000-03-01,-7.06,8.559999999999999,0.38,0.0,
2000-03-02,-3.9,13.4,3.54,0.0,
2000-03-03,-3.6799999999999997,17.46,6.860000000000001,0.1,
2000-03-04,2.04,13.040000000000001,7.3,0.9,
2000-03-05,-2.5799999999999996,13.0,4.08,0.0,
2000-03-06,-4.96,11.26,2.12,0.0,
2000-03-07,-4.5,3.94,-1.34,0.0,
2000-03-08,-7.76,3.5799999999999996,-1.86,1.2,
2000-03-09,-7.06,6.42,-0.12000000000000004,0.0,
2000-03-10,-7.1,10.68,2.7600000000000002,0.0,
2000-03-11,0.8400000000000001,9.120000000000001,4.5,0.0,
2000-03-12,-1.56,12.459999999999999,4.62,0.0,
2000-03-13,-3.54,11.5,3.5799999999999996,0.0,
2000-03-14,-2.2,12.959999999999999,4.96,0.0,
2000-03-15,-5.4799999999999995,16.06,5.46,21.8,
2000-03-16,-0.27999999999999997,6.659999999999999,2.94,30.0,
2000-03-17,-3.28,13.6,4.840000000000001,0.0,
2000-03-18,-0.6199999999999999,17.1,8.08,0.0,
2000-03-19,0.42000000000000004,8.879999999999999,5.26,7.8,
2000-03-20,-2.82,14.540000000000001,5.6,0.0,
2000-03-21,0.6,12.559999999999999,6.0,0.0,
2000-03-22,-1.58,14.88,7.0,0.0,
2000-03-23,1.5,10.459999999999999,5.5600000000000005,1.2000000000000002,
2000-03-24,0.66,8.64,3.9199999999999995,0.0,
2000-03-25,-2.4,11.8,4.9,0.0,
2000-03-26,-1.8199999999999998,15.88,6.88,0.0,
2000-03-27,-1.6600000000000001,20.36,10.82,0.0,
2000-03-28,4.36,15.040000000000001,8.9,23.0,
2000-03-29,2.7600000000000002,11.1,5.54,1.1,
2000-03-30,-0.78,15.48,7.159999999999999,0.0,
2000-03-31,-1.12,16.82,7.7,0.0,
2000-04-01,-2.4799999999999995,17.580000000000002,7.9,0.0,
2000-04-02,2.62,16.619999999999997,9.16,0.0,
2000-04-03,0.72,20.0,10.52,0.0,
2000-04-04,3.2,20.36,11.940000000000001,0.0,
2000-04-05,2.38,14.680000000000001,8.22,0.0,0.0
2000-04-06,-2.9799999999999995,16.080000000000002,7.1,0.0,
2000-04-07,0.09999999999999991,15.459999999999999,7.360000000000001,0.0,
2000-04-08,-2.46,18.1,7.640000000000001,0.0,
2000-04-09,0.32,20.580000000000002,10.86,16.9,4.5
2000-04-10,0.8800000000000001,10.22,5.7,35.3,3.0
2000-04-11,-2.02,16.6,7.779999999999999,0.0,
2000-04-12,1.9,18.7,10.580000000000002,0.0,
2000-04-13,3.04,22.580000000000002,13.38,0.0,
2000-04-14,5.9799999999999995,18.68,12.1,0.0,
2000-04-15,6.4799999999999995,17.259999999999998,10.64,3.0,1.0
2000-04-16,2.56,17.080000000000002,9.9,0.0,
2000-04-17,3.08,19.66,11.76,0.0,
2000-04-18,3.94,19.1,12.76,0.0,0.0
2000-04-19,7.26,13.38,10.36,158.4,10.5
2000-04-20,4.319999999999999,21.04,13.280000000000001,0.0,
2000-04-21,10.32,16.24,12.76,12.399999999999999,2.5
2000-04-22,5.9,16.240000000000002,10.18,0.6,0.5
2000-04-23,4.04,15.98,10.2,0.0,
2000-04-24,2.7600000000000002,18.8,11.040000000000001,0.0,
2000-04-25,6.16,21.54,13.819999999999999,0.1,0.1
2000-04-26,9.24,15.9,11.440000000000001,2.2,0.5
2000-04-27,7.38,13.419999999999998,9.8,13.6,2.5
2000-04-28,5.92,18.98,11.76,0.0,
2000-04-29,3.56,23.66,13.940000000000001,0.0,
2000-04-30,9.5,20.619999999999997,14.040000000000001,1.0,0.5
2000-05-01,5.720000000000001,22.98,14.180000000000001,0.0,
2000-05-02,7.959999999999999,19.4,12.940000000000001,0.0,
2000-05-03,4.62,22.52,14.059999999999999,0.0,
2000-05-04,6.82,24.84,15.919999999999998,0.0,
2000-05-05,7.56,25.96,17.52,0.0,
2000-05-06,8.76,20.380000000000003,14.440000000000001,6.7,2.5
2000-05-07,5.36,21.94,13.62,0.0,
2000-05-08,5.459999999999999,25.74,15.74,0.0,
2000-05-09,7.0200000000000005,29.419999999999998,19.0,0.0,
2000-05-10,11.58,18.16,14.16,37.7,5.0
2000-05-11,10.68,15.88,12.34,0.6,0.5
2000-05-12,9.04,19.9,13.819999999999999,0.0,
2000-05-13,9.16,20.44,13.86,0.0,
2000-05-14,7.42,24.34,16.259999999999998,0.0,
2000-05-15,13.16,21.3,16.28,1.7,1.5
2000-05-16,11.72,20.740000000000002,15.6,5.0,2.0
2000-05-17,11.02,21.86,15.8,4.1,1.9
2000-05-18,10.319999999999999,23.6,16.740000000000002,0.0,0.0
2000-05-19,12.959999999999999,23.86,17.48,14.1,6.5
2000-05-20,11.64,19.240000000000002,15.1,53.0,19.5
