stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
277,영덕,2000-01-01,4.7,0.5,0417,7.4,2100,,,,,13.67,31.5,7.8,90,1920,5.9,90,1920,1.4,1210,70,2.9,70,2147,87.6,7.6,1023.0,1030.4,1010,1025.8,2400,1028.1,9.7,0.0,,,,,,,,,7.8,4.5,3.7,-5.1,,,,,,,,,,,,31.5,{비}0745-{비}{강도0}0900-{비}{강도1}1200-{비}{강도0}1500-{비}{강도0}1800-2055.  {비}2310-2340. {박무}0750-{박무}{강도0}0900-{박무}{강도1}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-2210.,
277,영덕,2000-01-02,6.4,1.7,2311,12.6,1335,,,,,0.83,0.5,18.2,290,1633,13.4,290,1630,2.9,2506,250,0.8,39,1950,68.9,6.7,1011.5,1025.8,0000,1010.2,1631,1016.6,9.7,5.5,,,,,,,,,5.7,3.5,5.3,-2.3,,,,,,,,,,,,0.5,{비}1150-{비}{강도0}1200-1240.,
277,영덕,2000-01-03,2.3,-1.8,0750,6.3,1450,,,,,,,11.5,250,0951,8.1,250,1000,3.1,2678,230,-9.0,26,1615,43.9,3.1,1015.9,1024.4,2317,1015.6,0033,1021.1,9.7,8.1,,,,,,,,,0.4,0.0,1.0,-5.3,,,,,,,,,,,,,,
277,영덕,2000-01-04,3.0,-0.8,0738,8.5,1254,,,,,,,9.1,270,0141,6.1,270,0140,1.8,1555,160,-7.4,27,1110,47.5,3.6,1020.8,1027.1,1927,1023.9,0032,1026.0,9.7,6.4,,,,,,,,,1.1,0.0,1.4,-5.0,,,,,,,,,,,,,,
277,영덕,2000-01-05,4.8,0.8,0310,8.4,1443,,,,,2.75,0.5,9.3,20,1552,7.2,50,1550,1.4,1210,20,1.4,66,0010,78.4,6.9,1017.7,1026.9,0018,1018.7,2400,1022.8,9.8,0.0,,,,,,,,,8.5,3.9,3.3,-1.3,,,,,,,,,,,,1.0,{비}1530-1745.  {비}2245-2315.  {박무}1545-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
277,영덕,2000-01-06,6.8,0.6,2400,12.2,1043,,,,,0.58,0.5,17.1,290,2145,11.1,290,2150,3.5,3024,230,1.0,45,2236,68.5,7.0,1008.5,1018.7,0000,1011.4,0900,1013.5,9.8,2.7,,,,,,,,,7.3,4.0,6.0,-2.0,,,,,,,,,,,,,{비}0045-0120.  -{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0840.,
277,영덕,2000-01-07,-2.4,-5.6,2324,0.6,0000,,,,,,,17.2,250,0115,9.1,250,0120,4.5,3888,250,-12.9,30,1417,44.3,2.3,1017.5,1024.8,1020,1016.7,0000,1022.7,9.8,8.2,,,,,,,,,0.3,0.5,-1.7,-9.0,,,,,,,,,,,,,,
277,영덕,2000-01-08,-0.3,-4.2,0025,3.3,1500,,,,,,,11.4,250,1208,9.5,250,1240,3.5,3024,250,-8.4,39,1550,54.5,3.3,1018.9,1026.2,2315,1022.6,1430,1024.2,9.8,4.5,,,,,,,,,3.1,3.3,-1.1,-6.6,,,,,,,,,,,,,,
277,영덕,2000-01-09,1.2,-1.0,0120,3.9,1550,,,,,3.2,0.3,11.0,270,0016,6.5,250,0010,1.9,1642,230,-7.3,37,1245,53.4,3.6,1017.7,1025.8,0950,1019.2,2345,1023.0,9.8,0.5,,,,,,,,,7.1,3.8,0.1,-4.2,,,,,,,,,,,,0.3,{눈}2010-{눈}{강도0}2100-{진눈깨비}2130-{비}2150-2322.  {박무}2030-{박무}{강도0}2100-2335.,
277,영덕,2000-01-10,2.2,-1.0,0552,7.7,1502,,,,,,,10.5,290,0108,6.9,290,1430,2.3,1987,270,-7.4,26,1530,50.9,3.6,1019.2,1028.7,2350,1019.2,0000,1024.4,9.8,7.2,,,,,,,,,2.4,1.8,1.7,-5.9,,,,,,,,,,,,,,
