stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
211,인제,2000-01-01,0.3,-4.4,0620,6.7,1250,,,,,,,6.0,360,1340,4.8,360,1340,1.2,1037,340,-3.0,57,1310,79.1,4.9,1002.7,1031.4,0910,1024.7,2400,1028.0,9.6,2.6,,,,,,,,,3.3,2.5,-1.1,-8.8,,,,,,,,,,,,0.0,,
211,인제,2000-01-02,2.3,-1.2,0000,5.5,1550,,,,,7.67,7.0,11.2,160,1630,9.3,200,1650,2.2,1901,180,-3.4,39,1920,68.0,4.9,991.0,1024.7,0000,1012.0,1420,1015.7,9.6,0.0,,,,,,,,,7.7,4.5,-0.1,-3.2,,,,,,,,,,,,7.0,{비}0750-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-1530.,
211,인제,2000-01-03,-1.3,-5.7,2355,2.7,1455,,,,,,,12.2,160,0050,8.1,200,0020,2.3,1987,180,-9.1,33,1620,56.3,3.1,996.9,1026.0,2350,1016.6,0010,1022.1,9.6,7.2,,,,,,,,,2.9,1.0,-1.1,-10.6,,,,,,,,,,,,,,
211,인제,2000-01-04,-3.0,-7.9,0640,3.8,1440,,,,,,,3.2,200,1340,2.4,230,1330,0.7,605,320,-8.3,33,1430,68.8,3.3,1001.4,1028.8,1020,1024.9,1440,1026.9,9.6,5.4,,,,,,,,,3.0,2.3,-1.9,-12.0,,,,,,,,,,,,0.1,,
211,인제,2000-01-05,0.7,-2.4,0000,2.5,2220,,,,,16.0,5.8,6.5,70,1710,5.1,90,1920,2.8,2419,70,-2.4,59,0450,79.9,5.2,997.5,1027.4,0000,1016.8,2400,1022.5,9.6,0.0,,,,3.6,1415,3.6,1415,3.6,10.0,6.8,-0.7,-4.2,,,,,,,,,,,,16.6,{눈}0740-{눈}{강도0}0900-{눈}{강도0}1200-{눈}{강도0}1500-{진눈깨비}1540-{비}1615-{진눈깨비}1650-{진눈깨비}{강도0}1800-{진눈깨비}{강도0}2100-2340.,
211,인제,2000-01-06,1.5,-3.9,2400,5.1,1410,,,,,7.58,10.9,14.2,230,2210,10.7,180,1630,3.1,2678,160,-3.7,30,2040,70.0,5.0,989.4,1017.6,2350,1011.5,1350,1014.2,9.6,0.0,,,,,,1.6,0000,,9.0,6.3,-0.1,-6.3,,,,,,,,,,,,,{진눈깨비}0035-{진눈깨비}{강도0}0300-{진눈깨비}{강도0}0600-0810.,
211,인제,2000-01-07,-7.4,-10.6,0750,-3.8,0010,,,,,,,14.0,200,0320,8.1,180,2220,3.5,3024,200,-17.0,35,0340,47.3,1.6,997.3,1025.7,1050,1017.4,0030,1023.1,9.6,7.3,,,,,,,,,0.6,0.8,-4.7,-14.2,,,,,,,,,,,,0.0,,
211,인제,2000-01-08,-4.5,-7.5,0050,-0.6,1340,,,,,13.83,0.0,13.9,180,1430,10.5,200,1300,3.5,3024,180,-10.6,44,1720,63.8,2.7,998.2,1026.9,2330,1021.2,1350,1023.8,9.7,4.9,,,,0.1,0445,0.1,0445,0.1,3.6,3.0,-3.1,-9.2,,,,,,,,,,,,0.0,{눈}0010-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-{눈}{강도0}1200-1320.  {눈}1450-{눈}{강도0}1500-1530.,
211,인제,2000-01-09,-3.5,-10.0,0450,1.8,1440,,,,,,,4.0,180,2110,3.3,160,1350,1.0,864,180,-10.4,39,1455,62.4,2.8,998.3,1027.7,0700,1020.6,1940,1023.8,9.7,4.2,,,,,,,,,5.0,0.0,-3.6,-13.9,,,,,,,,,,,,0.1,{햇무리}1050-1330.,
211,인제,2000-01-10,-1.1,-7.0,2400,4.2,1555,,,,,4.83,0.1,7.6,200,0520,5.2,200,0550,1.7,1469,180,-8.7,24,1610,59.6,3.2,999.7,1030.4,2350,1020.4,0140,1025.0,9.7,6.2,,,,0.1,0530,0.1,0530,0.1,3.3,3.8,-0.7,-12.9,,,,,,,,,,,,,{눈}0230-{눈}{강도0}0300-{눈}{강도0}0600-0720.,
