stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
248,장수,2000-01-01,2.1,-4.7,0635,10.5,1403,,,,,,,5.1,160,1558,3.0,200,1250,0.3,259,140,-2.3,39,1427,75.1,5.2,975.3,1029.1,0810,1022.7,1500,1025.5,9.8,5.9,,,,,,,,,4.0,0.0,1.3,-7.4,,,,,,,,,,,,,,
248,장수,2000-01-02,3.8,0.7,2213,9.3,1013,,,,,3.22,6.0,10.2,290,1456,6.7,320,1440,1.9,1642,200,0.3,60,1017,77.8,6.3,968.9,1023.1,0000,1015.4,1320,1018.5,9.8,1.0,,,,,,,,,7.7,3.3,2.2,-2.2,,,,,,,,,,,,6.0,{비}1030-{비}{강도1}1200-1343.  {박무}1420-{박무}{강도0}1500-1625.,
248,장수,2000-01-03,-0.2,-4.4,2350,4.2,1343,,,,,,,11.8,360,0236,6.0,360,0510,2.1,1814,20,-6.6,35,1437,64.1,3.8,972.2,1025.6,2400,1019.9,0000,1022.7,9.8,7.9,,,,,,,,,2.3,1.8,0.9,-6.7,,,,,,,,,,,,,,
248,장수,2000-01-04,-0.4,-6.4,0718,9.7,1459,,,,,,,3.2,360,1203,2.3,360,1400,0.5,432,340,-5.7,26,1506,73.0,4.0,974.4,1027.2,0750,1021.9,1500,1025.1,9.8,7.2,,,,,,,,,0.7,0.0,0.4,-9.1,,,,,,,,,,,,,,
248,장수,2000-01-05,4.5,-2.9,0257,10.9,1341,,,,,5.45,11.5,8.9,180,1202,7.2,140,1400,1.2,1037,140,0.8,55,1343,78.3,6.7,969.8,1025.4,0000,1015.5,2400,1019.3,9.8,1.5,,,,,,,,,7.9,4.3,3.0,-6.6,,,,,,,,,,,,13.5,{비}1618-{비}{강도0}1800-{비}{강도1}2100-2145.,
248,장수,2000-01-06,4.2,-1.9,2400,9.7,0504,,,,,8.07,2.0,11.9,270,2233,7.7,290,2240,2.6,2246,340,0.9,56,2336,79.4,6.9,967.4,1022.7,2400,1012.4,0625,1016.8,9.8,0.0,,,,,,,,,9.9,7.5,4.2,-3.5,,,,,,,,,,,,0.7,{비}0333-{비}{강도0}0600-{비}{강도0}0900-0926.  {비}1406-{비}{강도0}1500-1617.,
248,장수,2000-01-07,-4.2,-6.9,2132,-1.3,1342,,,,,11.4,0.7,14.9,270,0154,10.9,290,0230,2.8,2419,250,-9.2,49,0613,69.4,3.1,973.0,1026.7,1050,1021.7,0100,1024.3,9.9,4.2,,,,1.7,0913,1.7,0913,1.7,7.0,4.5,0.1,-10.0,,,,,,,,,,,,0.0,{눈}0213-{눈}{강도0}0300-0345.  {소낙눈}0723-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-1325.  {소낙눈}1417-{소낙눈}{강도0}1500-{소낙눈}{강도0}1800-1807.,
248,장수,2000-01-08,-2.1,-4.6,0000,1.5,1332,,,,,,,8.1,340,1101,6.6,340,1110,1.4,1210,340,-6.8,54,1214,71.4,3.7,974.0,1026.4,2330,1023.2,1440,1024.9,9.9,4.2,,,,,,,,,5.7,6.3,0.1,-7.6,,,,,,,,,,,,,,
248,장수,2000-01-09,-1.6,-4.5,0425,0.6,1542,,,,,7.5,1.0,3.9,360,0733,3.2,340,0800,0.8,691,340,-3.9,67,1343,84.8,4.6,972.0,1025.8,0000,1019.4,1540,1022.8,9.9,0.0,,,,1.2,2330,1.2,2330,1.2,10.0,7.5,-0.9,-6.3,,,,,,,,,,,,1.0,{싸락눈}1417-{싸락눈}{강도0}1500-{비}1520-{비}{강도0}1800-1935.  {눈}2025-{눈}{강도0}2100-2237.,
248,장수,2000-01-10,0.1,-4.8,2312,4.6,1435,,,,,,,8.7,290,1157,6.0,360,1450,2.0,1728,340,-4.7,35,1528,73.1,4.4,974.9,1029.7,2320,1021.3,0130,1025.5,9.9,6.4,,,,,,1.2,0000,,3.9,3.3,1.8,-8.6,,,,,,,,,,,,,,
