stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
146,전주,2000-01-01,5.9,1.1,0548,12.0,1329,,,,,,,3.0,340,1337,2.3,340,1339,0.2,173,160,-0.7,37,1318,63.6,5.8,1017.0,1026.3,0017,1021.2,2400,1023.8,9.8,1.5,1200,0.65,3.82,,,,,,4.5,0.0,3.1,-3.7,,,,,,,,,,,,,,
146,전주,2000-01-02,6.9,2.4,2300,10.9,0920,,,,,3.52,0.7,8.0,140,0934,5.2,290,1159,1.7,1469,270,3.2,63,1620,77.5,7.8,1011.3,1021.2,0000,1015.2,0951,1018.0,9.8,0.2,1500,0.26,0.99,,,,,,5.6,3.8,5.3,-1.6,,,,,,,,,,,,0.7,{비}1005-{비}{강도0}1200-1336.,
146,전주,2000-01-03,1.3,-1.9,2353,4.7,1453,,,,,,,5.0,270,1403,4.1,290,1403,0.9,778,270,-3.9,44,1548,68.9,4.6,1016.2,1024.8,2347,1020.0,0002,1023.2,9.8,7.7,1200,1.08,5.49,,,,,,2.0,0.8,1.2,-4.3,,,,,,,,,,,,,,
146,전주,2000-01-04,2.6,-4.0,0659,9.0,1529,,,,,,,7.0,140,2351,4.3,140,2325,0.5,432,180,-5.2,30,2354,59.9,4.1,1017.0,1025.7,1038,1022.3,2339,1023.9,9.8,6.7,1200,0.89,4.97,,,,,,2.0,0.6,1.1,-4.8,,,,,,,,,,,,,,
146,전주,2000-01-05,10.5,7.3,0059,14.2,1439,,,,,4.95,9.5,11.0,180,1221,8.3,140,1228,2.6,2246,160,2.6,30,0000,61.0,7.8,1010.1,1022.4,0000,1013.4,2400,1016.8,9.8,0.3,1200,0.61,2.36,,,,,,9.8,5.8,7.8,0.9,,,,,,,,,,,,11.7,{비}1543-{비}{강도0}1800-2040.  {박무}1950-{박무}{강도0}2100-2210.,
146,전주,2000-01-06,6.5,1.1,2400,12.6,0309,,,,,4.6,2.2,9.0,230,0517,5.9,270,0542,2.5,2160,290,3.2,57,2116,79.6,8.2,1010.3,1022.8,2359,1011.9,0606,1017.1,9.8,0.0,1300,0.17,0.92,,,,,,8.3,6.0,5.6,0.4,,,,,,,,,,,,0.9,{비}0351-0410.  {비}0523-{비}{강도0}0600-{비}{강도0}0900-0940.,
146,전주,2000-01-07,-2.0,-4.8,0728,3.0,1634,,,,,2.82,0.9,11.0,290,0137,9.0,290,0403,1.9,1642,290,-8.0,47,0315,64.0,3.3,1017.7,1027.1,1038,1022.5,0115,1024.7,9.9,7.2,1200,0.94,5.49,2.0,0810,2.0,0810,1.9,4.1,3.6,0.8,-5.2,,,,,,,,,,,,0.0,{소낙눈}0035-0138.  {소낙눈}0634-0820.,
146,전주,2000-01-08,0.6,-2.4,0000,3.5,1453,,,,,0.95,0.0,6.0,290,1158,4.8,270,1223,1.2,1037,270,-4.5,52,1523,69.6,4.3,1017.8,1025.6,2039,1023.9,1412,1024.8,9.9,2.1,1200,0.75,3.64,,,,,,7.5,4.9,0.6,-2.7,,,,,,,,,,,,,{소낙눈}0005-0055.  {소낙눈}0818-0825.,
146,전주,2000-01-09,0.5,-1.5,0410,3.2,1455,,,,,5.68,1.3,4.0,180,2202,3.2,180,2203,0.5,432,20,-3.1,53,1605,77.4,4.8,1015.4,1025.1,0005,1018.9,1532,1022.3,9.9,0.0,1400,0.28,1.39,2.2,2210,2.2,2210,2.2,10.0,6.8,0.1,-2.2,,,,,,,,,,,,1.3,{비}1655-{비}{강도0}1800-{진눈깨비}1840-{눈}{강도0}1950-{눈}{강도0}2100-2236.,
146,전주,2000-01-10,1.8,-2.0,2321,6.4,1515,,,,,,,7.0,340,1547,4.9,340,1441,0.9,778,340,-5.1,29,1825,63.6,4.3,1018.9,1029.3,2250,1021.1,0136,1025.8,9.9,6.5,1300,0.95,5.29,,,2.0,0000,,3.8,2.8,1.8,-4.1,,,,,,,,,,,,,,
146,전주,2000-01-11,1.8,-6.3,0738,8.1,1530,,,,,,,3.0,50,1217,2.2,320,1514,0.5,395,180,-5.1,36,1515,62.1,4.2,1018.8,1028.5,0000,1023.1,1413,1025.7,9.9,5.3,1100,0.94,5.12,,,,,,5.9,2.0,1.0,-6.8,,,,,,,,,,,,,{햇무리}1540-1608.,
146,전주,2000-01-12,8.0,4.7,0149,10.9,1534,,,,,3.45,0.1,4.0,110,0409,2.8,90,0408,0.7,605,270,3.2,58,1132,71.9,7.7,1010.9,1023.8,0000,1015.1,1556,1017.7,9.9,0.0,1400,0.38,2.13,,,,,,10.0,5.6,6.0,2.1,,,,,,,,,,,,2.1,{비}1150-{비}{강도0}1200-1225.  {비}1403-1430.  {비}1505-1545.  {비}1946-2013.  {비}2242-{비}{강도0}2400-,
146,전주,2000-01-13,3.8,1.5,2321,6.7,0000,,,,,5.62,2.0,8.0,270,1503,5.9,290,1549,2.4,2073,270,0.9,67,2332,81.3,6.6,1010.6,1020.2,2208,1014.9,0116,1017.4,10.0,0.0,1200,0.17,0.82,,,,,,10.0,6.1,3.5,0.4,,,,,,,,,,,,0.0,-{비}-{비}{강도0}0300-0450.  {비}1003-1050.,
146,전주,2000-01-14,1.7,0.6,0519,3.5,1327,,,,,,,4.0,360,0244,3.0,320,1541,1.1,950,340,-3.4,59,2126,68.4,4.7,1016.1,1025.5,2238,1019.6,0046,1023.0,10.0,0.0,1300,0.51,1.96,,,,,,9.8,6.1,2.2,-2.2,,,,,,,,,,,,,{박무}1830-{박무}{강도0}2100-{박무}{강도0}2400-,
146,전주,2000-01-15,1.0,-3.5,0759,6.4,1520,,,,,,,3.0,320,0126,2.3,290,1550,0.5,432,140,-4.2,43,1501,69.9,4.4,1018.1,1027.7,1018,1022.9,1505,1025.1,10.0,6.5,1200,0.97,5.5,,,,,,1.9,0.9,1.6,-7.9,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-0510.,
146,전주,2000-01-16,2.0,-1.3,2355,7.1,1553,,,,,,,5.0,290,1635,4.7,270,1646,0.7,605,200,-2.7,37,1556,71.9,5.0,1016.1,1024.4,0239,1021.1,1536,1023.0,10.0,3.7,1400,0.81,3.8,,,,,,4.6,2.9,2.3,-7.4,,,,,,,,,,,,,,
146,전주,2000-01-17,-0.7,-4.4,0550,3.6,1600,,,,,,,5.0,270,1446,3.7,270,1446,0.4,346,290,-5.6,44,1501,71.4,4.0,1015.1,1023.5,0956,1020.4,1500,1022.0,10.0,2.8,1200,0.7,4.38,,,,,,2.9,0.0,-0.7,-9.1,,,,,,,,,,,,,{박무}2310-{박무}{강도0}2400-,
146,전주,2000-01-18,-1.1,-6.1,0719,4.7,1518,,,,,,,6.0,320,1430,4.6,270,1735,0.8,691,180,-6.1,40,1322,70.9,3.9,1015.5,1024.1,0959,1020.2,1549,1022.5,10.0,8.3,1200,1.19,6.8,,,,,,0.0,0.0,-0.2,-11.0,,,,,,,,,,,,0.8,-{박무}-{박무}{강도0}0300-0510.,
146,전주,2000-01-19,-2.2,-5.0,2333,0.1,1035,,,,,8.53,2.0,10.0,270,1455,7.3,270,1543,2.0,1728,320,-5.3,59,1547,80.0,4.1,1015.7,1027.0,2335,1018.9,0534,1022.8,10.1,0.9,1400,0.24,1.41,4.1,1310,4.1,1310,5.6,7.0,5.6,-0.9,-7.4,,,,,,,,,,,,1.6,{눈}0610-{눈}{강도0}0900-0950. {눈}1040-1110.  {소낙눈}1150-{소낙눈}{강도0}1200-1420.  {소낙눈}1605-1620. {소낙눈}1803-1835.  {소낙눈}1910-2015.,
146,전주,2000-01-20,-4.9,-7.1,0821,-1.3,1501,,,,,5.42,0.4,8.0,320,1345,5.2,320,1346,1.8,1555,360,-10.8,42,1456,65.3,2.6,1026.2,1037.7,2325,1026.9,0000,1033.4,10.1,8.3,1200,1.13,7.05,1.1,0555,3.8,0555,1.2,2.8,2.8,-2.6,-7.8,,,,,,,,,,,,,{소낙눈}0110-0635.,
146,전주,2000-01-21,-5.7,-11.0,0748,-0.5,1610,,,,,,,5.0,270,1700,4.0,270,1701,0.7,605,340,-12.1,35,1612,63.1,2.3,1032.1,1041.0,1030,1037.4,0021,1039.4,10.1,8.9,1200,1.26,7.83,,,2.0,0000,,1.3,0.0,-2.5,-12.8,,,,,,,,,,,,,,
146,전주,2000-01-22,1.9,-7.3,0059,5.7,2400,,,,,8.67,3.9,5.0,160,0958,4.0,140,2153,1.0,864,180,-4.1,33,1000,66.3,4.8,1022.9,1037.8,0000,1022.9,2400,1029.9,10.1,0.1,1200,0.44,2.11,,,,,,7.8,3.6,-1.5,-9.5,,,,,,,,,,,,5.1,{비}1520-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
146,전주,2000-01-23,4.6,3.0,2358,6.6,0945,,,,,4.58,1.2,4.0,340,1050,2.9,340,1050,0.6,518,320,3.7,87,2038,93.8,8.0,1017.1,1027.5,2254,1020.8,0429,1024.0,10.2,0.0,1300,0.16,0.81,,,,,,9.5,5.5,3.4,-0.3,,,,,,,,,,,,,-{비}-{비}{강도0}0300-0435.  {박무}0510-{박무}{강도1}0600-0750.  {박무}1008-{시정(미만)}{1km}{안개}1030-{시정(미만)}{0.5km}{안개}1045-{안개}{강도1}1200-{시정(이상)}{0.5km}{안개}1335-{시정(이상)}{1km}{박무}1440-{박무}{강도1}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도1}2400-,4.17
146,전주,2000-01-24,1.5,-1.3,2358,4.2,1414,,,,,,,6.0,340,1433,4.5,340,1433,2.2,1900,340,-4.4,45,1434,65.5,4.4,1022.5,1031.0,2234,1027.4,0000,1029.5,10.2,6.6,1200,0.98,5.8,,,,,,8.1,5.3,2.8,-2.1,,,,,,,,,,,,,-{박무}-{박무}{강도0}0300-0440.,
146,전주,2000-01-25,-3.2,-5.9,0815,0.8,1524,,,,,,,7.0,290,1526,5.2,320,1529,2.4,2053,340,-12.4,19,1604,50.6,2.3,1024.7,1033.3,1007,1030.2,1620,1031.8,10.2,9.2,1200,1.24,7.7,,,,,,1.0,0.0,-0.5,-7.8,,,,,,,,,,,,0.0,{달무리}0246-0410.,
146,전주,2000-01-26,-4.6,-6.7,0740,-1.0,1400,,,,,0.98,0.0,8.0,250,1617,6.3,250,1617,1.9,1663,50,-11.1,47,1558,60.5,2.5,1024.0,1032.7,0000,1029.3,1519,1031.1,10.2,5.9,1200,1.14,5.75,,,,,,2.9,2.9,-2.9,-9.9,,,,,,,,,,,,0.0,{소낙눈}0808-0835. {가루눈}0908-0940.,
146,전주,2000-01-27,-5.0,-10.2,0745,0.8,1524,,,,,,,5.0,270,1442,3.8,270,1717,0.9,750,270,-10.8,36,1703,65.8,2.6,1025.8,1034.1,2311,1031.3,1433,1032.9,10.3,9.0,1200,1.22,7.66,,,,,,0.0,0.0,-2.8,-12.9,,,,,,,,,,,,,,
146,전주,2000-01-28,-2.9,-9.4,0744,3.7,1537,,,,,,,4.0,270,1143,2.6,270,1249,0.6,476,200,-8.5,36,1609,68.4,3.1,1027.2,1035.9,1024,1032.6,1623,1034.4,10.3,9.1,1100,1.3,8.24,,,,,,0.0,0.0,-2.2,-13.4,,,,,,,,,,,,,,
146,전주,2000-01-29,-0.3,-6.2,0630,4.7,1230,,,,,,,4.0,270,1312,3.3,270,1436,0.8,692,160,-4.6,48,1231,73.9,4.3,1026.2,1034.8,0912,1032.0,1505,1033.3,10.3,3.1,1200,1.06,4.98,,,,,,5.6,4.9,-0.7,-10.5,,,,,,,,,,,,0.0,,
