stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
245,정읍,2000-01-01,4.2,-2.4,0629,12.8,1359,,,,,,,6.4,160,1201,3.6,140,1210,0.8,691,20,-0.6,43,1537,73.3,5.9,1018.5,1026.2,0010,1020.9,2400,1023.6,9.8,2.2,,,,,,,,,4.0,2.5,3.1,-4.2,,,,,,,,,,,,,,
245,정읍,2000-01-02,6.5,2.5,0034,11.2,0948,,,,,3.38,2.5,9.5,160,0828,7.2,160,0830,2.4,2074,340,1.9,60,0945,72.0,7.1,1013.2,1020.9,0000,1015.7,0930,1018.1,9.8,0.0,,,,,,,,,4.6,4.3,4.2,0.7,,,,,,,,,,,,2.5,{비}1002-{비}{강도0}1200-1325.,
245,정읍,2000-01-03,0.8,-3.5,2355,4.0,0003,,,,,,,7.1,50,1245,6.2,20,1250,1.4,1210,320,-4.3,53,1515,69.5,4.5,1018.2,1024.7,2400,1020.2,0010,1023.3,9.8,7.6,,,,,,,,,2.3,2.0,2.3,-5.1,,,,,,,,,,,,,,
245,정읍,2000-01-04,1.2,-5.1,0718,7.5,2328,,,,,,,4.7,360,1114,3.6,340,1110,0.9,778,360,-4.2,41,2331,69.6,4.5,1018.6,1025.3,1010,1021.8,2350,1023.7,9.8,7.0,,,,,,,,,1.3,0.0,1.6,-6.5,,,,,,,,,,,,,,
245,정읍,2000-01-05,10.3,5.2,1645,14.5,1334,,,,,4.8,4.5,11.1,140,1236,8.2,160,0640,3.2,2765,140,2.7,39,0208,60.6,7.6,1011.2,1021.8,0000,1012.6,2350,1016.1,9.8,0.0,,,,,,,,,9.1,6.5,7.7,3.8,,,,,,,,,,,,7.5,{비}1535-{비}{강도0}1800-2023.,
245,정읍,2000-01-06,5.9,0.5,2334,12.8,0308,,,,,5.58,4.0,10.8,340,1946,5.9,110,0030,3.0,2592,320,1.9,57,2245,75.9,7.4,1012.5,1023.0,2310,1012.1,0130,1017.4,9.8,0.0,,,,,,,,,9.1,6.5,6.6,-0.2,,,,,,,,,,,,1.3,{비}0510-{비}{강도0}0600-{비}{강도0}0900-0930.  {비}1105-{비}{강도0}1200-1220.,
245,정읍,2000-01-07,-2.7,-5.6,0919,1.5,0023,,,,,9.63,2.0,12.3,290,0241,9.0,290,0330,2.3,1987,140,-6.1,45,0339,78.8,3.9,1019.6,1027.1,1050,1022.7,0030,1024.8,9.9,1.5,,,,4.2,1130,4.2,1130,5.4,5.8,4.4,0.1,-7.1,,,,,,,,,,,,1.7,{소낙눈}0035-0050.  {눈}0752-{눈}{강도0}0900-1135. {소낙눈}1220-{소낙눈}{강도0}1500-1715. {소낙눈}1850-1910.{소낙눈}2245-2310.,
245,정읍,2000-01-08,-0.2,-3.4,0007,3.0,1312,,,,,,,4.4,270,1305,2.9,270,1550,1.2,1037,140,-4.0,54,1544,76.3,4.5,1019.7,1025.6,2030,1023.7,1610,1024.8,9.9,1.0,,,,,,2.3,0000,,7.7,4.8,1.9,-4.9,,,,,,,,,,,,,,
245,정읍,2000-01-09,-0.6,-2.5,0608,2.1,1436,,,,,7.58,2.0,4.1,20,1203,3.0,20,1210,1.2,1037,50,-2.9,70,1645,84.8,5.0,1017.0,1024.9,0000,1018.7,1530,1022.2,9.9,0.0,,,,0.8,2037,0.8,2037,0.8,10.0,6.3,0.7,-4.5,,,,,,,,,,,,2.0,{비}1450-{비}{강도0}1500-{비}{강도0}1800-{눈}1940-{진눈깨비}2037-{싸락눈}2045-{싸락눈}{강도0}2100-2225.,
245,정읍,2000-01-10,0.8,-3.1,2359,5.4,1259,,,,,,,7.3,290,1347,6.0,290,1350,1.4,1210,290,-2.9,56,1631,77.3,5.0,1020.8,1029.6,2400,1021.4,1035,1025.9,9.9,4.9,,,,,,0.5,0000,,5.4,5.3,2.5,-5.3,,,,,,,,,,,,,,
245,정읍,2000-01-11,0.3,-7.2,0736,6.4,1445,,,,,,,5.4,20,1218,3.8,360,1220,0.7,605,20,-3.9,55,1543,74.1,4.6,1020.2,1029.6,0000,1022.9,1400,1025.4,9.9,5.0,,,,,,,,,5.4,3.0,1.3,-9.3,,,,,,,,,,,,,,
245,정읍,2000-01-12,5.7,2.2,0046,9.6,1455,,,,,5.78,0.0,4.7,50,0527,3.4,50,0540,1.1,950,360,2.2,65,0006,78.1,7.2,1012.6,1023.6,0030,1015.0,1540,1017.6,9.9,0.0,,,,,,,,,10.0,4.3,5.2,0.4,,,,,,,,,,,,1.0,{비}1023-{비}{강도0}1200-1420. {비}1637-1725. {비}1828-1930.,
245,정읍,2000-01-13,3.2,0.6,2241,5.7,0009,,,,,6.5,1.5,9.0,290,1032,7.3,290,1040,1.9,1642,340,-0.2,67,1801,79.1,6.1,1012.6,1020.2,2200,1015.3,0040,1017.6,10.0,0.0,,,,,,,,,10.0,5.5,3.9,-0.7,,,,,,,,,,,,0.5,{비}0205-{비}{강도0}0300-0520.  {비}0825-{비}{강도0}0900-1140.,
245,정읍,2000-01-14,1.3,-0.6,2352,3.6,1245,,,,,,,4.3,340,1507,2.9,340,1530,1.1,950,20,-3.2,64,1257,71.9,4.8,1017.9,1025.3,2400,1019.6,0010,1023.0,10.0,0.0,,,,,,,,,10.0,6.3,2.2,-2.5,,,,,,,,,,,,,,
245,정읍,2000-01-15,-0.4,-4.8,0725,4.8,1655,,,,,,,5.5,20,1103,3.7,360,1110,0.9,778,50,-3.8,56,1637,78.4,4.6,1020.0,1027.8,1030,1023.1,1530,1025.1,10.0,6.3,,,,,,,,,1.7,0.0,2.2,-7.1,,,,,,,,,,,,,,
245,정읍,2000-01-16,0.8,-3.4,2356,5.9,1455,,,,,,,6.3,290,1642,4.6,290,1640,0.8,691,50,-3.5,53,1603,74.5,4.7,1018.0,1024.6,0230,1021.3,1520,1023.2,10.0,3.3,,,,,,,,,5.7,3.5,2.7,-5.6,,,,,,,,,,,,,,
245,정읍,2000-01-17,-1.3,-5.1,0536,3.9,1505,,,,,,,5.1,340,1527,3.5,340,1650,0.9,778,140,-4.9,55,1418,77.9,4.3,1016.9,1023.2,0820,1020.7,1350,1022.1,10.0,2.4,,,,,,,,,3.4,2.5,0.8,-7.4,,,,,,,,,,,,,,
245,정읍,2000-01-18,-1.4,-6.6,0728,3.6,1350,,,,,,,8.0,290,1524,6.0,270,1430,1.2,1037,340,-5.2,56,1435,77.1,4.2,1017.3,1024.0,1010,1020.6,1530,1022.4,10.1,7.8,,,,,,,,,1.4,2.5,1.3,-8.8,,,,,,,,,,,,0.5,,
245,정읍,2000-01-19,-2.2,-5.1,2339,0.3,0908,,,,,12.7,3.0,11.8,290,1602,8.0,290,1320,2.5,2160,290,-4.9,62,1313,82.9,4.3,1017.9,1027.2,2350,1018.9,0540,1023.1,10.1,0.8,,,,8.2,2200,8.2,2200,9.6,8.8,5.6,-0.2,-6.2,,,,,,,,,,,,5.5,{눈}0538-{눈}{강도0}0600-0747.  {눈}0815-0835.  {소낙눈}0908-0925.  {소낙눈}1004-1025. {소낙눈}1058-1135.  {소낙눈}1205-1236.  {소낙눈}1322-1330.  {소낙눈}1348-1452.  {소낙눈}1535-{소낙눈}{강도0}1800-{소낙눈}{강도1}2100-2240.  {소낙눈}2350-{소낙눈}{강도0}2400-,
245,정읍,2000-01-20,-5.6,-7.7,2356,-2.9,1458,,,,,14.42,3.6,5.7,340,1527,4.0,340,1340,1.2,1037,20,-8.0,66,1504,84.1,3.4,1028.1,1037.4,2300,1027.1,0020,1033.4,10.1,1.8,,,,8.7,1050,13.0,1050,10.1,7.9,5.8,-0.2,-9.5,,,,,,,,,,,,0.6,-{소낙눈}-{소낙눈}{강도1}0300-{소낙눈}{강도0}0600-{소낙눈}{강도0}0900-{소낙눈}{강도0}1200-1210.  {소낙눈}1515-1650. {소낙눈}2225-2305.,
245,정읍,2000-01-21,-6.9,-12.5,0747,-1.4,1555,,,,,,,4.5,70,1220,3.9,50,1500,0.9,778,110,-11.1,44,1438,74.8,2.6,1033.8,1041.2,1050,1037.1,0010,1039.2,10.1,8.2,,,,,,10.5,0000,,0.0,0.0,-0.6,-14.2,,,,,,,,,,,,,{달무리}2305-,
245,정읍,2000-01-22,-0.7,-8.5,0018,5.1,1429,,,,,9.17,5.0,4.3,160,2332,3.1,50,0520,0.7,605,340,-3.4,62,1427,82.6,5.0,1024.4,1037.2,0000,1022.5,2350,1029.5,10.2,0.0,,,,,,4.1,0000,,8.8,6.0,-0.7,-9.7,,,,,,,,,,,,8.5,-{달무리}-0140.  {비}1450-{비}{강도0}1500-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
