stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
95,철원,2000-01-01,0.2,-5.4,0745,7.9,1501,,,,,,,6.0,360,1348,5.1,20,1425,0.8,674,360,-2.0,57,1508,86.6,5.3,1006.6,1029.1,0751,1022.3,2400,1026.0,9.6,3.8,,,,,,,,,4.9,3.1,-1.0,-8.0,-0.9,-0.8,-0.4,0.2,2.5,5.0,,,,,2.3,9.4,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1050.,
95,철원,2000-01-02,2.2,-2.1,2356,6.0,1413,,,,,8.83,17.8,9.0,200,0923,7.3,250,1257,2.1,1852,230,-1.5,47,1651,78.1,5.6,996.8,1022.2,0001,1012.7,0920,1016.0,9.6,1.6,,,,,,,,,5.0,3.8,0.7,-6.5,-0.1,-0.1,-0.2,0.3,2.3,5.0,,,,,2.0,8.4,{비}0140-{비}{강도0}0300-0440.  {비}0555-{비}{강도0}0600-{비}{강도0}0900-1145.,
95,철원,2000-01-03,-4.3,-7.8,0741,0.0,1531,,,,,,,9.0,250,0044,6.8,250,0044,1.4,1178,250,-9.3,43,1527,69.8,3.0,1003.6,1026.3,2348,1018.6,0020,1023.3,9.6,7.8,,,,,,,,,1.8,0.0,-1.5,-10.5,-0.6,-0.1,-0.2,0.4,2.2,4.9,,,,,1.3,,{햇무리}1340-1520.,
95,철원,2000-01-04,-3.5,-8.9,0751,2.9,1510,,,,,,,3.0,20,2226,2.5,20,2227,0.4,310,50,-7.6,35,1549,75.8,3.5,1006.4,1028.3,1033,1024.4,1552,1026.1,9.6,4.5,,,,,,,,,4.5,1.8,-2.2,-10.3,-1.6,-1.2,-0.7,-0.1,2.2,5.1,,,,,0.5,4.3,{햇무리}1440-1610.,
95,철원,2000-01-05,0.7,-1.9,0050,2.1,2102,,,,,17.67,12.8,9.0,20,0610,7.4,360,0612,2.9,2545,20,-1.0,56,0425,89.6,5.7,1001.1,1025.5,0001,1015.2,2359,1020.4,9.6,0.0,,,,9.5,1430,9.5,1430,9.7,10.0,6.9,-0.2,-3.4,-0.5,-0.3,-0.1,0.5,2.6,4.7,,,,,0.2,20.8,{눈}0505-{눈}{강도0}0600-{눈}{강도1}0900-{눈}{강도0}1200-{눈}{강도0}1500-1550.  {비}1705-{진눈깨비}1730-{진눈깨비}{강도0}1800-{진눈깨비}{강도0}2100-{비}2120-{비}{강도0}2400-,
95,철원,2000-01-06,-0.3,-6.0,2400,2.7,1338,,,,,10.0,12.3,14.0,250,2231,10.2,230,2123,2.5,2132,230,-3.6,38,1911,81.4,5.1,996.6,1020.2,2400,1011.9,0628,1015.9,9.6,0.0,,,,,,5.1,0000,,8.0,4.3,0.4,-6.7,-0.2,-0.1,-0.1,0.5,2.1,4.9,,,,,1.2,0.0,-{비}-{비}{강도1}0300-{비}{강도0}0600-0720. {안개비}0935-1045. {박무}0810-{박무}{강도0}0900-{박무}{강도0}1200- 1230. {싸락눈}1505-1635.,
95,철원,2000-01-07,-10.6,-14.3,0832,-6.0,0000,,,,,0.67,0.0,9.0,270,0018,6.2,290,0020,2.1,1825,230,-19.0,34,0636,57.0,1.5,1004.7,1027.7,1029,1020.2,0000,1024.9,9.6,8.5,,,,0.1,2400,1.6,2400,0.1,1.4,1.0,-3.3,-14.5,-3.4,-2.2,-0.4,0.3,1.8,4.4,,,,,1.3,0.1,{눈}2320-{눈}{강도0}2400-,
95,철원,2000-01-08,-6.6,-10.3,2359,-1.8,1420,,,,,8.83,0.1,8.0,290,1546,5.6,290,1546,1.8,1554,230,-10.9,47,1624,75.9,2.7,1004.5,1027.2,2309,1022.9,0449,1024.5,9.6,4.7,,,,0.4,0200,2.0,0200,0.4,4.3,3.5,-2.7,-11.8,-3.0,-2.3,-1.0,0.5,2.0,4.3,,,,,1.1,0.0,-{눈}-{눈}{강도0}0300-0445.  {눈}0515-{눈}{강도0}0600-{눈}{강도0}0900-0920.,
95,철원,2000-01-09,-5.9,-12.5,0658,-0.7,1601,,,,,,,3.0,360,0025,2.7,320,1336,0.4,320,20,-10.0,55,1532,76.9,3.0,1003.8,1027.1,0724,1020.8,1839,1023.6,9.7,2.5,,,,,,2.0,0000,,6.8,1.5,-3.4,-12.9,-3.6,-3.0,-1.7,0.2,1.9,4.3,,,,,0.7,0.5,{햇무리}1120-1340.,
95,철원,2000-01-10,-3.4,-9.9,2357,0.9,1439,,,,,6.42,0.5,4.0,230,0303,3.8,230,0307,1.3,1081,20,-8.5,38,1455,72.1,3.3,1006.2,1030.6,2359,1020.7,0225,1026.0,9.7,8.2,,,,1.5,0600,3.1,0600,1.5,2.6,1.6,-1.5,-11.9,-1.5,-1.2,-0.7,0.2,1.9,4.3,,,,,1.4,,{눈}0025-{눈}{강도0}0300-{눈}{강도0}0600-0650.,
95,철원,2000-01-11,-4.6,-13.9,0731,2.0,1438,,,,,,,8.0,20,1422,6.9,20,1440,2.3,2010,20,-9.7,42,1314,71.0,3.0,1008.7,1031.7,0914,1026.1,1439,1028.6,9.7,6.6,,,,,,1.3,0000,,5.4,2.9,-3.2,-14.1,-3.4,-2.9,-1.9,0.0,2.0,4.3,,,,,2.0,,{햇무리}1330-1550.,
95,철원,2000-01-12,1.2,-0.3,0030,2.9,1205,,,,,12.08,3.5,7.0,360,0213,6.7,20,0452,3.6,3153,360,-1.4,67,0001,84.3,5.6,1001.4,1026.8,0001,1016.4,2400,1020.7,9.7,0.0,,,,2.0,2400,2.0,2400,2.0,9.9,7.0,-0.4,-2.2,-0.7,-0.6,-0.5,0.0,2.0,4.3,,,,,0.6,6.7,{눈}1155-{눈}{강도0}1200-{진눈깨비}1320-{진눈깨비}{강도0}1500-{비}1610-{비}{강도0}1800-{진눈깨비}2020-{눈}2040- {눈}{강도0}2100-{눈}{강도0}2400-,
95,철원,2000-01-13,-0.6,-3.2,2400,1.1,1245,,,,,16.5,3.7,4.0,230,1037,2.9,20,2137,0.3,259,200,-1.8,80,1948,92.5,5.4,997.0,1020.0,2240,1014.4,0509,1016.4,9.7,0.0,,,,3.2,1100,4.9,1100,3.6,9.4,6.9,0.3,-3.5,-0.1,-0.2,-0.2,0.1,2.0,4.6,,,,,0.4,0.5,-{눈}-{눈}{강도0}0300-{눈}{강도0}0600-0630. {눈}0750-{눈}{강도0}0900-{눈}{강도0}1200-{싸락눈}1410-{눈}1450-{눈}{강도0}1500-{싸락눈}1540-1750. {박무}1710-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도1}2400-,
