stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
131,청주,2000-01-01,4.9,-0.8,0235,11.7,1457,,,,,,,6.5,160,1703,4.7,160,1630,0.8,711,140,0.4,48,1411,74.0,6.4,1017.6,1027.3,0906,1021.4,2400,1024.7,9.7,3.8,1300,1.56,7.94,,,,,,6.1,3.4,1.5,-5.8,0.2,-0.5,1.1,1.2,4.2,8.4,,,,,1.3,0.0,{박무}0340-{박무}{강도0}0600-0640.  {햇무리}1110-1250.,
131,청주,2000-01-02,5.1,1.8,2334,8.2,0909,,,,,3.8,2.0,9.0,340,1214,5.0,290,1455,1.5,1273,270,1.7,60,1633,78.8,7.0,1010.3,1021.4,0001,1014.6,0900,1017.3,9.7,1.3,1200,0.93,5.76,,,,,,7.0,5.5,2.2,-3.7,1.3,-0.3,1.2,1.2,4.4,8.3,,,,,0.3,2.0,{비}0850-{비}{강도0}0900-{비}{강도0}1200-1238.  {박무}1035-{박무}{강도0}1200-{박무}{강도0}1500-1648.,
131,청주,2000-01-03,0.4,-2.7,2342,3.5,1450,,,,,,,9.5,290,0307,4.7,290,0330,1.8,1573,290,-6.8,31,1410,60.8,3.7,1015.7,1025.1,2357,1019.6,0025,1022.9,9.7,7.3,1200,2.04,11.52,,,,,,2.6,1.9,1.3,-7.3,0.9,0.2,1.3,1.3,4.4,7.7,,,,,0.7,,,
131,청주,2000-01-04,0.3,-4.5,0811,4.8,1610,,,,,,,4.3,20,1958,2.8,20,2000,0.7,608,20,-6.2,38,1319,63.5,3.9,1017.6,1026.8,0950,1023.5,2243,1024.8,9.7,5.6,1200,1.93,13.12,,,,,,2.8,2.8,-0.6,-7.4,-0.7,0.3,1.3,1.4,4.3,7.8,,,,,0.9,1.0,,
131,청주,2000-01-05,3.9,1.3,0114,6.3,2308,,,,,17.53,13.0,6.4,50,1405,5.5,50,1430,1.1,915,50,1.4,51,0424,85.5,7.0,1011.3,1023.7,0040,1014.2,2400,1018.4,9.7,0.0,1100,0.77,3.41,,,,,,9.8,8.4,1.1,-2.7,0.5,0.0,1.3,1.4,4.2,7.8,,,,,0.9,24.0,{박무}0145-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도1}1800-{박무}{강도1}2100-{박무}{강도1}2400-    {비}0628-{비}{강도0}0900-{비}{강도0}1200-{비}{강도0}1500-{비}{강도0}1800-{비} {강도0}2100-{비}{강도0}2400-,
131,청주,2000-01-06,4.6,-0.1,2345,7.6,0750,,,,,5.08,12.0,11.0,320,1942,7.7,320,0930,2.6,2261,290,1.5,56,1931,80.5,7.2,1008.9,1021.2,2156,1011.0,0545,1016.0,9.8,0.0,1100,0.71,4.13,,,,,,9.5,6.3,3.8,-3.1,3.2,2.5,2.7,2.0,4.5,7.9,,,,,0.5,0.5,-{비}-0145.  {비}0310-{비}{강도0}0600-0630.  -{박무}-{박무}{강도0}0300-{박무}{강도1}0600-{박무}{강도0}0900-1120.  {박무}1720-{박무}{강도0}1800-1930.,
131,청주,2000-01-07,-5.2,-9.2,0812,0.0,0003,,,,,2.48,0.5,12.5,270,0240,8.0,270,0240,1.8,1544,320,-12.2,48,1511,62.4,2.5,1017.1,1027.3,1045,1020.5,0129,1024.5,9.8,8.6,1100,2.18,14.09,3.0,0435,3.0,0435,3.0,2.6,2.4,-0.6,-9.6,0.1,0.7,2.2,2.1,4.5,8.3,,,,,0.7,0.2,{눈}0015-0124.  {눈}0315-0435.,
131,청주,2000-01-08,-1.6,-7.1,0414,3.6,1441,,,,,2.88,0.2,9.7,250,1321,5.5,250,1330,1.2,1062,250,-5.5,53,1512,76.1,4.1,1017.0,1025.7,2329,1022.6,1432,1024.3,9.8,4.9,1200,2.21,13.61,0.9,0900,1.6,0900,0.9,5.4,4.0,-0.3,-9.6,0.1,0.4,2.0,1.8,4.5,7.8,,,,,0.7,0.0,{눈}0120-0230. {눈}0335-0420. {눈}0810-{눈}{강도0}0900-0908.,
131,청주,2000-01-09,-1.6,-4.5,0743,0.6,2320,,,,,,,4.8,360,1635,3.0,360,1640,0.7,608,20,-5.6,60,2313,74.6,4.0,1015.5,1025.5,0003,1020.2,1613,1022.8,9.8,0.0,1400,1.53,10.07,,,,,,9.6,5.0,-0.9,-5.5,-0.1,0.2,1.6,1.7,4.5,7.6,,,,,0.3,,{박무}1045-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-{박무}{강도0}2400-,
131,청주,2000-01-10,0.6,-2.7,2356,4.3,1426,,,,,,,9.6,320,1120,6.0,320,1040,1.5,1338,290,-6.7,33,1454,59.6,3.8,1018.4,1029.1,2328,1021.0,0104,1025.6,9.8,6.8,1100,2.29,13.26,,,,,,3.1,3.1,1.1,-8.4,0.5,0.4,1.8,1.6,4.3,7.6,,,,,1.0,,-{박무}-0035.,
