stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
135,추풍령,2000-01-01,1.5,-4.1,0200,5.9,1550,,,,,,,6.6,90,1634,5.7,70,1523,1.9,1642,50,-2.6,56,1204,75.9,5.1,995.5,1028.8,1005,1023.4,2400,1026.1,9.7,0.4,1200,0.56,3.22,,,,,,7.6,3.0,1.5,-7.1,,,,,,,,,,,,,,
135,추풍령,2000-01-02,2.2,-1.1,2337,6.8,0950,,,,,5.25,3.0,13.4,290,1455,9.3,290,1510,3.1,2678,290,-0.3,69,1920,84.0,6.1,987.1,1023.4,0000,1013.9,1306,1017.4,9.7,0.9,0900,0.3,1.18,,,,,,7.3,4.8,4.3,-2.4,,,,,,,,,,,,3.0,{비}1010-{비}{강도0}1200-{비}{강도0}1500-1525.,
135,추풍령,2000-01-03,-1.8,-4.7,2149,2.1,1501,,,,,,,15.4,270,0217,11.9,270,0201,4.6,3974,270,-8.5,39,1338,61.8,3.2,991.1,1024.9,2333,1018.0,0021,1022.0,9.8,8.1,1300,1.19,6.58,,,,,,2.8,1.0,-0.3,-7.7,,,,,,,,,,,,,,
135,추풍령,2000-01-04,-1.5,-7.3,0543,7.0,1402,,,,,,,6.1,270,0026,5.1,290,0028,1.5,1296,140,-11.0,23,1503,54.1,2.7,994.2,1026.6,0810,1023.2,1448,1025.1,9.8,6.8,1300,0.97,5.37,,,,,,2.1,0.6,-0.7,-10.2,,,,,,,,,,,,,,
135,추풍령,2000-01-05,0.0,-3.7,0611,4.1,1422,,,,,7.33,9.5,5.5,140,1505,4.6,140,1506,1.8,1555,140,-4.6,45,0032,73.5,4.6,989.9,1025.4,0008,1016.2,2400,1020.5,9.8,0.0,1200,0.26,1.26,,,,,,9.0,5.5,-0.9,-6.8,,,,,,,,,,,,13.1,{비}1640-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
135,추풍령,2000-01-06,1.4,-3.4,2357,6.4,1025,,,,,8.92,4.7,17.6,290,2020,11.9,290,2020,4.1,3542,270,-1.4,56,2354,83.8,5.8,984.9,1019.9,2315,1011.7,0743,1015.2,9.8,0.0,1400,0.08,0.36,,,,,,9.5,5.6,1.2,-4.3,,,,,,,,,,,,1.7,-{비}-0025.  {비}0415-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-1245.  {박무}1350-{박무}{강도0}1500-1645.,
135,추풍령,2000-01-07,-7.5,-10.7,2232,-3.3,0011,,,,,1.75,0.6,20.4,270,0321,15.3,270,0352,4.9,4234,270,-13.3,51,0428,68.8,2.2,992.0,1026.5,1043,1018.9,0145,1023.6,9.8,5.7,1200,1.18,5.73,1.6,0715,1.6,0715,1.6,3.6,3.1,-5.1,-13.0,,,,,,,,,,,,0.0,{눈}0530-0715.  {폭풍}0352.,
135,추풍령,2000-01-08,-3.4,-10.5,0004,-0.1,1403,,,,,1.05,0.0,11.4,270,1336,8.9,270,1336,3.7,3197,270,-8.0,50,1400,72.3,3.4,992.8,1025.6,2347,1022.3,1434,1023.9,9.8,4.4,1100,0.85,4.58,,,,,,7.3,7.3,-3.6,-12.1,,,,,,,,,,,,,{눈}0545-{눈}{강도0}0600-0648.,
135,추풍령,2000-01-09,-3.9,-6.2,0500,-0.8,1518,,,,,3.75,0.4,9.5,250,2349,7.5,250,2350,1.5,1296,20,-7.2,46,1541,79.5,3.6,991.9,1025.6,0252,1020.0,1601,1023.0,9.8,0.0,1300,0.21,1.3,1.5,2215,1.5,2215,1.5,8.9,8.4,-3.2,-8.4,,,,,,,,,,,,0.4,{눈}1830-{눈}{강도0}2100-2215.,
135,추풍령,2000-01-10,-1.6,-5.5,2359,2.6,1342,,,,,,,12.6,290,1156,9.6,270,1429,4.2,3629,270,-9.1,33,1646,61.5,3.2,994.0,1029.4,2323,1020.8,0127,1025.0,9.9,6.2,1300,1.22,6.25,,,1.4,0000,,3.9,2.5,-1.0,-7.8,,,,,,,,,,,,,,
