stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
212,홍천,2000-01-01,-0.5,-4.0,0740,7.2,1440,,,,,,,1.7,180,1550,1.4,160,1600,0.5,432,160,-4.8,49,1450,73.1,4.3,1009.8,1030.9,0920,1024.4,2350,1027.7,9.6,4.2,,,,,,3.0,0000,,6.1,5.8,0.4,-7.0,,,,,,,,,,,,1.5,{박무}0130-{시정(미만)}{1km}{안개}0150-{시정(미만)}{0.5km}{안개}0210-{안개}{강도1}0300-{안개}{강도1}0600-{안개}{강도1}0900-{시정(이상)}{0.5km}{안개}1020-{시정(이상)}{1km}{박무}1040-1110.,8.83
212,홍천,2000-01-02,2.2,-1.4,0000,6.8,1450,,,,,7.0,9.0,7.5,270,1850,5.1,250,1340,1.6,1382,250,-4.6,43,2000,62.3,4.4,999.6,1024.4,0000,1014.0,1330,1017.2,9.6,1.6,,,,,,2.7,0000,,9.0,6.0,0.5,-5.6,,,,,,,,,,,,7.5,{비}0540-{비}{강도0}0600-{비}{강도0}0900-{비}{강도0}1200-1240.,
212,홍천,2000-01-03,-2.3,-6.2,2350,3.4,1440,,,,,,,5.5,270,0040,4.2,250,0040,1.2,1037,230,-9.8,35,1620,57.8,2.9,1005.4,1026.8,2400,1018.8,0000,1023.4,9.6,7.2,,,,,,,,,2.0,1.3,-0.9,-11.0,,,,,,,,,,,,,,
212,홍천,2000-01-04,-3.3,-8.8,0755,2.7,1447,,,,,,,2.2,50,2241,1.0,110,2200,0.4,346,70,-9.7,37,1458,63.5,2.9,1009.1,1029.2,0918,1025.4,1607,1027.0,9.6,4.3,,,,,,,,,4.6,2.5,-2.0,-12.4,,,,,,,,,,,,0.0,,
212,홍천,2000-01-05,-0.2,-2.2,0000,1.8,1730,,,,,16.17,12.0,4.4,70,1710,2.5,50,1700,0.6,518,270,-4.8,58,0050,71.6,4.3,1004.4,1027.0,0010,1017.2,2400,1022.2,9.6,0.0,,,,8.9,1510,8.9,1510,8.9,10.0,8.0,-0.4,-7.8,,,,,,,,,,,,28.0,{눈}0750-{눈}{강도0}0900-{눈}{강도1}1200-{눈}{강도1}1500-{진눈깨비}1520-{비}1540-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
212,홍천,2000-01-06,1.2,-3.6,2350,4.3,1250,,,,,9.33,16.5,13.0,250,2350,7.2,270,2320,2.0,1728,270,-5.4,38,2120,63.3,4.3,998.2,1020.5,2220,1013.1,0610,1015.8,9.7,0.0,,,,,,5.9,0000,,9.1,7.3,-0.1,-5.1,,,,,,,,,,,,0.5,-{비}-{비}{강도0}0300-{비}{강도0}0600-{비}{강도0}0900-0920. {박무}0630-{시정(미만)}{1km}{안개}0910-{시정(이상)}{1km}{박무}1030-1050.,1.33
212,홍천,2000-01-07,-7.8,-11.1,0830,-3.5,0000,,,,,0.67,0.0,11.7,250,0020,7.5,290,0410,2.8,2419,250,-15.8,41,1530,53.1,1.8,1006.7,1028.0,1040,1019.8,0000,1025.1,9.7,7.8,,,,,,2.0,0000,,0.3,0.5,-3.6,-13.6,,,,,,,,,,,,0.1,{눈}0205-0245.,
212,홍천,2000-01-08,-5.6,-10.5,0350,0.4,1450,,,,,6.5,0.1,6.8,200,1510,4.9,230,1530,1.1,950,180,-10.6,49,1550,68.6,2.7,1007.1,1027.8,2350,1023.4,1410,1025.4,9.7,3.4,,,,0.2,0410,1.7,0410,0.2,4.9,4.5,-5.9,-13.5,,,,,,,,,,,,0.0,{눈}0210-{눈}{강도0}0300-0430.  {눈}0730-{눈}{강도0}0900-1140.,
212,홍천,2000-01-09,-4.8,-10.6,0750,0.8,1510,,,,,,,1.7,50,0830,1.4,70,0830,0.5,432,70,-10.6,43,1520,65.1,2.7,1006.5,1028.3,0640,1021.6,2400,1024.7,9.7,1.2,,,,,,1.6,0000,,5.9,5.3,-3.1,-12.6,,,,,,,,,,,,0.0,,
212,홍천,2000-01-10,-1.7,-7.5,2358,3.9,1420,,,,,0.67,0.0,5.3,250,1220,4.4,270,1100,1.2,1037,90,-9.7,29,1610,55.9,3.0,1008.1,1030.8,2340,1021.6,0000,1026.2,9.7,7.4,,,,,,1.0,0000,,3.6,2.5,-0.9,-10.5,,,,,,,,,,,,,{눈}0610-0650.,
