stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
169,흑산도,2000-01-01,8.2,6.6,0404,10.6,1309,,,,,,,8.3,50,0022,6.3,50,0023,2.7,2333,90,3.8,58,0938,74.1,8.1,1012.5,1024.6,0000,1018.9,2356,1021.6,9.9,2.9,1100,0.7,4.59,,,,,,5.8,0.0,6.5,3.8,,,,,,,,,,,,0.3,{박무}1121-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-2145.,
169,흑산도,2000-01-02,7.2,5.0,2400,10.6,1012,,,,,2.05,1.8,15.3,340,1410,13.4,340,1201,7.1,6134,340,3.0,56,1734,76.1,7.9,1008.4,1019.7,2359,1015.8,0702,1017.5,9.9,2.1,1500,0.65,3.1,,,,,,7.1,4.3,6.2,4.1,,,,,,,,,,,,1.5,{비}0743-{비}{강도0}0900-0946.  {박무}1130-{박무}{강도0}1200-{박무}{강도0}1500-{박무}{강도0}1800-1934.,
169,흑산도,2000-01-03,2.9,2.0,2111,5.0,0000,,,,,,,15.8,340,0259,14.2,360,0314,7.5,6480,360,-2.9,57,1229,65.4,4.9,1012.8,1023.5,1053,1019.7,0000,1022.1,9.9,5.8,1200,1.05,5.8,,,,,,5.3,2.1,3.2,0.4,,,,,,,,,,,,,{폭풍}0304-0314.,
169,흑산도,2000-01-04,5.2,2.4,0028,8.8,2400,,,,,,,12.2,160,2357,7.8,160,2400,3.6,3110,20,-0.9,53,1128,65.4,5.9,1012.4,1023.2,0820,1018.8,2400,1021.6,9.9,5.7,1200,1.12,6.0,,,,,,3.1,-999.0,3.9,0.4,,,,,,,,,,,,,,
169,흑산도,2000-01-05,9.8,8.8,0000,11.3,1122,,,,,4.98,8.2,16.2,160,1531,12.3,160,1535,6.1,5270,160,8.2,80,1124,90.0,10.9,1005.0,1018.8,0000,1009.7,1536,1013.9,9.9,1.6,1100,0.7,2.59,,,,,,8.3,6.3,8.6,5.6,,,,,,,,,,,,8.5,{비}1230-1240.  {비}1332-1355.  {비}1410-{비}{강도0}1500-1550.  {비}1620-1637.  {비}1725-{비}{강도0}1800-1839.  {비}2006-2020.  {비}2114-2215.,
169,흑산도,2000-01-06,5.8,2.0,2357,11.0,0059,,,,,3.05,0.3,18.0,340,2157,16.1,340,2057,10.0,8640,340,1.9,50,2341,76.9,7.4,1008.0,1022.4,2400,1012.0,0000,1017.2,9.9,0.1,1500,0.33,1.13,,,,,,9.6,5.5,6.2,1.5,,,,,,,,,,,,,{비}0323-{비}{강도0}0600-0626. {폭풍}1020-1200. {폭풍}1250-1320. {폭풍}1350. {폭풍}1420-1450. {폭풍}1510. {폭풍}1540-1550. {폭풍}1830-1840. {폭풍}1900-2210.,
169,흑산도,2000-01-07,-0.6,-1.3,1636,2.3,0011,,,,,0.53,0.0,19.4,340,0110,17.5,340,0110,8.4,7258,340,-7.5,48,0413,60.9,3.5,1015.1,1026.7,1037,1022.2,0030,1024.5,9.9,3.8,1300,0.98,5.14,,,,,,7.1,5.6,0.8,-1.9,,,,,,,,,,,,0.0,{소낙눈}1019-1025. {소낙눈}1311-1324. {소낙눈}1456-{소낙눈}{강도0}1500-1509.  {폭풍}0030. {폭풍}0050-0140.{폭풍}0410-0420.,
169,흑산도,2000-01-08,2.0,-0.5,0016,2.8,1259,,,,,,,6.9,360,1401,6.0,360,1401,3.2,2765,340,-5.0,55,0542,59.9,4.2,1014.4,1024.8,0009,1022.7,1550,1023.7,9.9,0.8,1100,0.32,1.96,,,,,,8.5,4.5,1.4,-1.6,,,,,,,,,,,,,,
169,흑산도,2000-01-09,2.7,1.8,1118,3.3,1451,,,,,8.05,3.3,9.9,20,2136,8.9,360,2132,4.3,3715,20,-0.8,58,0001,78.4,5.8,1010.9,1023.4,0000,1017.3,1436,1020.2,10.0,0.0,1400,0.41,1.72,,,,,,9.4,5.4,3.2,1.2,,,,,,,,,,,,3.3,{비}1007-{비}{강도0}1200-1340. {비}1510-{비}{강도0}1800-1855. {비}1955-2040.,
169,흑산도,2000-01-10,4.2,2.3,2253,6.2,0827,,,,,,,15.5,340,1230,13.6,340,0910,8.2,7085,360,-0.6,59,1326,71.1,5.9,1015.4,1027.6,2218,1020.3,0022,1024.6,10.0,4.9,1300,1.04,5.59,,,,,,7.0,7.0,3.9,1.1,,,,,,,,,,,,,,
169,흑산도,2000-01-11,3.6,1.7,0859,5.2,1902,,,,,4.8,2.0,12.9,360,0338,10.9,360,0338,5.3,4579,20,-1.2,52,1228,71.8,5.7,1014.0,1027.0,0012,1020.8,2400,1023.3,10.0,2.4,1200,0.78,3.78,,,,,,7.1,3.3,3.2,0.7,,,,,,,,,,,,2.3,{비}1912-{비}{강도0}2100-{비}{강도0}2400-,
169,흑산도,2000-01-12,5.8,4.8,0321,6.4,2335,,,,,9.67,1.9,12.6,20,0302,9.1,20,0353,5.1,4406,20,3.8,81,0003,87.5,8.1,1007.0,1020.8,0000,1014.1,1519,1016.1,10.0,0.0,1400,0.34,1.82,,,,,,10.0,4.8,5.7,3.8,,,,,,,,,,,,1.6, -{비}-{비}{강도0}0300-0330. {비}1215-1445. {비}1620-1655. {비}1820-1855. {비}1920-{비}{강도0}2100-2150.,
169,흑산도,2000-01-13,3.3,1.0,2137,6.5,0335,,,,,,,16.4,340,1607,13.8,340,1250,10.2,8813,340,-0.9,63,1636,73.9,5.8,1007.9,1021.0,2045,1015.4,0518,1018.2,10.0,0.0,1200,0.26,1.24,,,,,,9.6,6.4,3.6,0.9,,,,,,,,,,,,,,
169,흑산도,2000-01-14,2.9,1.3,0016,4.0,1143,,,,,,,13.7,340,0145,12.1,340,1721,7.6,6566,340,-2.9,57,1519,65.4,4.9,1012.6,1025.3,2340,1019.8,0031,1022.9,10.0,0.0,1200,0.41,1.81,,,,,,8.6,6.3,2.1,1.2,,,,,,,,,,,,,,
169,흑산도,2000-01-15,2.7,2.2,1253,3.9,2400,,,,,,,13.4,360,1146,11.4,20,1201,6.8,5875,360,-2.8,56,1939,67.1,5.0,1014.3,1026.4,1027,1023.3,1540,1024.6,10.1,4.9,1400,1.21,6.32,,,,,,6.6,3.4,3.3,1.4,,,,,,,,,,,,,,
169,흑산도,2000-01-16,3.6,3.0,2353,4.4,1126,,,,,,,16.4,340,1726,13.7,340,1744,9.3,8035,360,-1.6,58,1232,68.5,5.4,1012.7,1024.2,1126,1021.7,1728,1023.0,10.1,7.3,1200,1.22,7.09,,,,,,5.3,3.9,4.2,2.4,,,,,,,,,,,,,,
169,흑산도,2000-01-17,3.0,2.3,2306,3.8,1425,,,,,,,16.6,340,1709,14.7,340,1721,11.1,9590,340,-3.1,57,1421,63.6,4.8,1011.7,1023.0,1019,1020.6,1456,1022.0,10.1,0.9,1300,0.54,3.14,,,,,,7.3,7.3,3.2,1.8,,,,,,,,,,,,,{폭풍}1610-1620.  {폭풍}1700-1740.  {폭풍}1800-1810.,
