"행정구역별","항목","단위","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"전국","논벼:재배면적[ha]","ha","1055034","1055750","1038577","1001519","983560","966838","945403","942223","927995","917990","886516","850798","846870","831355","814334","797957","777872.1","754338.9193","737408.0451","729584.7102","726179.7204","732070.0068","726653.8061","707872.3902","697683.9329",
"전국","논벼:10a당 생산량[kg]","kg","497","516","471","441","504","490","491.49529","465.76022","519.94659","533.63603","482.98385","495.60607","472.58184","508.4902","520.36854","541.76831","539.24267","526.50192","524.4606","513.15053","482.79834","530.0466","517.7996","522.9634","513.7775",
"전국","논벼:생산량[톤]","톤","5238719","5450432","4890845","4415522","4960249","4735162","4646611","4388499.941","4825078.40076","4898725.35437","4281729.13967","4216606.57132","4002153.80443","4227358.69106","4237537.98394","4323078.1827","4194618.26795","3971608.91833","3867414.68682","3743867.83199","3505983.62734","3880311.9114","3762610.4174","3701913.4038","3584543.1289",
"서울특별시","논벼:재배면적[ha]","ha","675","683","655","572","479","455","511","482","502","286","267","268","267","249","306","307","123","130.9971","126.7555","123.3821","121.4212","187.0342","173.3846","189.3415","184.3193",
"서울특별시","논벼:10a당 생산량[kg]","kg","478","459","464","451","476","471","468.28223","438.63733","509.94832","479.4705","435.01798","442.06856","463.56542","457.96235","493.19848","512.59636","512.59469","484.16454","499.89324","487.64564","463.5064","512.1712","498.1433","501.0621","498.2625",
"서울특별시","논벼:생산량[톤]","톤","3224","3134","3039","2581","2282","2145","2393","2114.23192","2559.94054","1371.28563","1161.49801","1184.74375","1237.71966","1140.32625","1509.18736","1573.67082","630.49147","634.24151","633.64218","601.66744","562.79503","957.9353","863.7037","948.7184","918.394",
"부산광역시","논벼:재배면적[ha]","ha","5502","5435","5286","4887","4605","4610","4186","4156","4112","4112","3644","3346","3309","3255","3056","2596","2608","2383.284","2384.8974","2329.9801","2306.7706","2169.4576","2123.4349","1926.936","1939.6205",
"부산광역시","논벼:10a당 생산량[kg]","kg","460","473","426","366","477","459","466.56625","471.59439","516.66015","488.42379","464.99019","473.71689","489.31058","505.04397","503.00206","529.49348","529.25565","520.10756","516.14862","509.8865","445.70448","531.1683","508.6663","483.6464","453.1913",
"부산광역시","논벼:생산량[톤]","톤","25334","25696","22504","17886","21987","21169","19530","19599.46282","21245.06537","20083.9864","16944.24239","15850.56717","16191.28707","16439.18114","15371.7429","13745.65079","13802.98729","12395.64026","12309.61502","11880.25407","10281.37982","11523.471","10801.198","9319.5566","8790.1913",
"대구광역시","논벼:재배면적[ha]","ha","5869","5940","5719","5243","4891","4755","4757","4599","3976","3477","3217","2890","2976","3160","2966","2843","2956","2969.7559","2847.8027","2751.9132","2918.5422","2846.8771","2934.5406","2913.5103","5195.7057",
"대구광역시","논벼:10a당 생산량[kg]","kg","451","487","435","362","475","469","468.22382","444.89358","524.73574","550.65865","485.3111","486.7698","491.79496","511.05725","511.9062","525.16217","519.12729","533.08189","508.41666","497.96579","484.80923","523.2129","528.6163","493.4006","501.4988",
